Comarca nombre	Comarca codigo	Total viviendas	Viviendas con calefacción	Viviendas con agua corriente	Viviendas con agua caliente central	Viviendas con evacuación de aguas residuales	Viviendas con cuarto de aseo con inodoro	Viviendas con disponibilidad de ducha o bañera	Viviendas con tendido telefónico	Viviendas con acceso a internet
La Jacetania	01	7571,1170116895	6796,5939044574	7557,7663774245	3065,3098611737	7295,7810661464	7555,3275243796	7564,3128825316	7185,8189600251	3899,164390497
Alto Gállego	02	5914,6394492551	5275,3423432778	5907,6825177974	2316,3125229773	5748,4953448722	5900,6258106946	5904,0385497024	5659,0016680366	2776,3555518939
Sobrarbe	03	3005,3742939054	2439,0691016644	3003,5708688126	1285,5091068021	2784,6240515314	2997,4934324524	2987,6468705039	2685,519221131	1460,9886247192
La Ribagorza	04	5319,1642392321	4378,2355375615	5316,1689671217	2519,4908672493	5173,0723754869	5306,5151441497	5285,0374196808	4892,9033865042	2276,3555821229
Cinco Villas	05	12480,4584600737	10569,037723804	12478,7234323634	4978,429293976	12115,6136284685	12464,4704459066	12407,2896532669	11808,3355810718	5828,2378584401
Hoya de Huesca / Plana de Uesca	06	27122,4836742121	24565,1189252711	27110,8614408461	12406,4120749173	26940,5287900546	27057,702043608	27011,5655468442	26570,2739835777	14890,5180301169
Somontano de Barbastro	07	9863,7296039321	8320,9130275226	9861,5840729057	3250,272782664	9765,8997904174	9852,0223660494	9845,9593660662	9665,0400284162	4884,5110873875
Cinca Medio	08	9186,1187982936	7627,2615350422	9175,4411000476	5820,7432883541	8858,2454969704	9175,6236348731	9118,6375463954	8754,021062329	4619,0081954466
La Litera / La Llitera	09	7388,1914193395	6165,6354564136	7374,8684168672	6485,4144080628	7316,3509846299	7369,6128411479	7358,3372764832	7231,8246823282	3587,6704619496
Los Monegros	10	7859,2717912444	6388,4865668957	7854,7504845059	5770,5724656112	7815,2335316985	7848,2284400082	7823,6377276319	7389,9105026891	3281,9015461348
Bajo Cinca / Baix Cinca	11	8959,6584175107	6708,2772767716	8959,6584175107	5458,3783066623	8646,4137303374	8937,2011369178	8916,5255163305	8511,9176990256	4660,398495412
Tarazona y el Moncayo	12	5937,9011127827	4898,1323631655	5937,9011127827	1213,5175226775	5816,1681772207	5917,9757639526	5898,3738735793	5675,5593770222	2840,3531179742
Campo de Borja	13	5799,1000049825	4732,9169818213	5799,1000049825	3080,0480006679	5677,2482764088	5769,7874844344	5734,9325036099	5344,5811942288	2615,6772929377
Aranda	14	2895,4227874553	2205,1337611042	2895,4227874553	1655,8543874558	2850,899930095	2860,7765619062	2859,1489926779	2597,1820664868	1086,4439520676
Ribera Alta del Ebro	15	10621,0779056795	9196,7538671632	10606,1562718611	3109,7808845716	10240,8159840584	10607,4521538457	10552,3768553782	10098,3899860132	5970,4788105251
Valdejalón	16	11386,8155456751	9082,7074867891	11381,3797672942	5167,6195964799	11034,6758569316	11271,8097724035	11316,179819618	10716,8002637189	5641,5450134409
D.C. Zaragoza	17	306214,567275912	269876,299735297	305854,815764573	114123,538010753	296433,956424164	305188,598905798	305186,406339948	295260,089683434	185543,892393437
Ribera Baja del Ebro	18	3771,2938004468	2775,3172420878	3767,2082519321	2356,2573589071	3695,7064376081	3769,9923456272	3750,9824478251	3601,8109816381	1698,4478501475
Bajo Aragón-Caspe / Baix Aragó-Casp	19	5543,4520739361	4039,2478191338	5543,4520739361	2402,3282348713	5353,3048593358	5537,0809186385	5534,610019373	5045,1310307943	2823,258250845
Comunidad de Calatayud	20	16633,1528173642	13189,3915075381	16557,3094409349	7690,606310109	16362,8588299302	16545,8699004105	16435,6274838928	15694,0684017243	6237,370749139
Campo de Cariñena	21	4324,4547174184	3236,4283867371	4321,8381435052	2143,8662480308	4290,745999338	4303,4362982126	4303,1700640659	4067,69559241	1704,6241158528
Campo de Belchite	22	2214,4163394924	1317,1192571535	2212,6249132669	821,9375958229	2203,5722531238	2205,0064072784	2190,1079460694	2091,723982666	612,93497924
Bajo Martín	23	2858,1420473516	1670,8822011932	2858,1420473516	1618,2761540507	2854,68598103	2858,1420473516	2820,8436250686	2801,5866569703	1139,0145554815
Campo de Daroca	24	2749,9344917012	1952,6319229969	2749,9344917012	1582,8365320304	2730,9398727175	2674,9391815604	2706,2793616653	2396,6422439252	823,768993658
Jiloca	25	5579,5476408486	4289,133668406	5579,5476408486	3782,2300111237	5514,5779005866	5570,7031960233	5537,0646478624	5169,3247717511	1845,6874346512
Cuencas Mineras	26	3445,8824044304	2771,6275537538	3445,8824044304	1375,3741473684	3364,3873698589	3426,8805935656	3426,9288954141	3126,5645728549	1377,5587362956
Andorra-Sierra de Arcos	27	4412,0456184683	2414,0108552406	4412,0456184683	2723,7605490522	4354,7612449132	4392,30351008	4403,8447386293	4156,7220228118	1991,2909208959
Bajo Aragón	28	11597,4209007672	9357,0949633025	11596,3385160826	5964,7308075831	11299,2900910461	11593,4196133099	11515,4035436279	10720,9535172125	5586,5105683542
Comunidad de Teruel	29	17851,9416597113	15654,266309099	17846,9719488332	9080,4830061366	17330,390724846	17787,5973518684	17725,973975067	16988,6825822055	8810,7952030867
Maestrazgo	30	1471,2841476618	886,923751397	1465,8602367365	1009,9013608368	1416,5939137282	1459,6042840515	1424,4224996724	1221,3211727517	463,7857860853
Sierra de Albarracín	31	2046,0334399111	1359,0337823529	2041,3283868315	1487,6067504696	1954,3035394855	2028,5656219121	2006,4113859132	1787,6481259593	662,1467739103
Gúdar-Javalambre	32	3386,4465472437	2168,4718500963	3360,4828358458	2196,2830317541	3289,1023883043	3354,3507228688	3334,9235394704	3194,9883897236	1165,5845311628
Matarraña / Matarranya	33	3459,9183202031	2389,5410716631	3458,5644691811	1852,753138505	3441,609110295	3455,034968221	3444,558104072	3367,2627435281	1398,1903643164
