Tipo de hogar código	Tipo de hogar	Comarca	Comarca nombre	Nº hogares
1	Hogares unipersonales	01	La Jacetania	2269,7025967246
1	Hogares unipersonales	02	Alto Gállego	1668,2590448489
1	Hogares unipersonales	03	Sobrarbe	786,8213157912
1	Hogares unipersonales	04	La Ribagorza	1504,0740495788
1	Hogares unipersonales	05	Cinco Villas	2729,8985045756
1	Hogares unipersonales	06	Hoya de Huesca / Plana de Uesca	6992,6794176015
1	Hogares unipersonales	07	Somontano de Barbastro	2632,5753392215
1	Hogares unipersonales	08	Cinca Medio	1867,1784575633
1	Hogares unipersonales	09	La Litera / La Llitera	1583,3182341995
1	Hogares unipersonales	10	Los Monegros	1847,7578649078
1	Hogares unipersonales	11	Bajo Cinca / Baix Cinca	1852,1056338463
1	Hogares unipersonales	12	Tarazona y el Moncayo	1593,3129029074
1	Hogares unipersonales	13	Campo de Borja	1336,0392704777
1	Hogares unipersonales	14	Aranda	603,1182592427
1	Hogares unipersonales	15	Ribera Alta del Ebro	2270,8224869235
1	Hogares unipersonales	16	Valdejalón	2494,5535706084
1	Hogares unipersonales	17	D.C. Zaragoza	79230,9453121043
1	Hogares unipersonales	18	Ribera Baja del Ebro	936,5384373078
1	Hogares unipersonales	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1191,253188794
1	Hogares unipersonales	20	Comunidad de Calatayud	4745,045637508
1	Hogares unipersonales	21	Campo de Cariñena	1001,4145370166
1	Hogares unipersonales	22	Campo de Belchite	617,0795762454
1	Hogares unipersonales	23	Bajo Martín	716,3888862704
1	Hogares unipersonales	24	Campo de Daroca	908,3489596993
1	Hogares unipersonales	25	Jiloca	1604,1349574668
1	Hogares unipersonales	26	Cuencas Mineras	787,0822693903
1	Hogares unipersonales	27	Andorra-Sierra de Arcos	968,387361859
1	Hogares unipersonales	28	Bajo Aragón	2738,7055719993
1	Hogares unipersonales	29	Comunidad de Teruel	4008,6456246367
1	Hogares unipersonales	30	Maestrazgo	431,0818436949
