Número de miembros del hogar      	Nº medio de miembros	Provincia codigo	Provincia nombre	Nº hogares
1 persona	1	22	Huesca	22316,6910893541
1 persona	1	44	Teruel	13856,9070573292
1 persona	1	50	Zaragoza	100346,15150834
2 personas	2	22	Huesca	27306,0709540492
2 personas	2	44	Teruel	17333,5652033531
2 personas	2	50	Zaragoza	123414,573965443
3 personas	3	22	Huesca	19409,4161415089
3 personas	3	44	Teruel	11262,6072315691
3 personas	3	50	Zaragoza	84158,6602604628
4 personas	4	22	Huesca	14719,7226868211
4 personas	4	44	Teruel	10532,2735309577
4 personas	4	50	Zaragoza	67284,399051209
5 personas	5	22	Huesca	3977,7365277186
5 personas	5	44	Teruel	2325,6596132016
5 personas	5	50	Zaragoza	13804,0082653874
6 personas	6	22	Huesca	1066,4832430873
6 personas	6	44	Teruel	699,3883727833
6 personas	6	50	Zaragoza	3528,777713301
7 o más personas	7,59386773797626	22	Huesca	383,8257237392
7 o más personas	7,58187351621636	44	Teruel	98,2617174031
7 o más personas	7,61375196501329	50	Zaragoza	1045,2789011131
