Número de miembros	Nº medio de miembros	Comarca codigo	Comarca nombre	Nº hogares
1 persona	1	01	La Jacetania	2269,7025967246
2 personas	2	01	La Jacetania	2205,1887810031
3 personas	3	01	La Jacetania	1621,9837309954
4 personas	4	01	La Jacetania	1139,9329371572
5 personas	5	01	La Jacetania	257,4253465735
6 personas	6	01	La Jacetania	52,5180383451
7 o más personas	7,21096053360185	01	La Jacetania	24,3655808906
1 persona	1	02	Alto Gállego	1668,2590448489
2 personas	2	02	Alto Gállego	1757,2908985434
3 personas	3	02	Alto Gállego	1300,119072684
4 personas	4	02	Alto Gállego	798,6197152831
5 personas	5	02	Alto Gállego	340,1858868635
6 personas	6	02	Alto Gállego	22,7763564958
7 o más personas	7,3178847495405	02	Alto Gállego	27,3884745364
1 persona	1	03	Sobrarbe	786,8213157912
2 personas	2	03	Sobrarbe	858,9377216133
3 personas	3	03	Sobrarbe	640,882954375
4 personas	4	03	Sobrarbe	506,8159202327
5 personas	5	03	Sobrarbe	181,9482434089
6 personas	6	03	Sobrarbe	19,5952852553
7 o más personas	7,52221319207099	03	Sobrarbe	10,372853229
1 persona	1	04	La Ribagorza	1504,0740495788
2 personas	2	04	La Ribagorza	1678,0496895359
3 personas	3	04	La Ribagorza	1120,2102270316
4 personas	4	04	La Ribagorza	688,2263597
5 personas	5	04	La Ribagorza	211,3214400179
6 personas	6	04	La Ribagorza	100,1964641483
7 o más personas	7,486532593595	04	La Ribagorza	17,0860092196
1 persona	1	05	Cinco Villas	2729,8985045756
2 personas	2	05	Cinco Villas	3896,1959205903
3 personas	3	05	Cinco Villas	2746,0761931078
4 personas	4	05	Cinco Villas	2296,0825507266
5 personas	5	05	Cinco Villas	734,5685120749
6 personas	6	05	Cinco Villas	64,8657793658
7 o más personas	8,11542249487861	05	Cinco Villas	12,7709996327
1 persona	1	06	Hoya de Huesca / Plana de Uesca	6992,6794176015
2 personas	2	06	Hoya de Huesca / Plana de Uesca	8268,5232198497
3 personas	3	06	Hoya de Huesca / Plana de Uesca	5949,9252647599
4 personas	4	06	Hoya de Huesca / Plana de Uesca	4525,5220812979
5 personas	5	06	Hoya de Huesca / Plana de Uesca	1068,7524472576
6 personas	6	06	Hoya de Huesca / Plana de Uesca	218,0786769116
7 o más personas	7,25129200432073	06	Hoya de Huesca / Plana de Uesca	99,0025665339
1 persona	1	07	Somontano de Barbastro	2632,5753392215
2 personas	2	07	Somontano de Barbastro	3098,4359553717
3 personas	3	07	Somontano de Barbastro	2017,0536453931
4 personas	4	07	Somontano de Barbastro	1615,7616357724
5 personas	5	07	Somontano de Barbastro	352,823167081
6 personas	6	07	Somontano de Barbastro	136,0358409531
7 o más personas	7,03745568405186	07	Somontano de Barbastro	11,0440201393
1 persona	1	08	Cinca Medio	1867,1784575633
2 personas	2	08	Cinca Medio	3219,7099892143
3 personas	3	08	Cinca Medio	1877,9883308972
4 personas	4	08	Cinca Medio	1620,0205707197
5 personas	5	08	Cinca Medio	400,480844817
6 personas	6	08	Cinca Medio	73,2114885614
7 o más personas	8,23175701063218	08	Cinca Medio	127,5291165207
1 persona	1	09	La Litera / La Llitera	1583,3182341995
2 personas	2	09	La Litera / La Llitera	2470,1864529004
3 personas	3	09	La Litera / La Llitera	1671,4559356029
4 personas	4	09	La Litera / La Llitera	1262,6441108589
5 personas	5	09	La Litera / La Llitera	272,5253390022
6 personas	6	09	La Litera / La Llitera	85,4751755933
7 o más personas	7,26973535673886	09	La Litera / La Llitera	42,5861711823
1 persona	1	10	Los Monegros	1847,7578649078
2 personas	2	10	Los Monegros	2307,0687030073
3 personas	3	10	Los Monegros	1624,9876797761
4 personas	4	10	Los Monegros	1477,0070771693
5 personas	5	10	Los Monegros	433,1241553507
6 personas	6	10	Los Monegros	159,8212961545
7 o más personas	7	10	Los Monegros	9,5050148787
1 persona	1	11	Bajo Cinca / Baix Cinca	1852,1056338463
2 personas	2	11	Bajo Cinca / Baix Cinca	2408,5340154443
3 personas	3	11	Bajo Cinca / Baix Cinca	2159,6574857532
4 personas	4	11	Bajo Cinca / Baix Cinca	1671,1257536103
5 personas	5	11	Bajo Cinca / Baix Cinca	616,0185664167
6 personas	6	11	Bajo Cinca / Baix Cinca	236,3220268053
7 o más personas	7,40901862563998	11	Bajo Cinca / Baix Cinca	15,8949356346
1 persona	1	12	Tarazona y el Moncayo	1593,3129029074
2 personas	2	12	Tarazona y el Moncayo	1852,7208212832
3 personas	3	12	Tarazona y el Moncayo	1205,6027423544
4 personas	4	12	Tarazona y el Moncayo	980,7280344897
5 personas	5	12	Tarazona y el Moncayo	267,2384807419
6 personas	6	12	Tarazona y el Moncayo	38,2981310061
7 o más personas		12	Tarazona y el Moncayo	
1 persona	1	13	Campo de Borja	1336,0392704777
2 personas	2	13	Campo de Borja	1718,3671075208
3 personas	3	13	Campo de Borja	1243,2488993383
4 personas	4	13	Campo de Borja	1178,6930504013
5 personas	5	13	Campo de Borja	286,8010436818
6 personas	6	13	Campo de Borja	26,1295300323
7 o más personas	7,27007833335802	13	Campo de Borja	9,8211035303
1 persona	1	14	Aranda	603,1182592427
2 personas	2	14	Aranda	919,1386555494
3 personas	3	14	Aranda	675,3121132559
4 personas	4	14	Aranda	599,6352079601
5 personas	5	14	Aranda	75,0307507134
6 personas	6	14	Aranda	23,1878007338
7 o más personas		14	Aranda	
1 persona	1	15	Ribera Alta del Ebro	2270,8224869235
2 personas	2	15	Ribera Alta del Ebro	3299,8359832774
3 personas	3	15	Ribera Alta del Ebro	2600,4213271568
4 personas	4	15	Ribera Alta del Ebro	1982,5938096285
5 personas	5	15	Ribera Alta del Ebro	298,4679593444
6 personas	6	15	Ribera Alta del Ebro	108,2059024871
7 o más personas	8,1491299700315	15	Ribera Alta del Ebro	60,7304368618
1 persona	1	16	Valdejalón	2494,5535706084
2 personas	2	16	Valdejalón	3436,6933041156
3 personas	3	16	Valdejalón	2599,0405062648
4 personas	4	16	Valdejalón	2216,9373752805
5 personas	5	16	Valdejalón	478,7976969587
6 personas	6	16	Valdejalón	123,414009492
7 o más personas	7,50351538740819	16	Valdejalón	37,3790829551
1 persona	1	17	D.C. Zaragoza	79230,9453121043
2 personas	2	17	D.C. Zaragoza	96505,6907896283
3 personas	3	17	D.C. Zaragoza	65215,0305938637
4 personas	4	17	D.C. Zaragoza	51782,1475936459
5 personas	5	17	D.C. Zaragoza	9945,2891795144
6 personas	6	17	D.C. Zaragoza	2715,6356675985
7 o más personas	7,60292315525395	17	D.C. Zaragoza	819,8281395572
1 persona	1	18	Ribera Baja del Ebro	936,5384373078
2 personas	2	18	Ribera Baja del Ebro	1182,3507763459
3 personas	3	18	Ribera Baja del Ebro	797,447019604
4 personas	4	18	Ribera Baja del Ebro	673,398967075
5 personas	5	18	Ribera Baja del Ebro	142,501957384
6 personas	6	18	Ribera Baja del Ebro	39,0566427301
7 o más personas		18	Ribera Baja del Ebro	
1 persona	1	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1191,253188794
2 personas	2	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1655,7965028062
3 personas	3	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1252,0405652154
4 personas	4	19	Bajo Aragón-Caspe / Baix Aragó-Casp	898,5802368372
5 personas	5	19	Bajo Aragón-Caspe / Baix Aragó-Casp	367,9607763052
6 personas	6	19	Bajo Aragón-Caspe / Baix Aragó-Casp	115,6619466067
7 o más personas	7	19	Bajo Aragón-Caspe / Baix Aragó-Casp	62,1588573714
1 persona	1	20	Comunidad de Calatayud	4745,045637508
2 personas	2	20	Comunidad de Calatayud	5040,8876183963
3 personas	3	20	Comunidad de Calatayud	3241,0237937761
4 personas	4	20	Comunidad de Calatayud	2691,4122946511
5 personas	5	20	Comunidad de Calatayud	704,3031737594
6 personas	6	20	Comunidad de Calatayud	182,854743452
7 o más personas	8,35879583378944	20	Comunidad de Calatayud	27,6255558213
1 persona	1	21	Campo de Cariñena	1001,4145370166
2 personas	2	21	Campo de Cariñena	1278,9821195938
3 personas	3	21	Campo de Cariñena	1068,1776058462
4 personas	4	21	Campo de Cariñena	724,9137496121
5 personas	5	21	Campo de Cariñena	222,0623529257
6 personas	6	21	Campo de Cariñena	19,3107411441
7 o más personas	7	21	Campo de Cariñena	9,5936112799
1 persona	1	22	Campo de Belchite	617,0795762454
2 personas	2	22	Campo de Belchite	755,6441427196
3 personas	3	22	Campo de Belchite	439,0878994342
4 personas	4	22	Campo de Belchite	331,9326052959
5 personas	5	22	Campo de Belchite	60,5155808809
6 personas	6	22	Campo de Belchite	8,7547066999
7 o más personas	10	22	Campo de Belchite	1,4018282165
1 persona	1	23	Bajo Martín	716,3888862704
2 personas	2	23	Bajo Martín	1007,0086257637
3 personas	3	23	Bajo Martín	556,9759184019
4 personas	4	23	Bajo Martín	436,876348567
5 personas	5	23	Bajo Martín	117,4290187532
6 personas	6	23	Bajo Martín	17,3007547109
7 o más personas	7	23	Bajo Martín	6,1624948845
1 persona	1	24	Campo de Daroca	908,3489596993
2 personas	2	24	Campo de Daroca	906,415751182
3 personas	3	24	Campo de Daroca	501,3028154857
4 personas	4	24	Campo de Daroca	341,3901006247
5 personas	5	24	Campo de Daroca	63,6018920323
6 personas	6	24	Campo de Daroca	25,8547058162
7 o más personas	7	24	Campo de Daroca	3,020266861
1 persona	1	25	Jiloca	1604,1349574668
2 personas	2	25	Jiloca	1744,0920142306
3 personas	3	25	Jiloca	997,9106020939
4 personas	4	25	Jiloca	983,2211464328
5 personas	5	25	Jiloca	145,2928272572
6 personas	6	25	Jiloca	96,8517180166
7 o más personas	7	25	Jiloca	8,0443753507
1 persona	1	26	Cuencas Mineras	787,0822693903
2 personas	2	26	Cuencas Mineras	1099,0986653203
3 personas	3	26	Cuencas Mineras	726,3650632806
4 personas	4	26	Cuencas Mineras	607,0141942696
5 personas	5	26	Cuencas Mineras	155,2903822548
6 personas	6	26	Cuencas Mineras	54,3769247121
