Año	CCAA código	CCAA nombre	Población
1996	02	Aragón	1187546
1998	02	Aragón	1183234
1999	02	Aragón	1186849
2000	02	Aragón	1189909
2001	02	Aragón	1199753
2002	02	Aragón	1217514
2003	02	Aragón	1230090
2004	02	Aragón	1249584
2005	02	Aragón	1269027
2006	02	Aragón	1277471
2007	02	Aragón	1296655
2008	02	Aragón	1326918
2009	02	Aragón	1345473
2010	02	Aragón	1347095
2011	02	Aragón	1346293
2012	02	Aragón	1349467
2013	02	Aragón	1347150
2014	02	Aragón	1325678
2015	02	Aragón	1317847
2016	02	Aragón	1308563
