Año	Población	Comarca código	Comarca nombre
1996	16583	01	La Jacetania
1996	12184	02	Alto Gállego
1996	6806	03	Sobrarbe
1996	11895	04	La Ribagorza
1996	31837	05	Cinco Villas
1996	59711	06	Hoya de Huesca / Plana de Uesca
1996	22652	07	Somontano de Barbastro
1996	21843	08	Cinca Medio
1996	18927	09	La Litera / La Llitera
1996	22042	10	Los Monegros
1996	22383	11	Bajo Cinca / Baix Cinca
1996	14207	12	Tarazona y el Moncayo
1996	14303	13	Campo de Borja
1996	8147	14	Aranda
1996	21671	15	Ribera Alta del Ebro
1996	21630	16	Valdejalón
1996	636833	17	D.C. Zaragoza
1996	9769	18	Ribera Baja del Ebro
1996	13008	19	Bajo Aragón-Caspe / Baix Aragó-Casp
1996	40271	20	Comunidad de Calatayud
1996	9902	21	Campo de Cariñena
1996	5811	22	Campo de Belchite
1996	7894	23	Bajo Martín
1996	6920	24	Campo de Daroca
1996	14353	25	Jiloca
1996	10240	26	Cuencas Mineras
1996	11911	27	Andorra-Sierra de Arcos
1996	26097	28	Bajo Aragón
1996	41750	29	Comunidad de Teruel
1996	3773	30	Maestrazgo
1996	5208	31	Sierra de Albarracín
1996	7817	32	Gúdar-Javalambre
1996	9168	33	Matarraña / Matarranya
1998	16429	01	La Jacetania
1998	12102	02	Alto Gállego
1998	6689	03	Sobrarbe
1998	11755	04	La Ribagorza
1998	31030	05	Cinco Villas
1998	59325	06	Hoya de Huesca / Plana de Uesca
1998	22357	07	Somontano de Barbastro
1998	21685	08	Cinca Medio
1998	18709	09	La Litera / La Llitera
1998	21641	10	Los Monegros
1998	22268	11	Bajo Cinca / Baix Cinca
1998	14054	12	Tarazona y el Moncayo
1998	13968	13	Campo de Borja
1998	8113	14	Aranda
1998	21595	15	Ribera Alta del Ebro
1998	21385	16	Valdejalón
1998	639411	17	D.C. Zaragoza
1998	9539	18	Ribera Baja del Ebro
1998	12885	19	Bajo Aragón-Caspe / Baix Aragó-Casp
1998	39167	20	Comunidad de Calatayud
1998	9842	21	Campo de Cariñena
1998	5674	22	Campo de Belchite
1998	7737	23	Bajo Martín
1998	6771	24	Campo de Daroca
1998	14128	25	Jiloca
1998	9979	26	Cuencas Mineras
1998	11728	27	Andorra-Sierra de Arcos
1998	26024	28	Bajo Aragón
1998	41715	29	Comunidad de Teruel
1998	3728	30	Maestrazgo
1998	5083	31	Sierra de Albarracín
1998	7778	32	Gúdar-Javalambre
1998	8940	33	Matarraña / Matarranya
1999	16591	01	La Jacetania
1999	12101	02	Alto Gállego
1999	6740	03	Sobrarbe
1999	11904	04	La Ribagorza
1999	31738	05	Cinco Villas
1999	59472	06	Hoya de Huesca / Plana de Uesca
1999	22399	07	Somontano de Barbastro
1999	21713	08	Cinca Medio
1999	18631	09	La Litera / La Llitera
1999	21549	10	Los Monegros
1999	22301	11	Bajo Cinca / Baix Cinca
1999	14151	12	Tarazona y el Moncayo
1999	14177	13	Campo de Borja
1999	8127	14	Aranda
1999	21746	15	Ribera Alta del Ebro
1999	21496	16	Valdejalón
1999	640346	17	D.C. Zaragoza
1999	9664	18	Ribera Baja del Ebro
1999	12947	19	Bajo Aragón-Caspe / Baix Aragó-Casp
1999	39851	20	Comunidad de Calatayud
1999	9895	21	Campo de Cariñena
1999	5680	22	Campo de Belchite
1999	7613	23	Bajo Martín
1999	6781	24	Campo de Daroca
1999	14079	25	Jiloca
1999	9881	26	Cuencas Mineras
1999	11568	27	Andorra-Sierra de Arcos
1999	25962	28	Bajo Aragón
1999	42272	29	Comunidad de Teruel
1999	3717	30	Maestrazgo
1999	5108	31	Sierra de Albarracín
1999	7779	32	Gúdar-Javalambre
1999	8870	33	Matarraña / Matarranya
2000	16646	01	La Jacetania
2000	12117	02	Alto Gállego
2000	6820	03	Sobrarbe
2000	11856	04	La Ribagorza
2000	31737	05	Cinco Villas
2000	59509	06	Hoya de Huesca / Plana de Uesca
2000	22475	07	Somontano de Barbastro
2000	21784	08	Cinca Medio
2000	18546	09	La Litera / La Llitera
2000	21356	10	Los Monegros
2000	22216	11	Bajo Cinca / Baix Cinca
2000	14106	12	Tarazona y el Moncayo
2000	14113	13	Campo de Borja
2000	8052	14	Aranda
2000	21870	15	Ribera Alta del Ebro
2000	21946	16	Valdejalón
2000	643602	17	D.C. Zaragoza
2000	9566	18	Ribera Baja del Ebro
2000	12783	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2000	39948	20	Comunidad de Calatayud
2000	9899	21	Campo de Cariñena
2000	5672	22	Campo de Belchite
2000	7497	23	Bajo Martín
2000	6817	24	Campo de Daroca
2000	13964	25	Jiloca
