Año	Población	Municipio código	Municipio nombre
1996	305	22001	Abiego
1996	136	22002	Abizanda
1996	171	22003	Adahuesca
1996	163	22004	Agüero
1996	354	22006	Aísa
1996	1107	22007	Albalate de Cinca
1996	271	22008	Albalatillo
1996	975	22009	Albelda
1996	101	22011	Albero Alto
1996	117	22012	Albero Bajo
1996	404	22013	Alberuela de Tubo
1996	370	22014	Alcalá de Gurrea
1996	353	22015	Alcalá del Obispo
1996	1015	22016	Alcampell
1996	1245	22017	Alcolea de Cinca
1996	483	22018	Alcubierre
1996	167	22019	Alerre
1996	131	22020	Alfántega
1996	2379	22021	Almudévar
1996	704	22022	Almunia de San Juan
1996	644	22023	Almuniente
1996	303	22024	Alquézar
1996	1454	22025	Altorricón
1996	461	22027	Angüés
1996	509	22028	Ansó
1996	171	22029	Antillón
1996	144	22032	Aragüés del Puerto
1996	418	22035	Arén
1996	121	22036	Argavieso
1996	59	22037	Arguis
1996	1142	22039	Ayerbe
1996	204	22040	Azanuy-Alins
1996	231	22041	Azara
1996	174	22042	Azlor
1996	160	22043	Baells
1996	338	22044	Bailo
1996	159	22045	Baldellou
1996	1102	22046	Ballobar
1996	170	22047	Banastás
1996	14520	22048	Barbastro
1996	121	22049	Barbués
1996	110	22050	Barbuñales
1996	114	22051	Bárcabo
1996	1406	22052	Belver de Cinca
1996	1195	22053	Benabarre
1996	1219	22054	Benasque
1996	486	22055	Berbegal
1996	472	22057	Bielsa
1996	224	22058	Bierge
1996	1240	22059	Biescas
1996	1622	22060	Binaced
1996	8130	22061	Binéfar
1996	223	22062	Bisaurri
1996	249	22063	Biscarrués
1996	187	22064	Blecua y Torres
1996	881	22066	Boltaña
1996	72	22067	Bonansa
1996	78	22068	Borau
1996	522	22069	Broto
1996	267	22072	Caldearenas
1996	376	22074	Campo
1996	263	22075	Camporrells
1996	429	22076	Canal de Berdún
1996	572	22077	Candasnos
1996	509	22078	Canfranc
1996	194	22079	Capdesaso
1996	406	22080	Capella
1996	322	22081	Casbas de Huesca
1996	407	22082	Castejón del Puente
1996	754	22083	Castejón de Monegros
1996	514	22084	Castejón de Sos
1996	157	22085	Castelflorite
1996	156	22086	Castiello de Jaca
