Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
1998	Hombres	95 y más	02	Aragón	-424	-0,00157697151472466
1998	Mujeres	95 y más	02	Aragón	1087	0,00404284914270212
1999	Hombres	95 y más	02	Aragón	-458	-0,00170342677769786
1999	Mujeres	95 y más	02	Aragón	1190	0,00442593420406212
2000	Hombres	95 y más	02	Aragón	-508	-0,00188939039971728
2000	Mujeres	95 y más	02	Aragón	1358	0,00505077197404736
2001	Hombres	95 y más	02	Aragón	-590	-0,00219437073982912
2001	Mujeres	95 y más	02	Aragón	1537	0,00571652174087688
2002	Hombres	95 y más	02	Aragón	-596	-0,00221668637447145
2002	Mujeres	95 y más	02	Aragón	1552	0,0057723108274827
2003	Hombres	95 y más	02	Aragón	-621	-0,00230966818548116
2003	Mujeres	95 y más	02	Aragón	1577	0,00586529263849241
2004	Hombres	95 y más	02	Aragón	-654	-0,00243240417601397
2004	Mujeres	95 y más	02	Aragón	1697	0,00631160533133901
2005	Hombres	95 y más	02	Aragón	-632	-0,00235058018232543
2005	Mujeres	95 y más	02	Aragón	1732	0,0064417798667526
2006	Hombres	95 y más	02	Aragón	-650	-0,00241752708625242
2006	Mujeres	95 y más	02	Aragón	1823	0,00678023365882794
2007	Hombres	95 y más	02	Aragón	-658	-0,00244728126577553
2007	Mujeres	95 y más	02	Aragón	1865	0,00693644310132425
2008	Hombres	95 y más	02	Aragón	-700	-0,00260349070827184
2008	Mujeres	95 y más	02	Aragón	1945	0,00723398489655532
2009	Hombres	95 y más	02	Aragón	-722	-0,00268531470196038
2009	Mujeres	95 y más	02	Aragón	2049	0,00762078923035571
2010	Hombres	95 y más	02	Aragón	-754	-0,00280433142005281
2010	Mujeres	95 y más	02	Aragón	2207	0,00820843427593706
2011	Hombres	95 y más	02	Aragón	-753	-0,00280061214761242
2011	Mujeres	95 y más	02	Aragón	2318	0,00862127351682017
2012	Hombres	95 y más	02	Aragón	-744	-0,00276713869564892
2012	Mujeres	95 y más	02	Aragón	2374	0,00882955277348191
2013	Hombres	95 y más	02	Aragón	-747	-0,00277829651297009
2013	Mujeres	95 y más	02	Aragón	2479	0,00922007637972269
2014	Hombres	95 y más	02	Aragón	-767	-0,00285268196177786
2014	Mujeres	95 y más	02	Aragón	2660	0,00989326469143298
2015	Hombres	95 y más	02	Aragón	-779	-0,00289731323106252
2015	Mujeres	95 y más	02	Aragón	2788	0,0103693315638027
2016	Hombres	95 y más	02	Aragón	-844	-0,00313906593968776
2016	Mujeres	95 y más	02	Aragón	2993	0,0111317824140823
2017	Hombres	95 y más	02	Aragón	-965	-0,00358909790497475
2017	Mujeres	95 y más	02	Aragón	3293	0,0122475641461988
2018	Hombres	95 y más	02	Aragón	-1087	-0,00404284914270212
2018	Mujeres	95 y más	02	Aragón	3509	0,0130509269933227
1998	Hombres	94	02	Aragón	-199	-0,000740135215637279
1998	Mujeres	94	02	Aragón	501	0,00186335549263456
1999	Hombres	94	02	Aragón	-201	-0,000747573760518056
1999	Mujeres	94	02	Aragón	523	0,0019451794863231
2000	Hombres	94	02	Aragón	-271	-0,00100792283134524
2000	Mujeres	94	02	Aragón	589	0,00219065146738873
2001	Hombres	94	02	Aragón	-262	-0,000974449379381745
2001	Mujeres	94	02	Aragón	592	0,0022018092847099
2002	Hombres	94	02	Aragón	-274	-0,0010190806486664
2002	Mujeres	94	02	Aragón	618	0,00229851036815999
2003	Hombres	94	02	Aragón	-288	-0,00107115046283184
2003	Mujeres	94	02	Aragón	644	0,00239521145161009
2004	Hombres	94	02	Aragón	-238	-0,000885186840812425
2004	Mujeres	94	02	Aragón	634	0,00235801872720621
2005	Hombres	94	02	Aragón	-285	-0,00105999264551068
2005	Mujeres	94	02	Aragón	759	0,00282292778225475
2006	Hombres	94	02	Aragón	-283	-0,0010525541006299
2006	Mujeres	94	02	Aragón	745	0,00277085796808931
