Año	Residencia CCAA código	Residencia CCAA nombre	Edad (grandes grupos)	Sexo	Personas
1998	02	Aragón	0 a 15	Mujeres	80292
1998	02	Aragón	16 a 64	Mujeres	373178
1998	02	Aragón	65 y más	Mujeres	136307
1999	02	Aragón	0 a 15	Mujeres	78418
1999	02	Aragón	16 a 64	Mujeres	374836
1999	02	Aragón	65 y más	Mujeres	140915
2000	02	Aragón	0 a 15	Mujeres	78829
2000	02	Aragón	16 a 64	Mujeres	379126
2000	02	Aragón	65 y más	Mujeres	144467
2001	02	Aragón	0 a 15	Mujeres	77964
2001	02	Aragón	16 a 64	Mujeres	381343
2001	02	Aragón	65 y más	Mujeres	146904
2002	02	Aragón	0 a 15	Mujeres	79272
2002	02	Aragón	16 a 64	Mujeres	385886
2002	02	Aragón	65 y más	Mujeres	148401
2003	02	Aragón	0 a 15	Mujeres	80821
2003	02	Aragón	16 a 64	Mujeres	390349
2003	02	Aragón	65 y más	Mujeres	148710
2004	02	Aragón	0 a 15	Mujeres	82120
2004	02	Aragón	16 a 64	Mujeres	397988
2004	02	Aragón	65 y más	Mujeres	148602
2005	02	Aragón	0 a 15	Mujeres	83662
2005	02	Aragón	16 a 64	Mujeres	405279
2005	02	Aragón	65 y más	Mujeres	147938
2006	02	Aragón	0 a 15	Mujeres	84730
2006	02	Aragón	16 a 64	Mujeres	407681
2006	02	Aragón	65 y más	Mujeres	148401
2007	02	Aragón	0 a 15	Mujeres	87007
2007	02	Aragón	16 a 64	Mujeres	414375
2007	02	Aragón	65 y más	Mujeres	148277
2008	02	Aragón	0 a 15	Mujeres	90033
2008	02	Aragón	16 a 64	Mujeres	423852
2008	02	Aragón	65 y más	Mujeres	148630
2009	02	Aragón	0 a 15	Mujeres	92708
2009	02	Aragón	16 a 64	Mujeres	429044
2009	02	Aragón	65 y más	Mujeres	149902
2010	02	Aragón	0 a 15	Mujeres	94229
2010	02	Aragón	16 a 64	Mujeres	428648
2010	02	Aragón	65 y más	Mujeres	151041
2011	02	Aragón	0 a 15	Mujeres	95091
2011	02	Aragón	16 a 64	Mujeres	427310
2011	02	Aragón	65 y más	Mujeres	152606
2012	02	Aragón	0 a 15	Mujeres	96291
2012	02	Aragón	16 a 64	Mujeres	427688
2012	02	Aragón	65 y más	Mujeres	153590
2013	02	Aragón	0 a 15	Mujeres	96726
2013	02	Aragón	16 a 64	Mujeres	426000
2013	02	Aragón	65 y más	Mujeres	154437
2014	02	Aragón	0 a 15	Mujeres	95610
2014	02	Aragón	16 a 64	Mujeres	416946
2014	02	Aragón	65 y más	Mujeres	155865
2015	02	Aragón	0 a 15	Mujeres	95672
2015	02	Aragón	16 a 64	Mujeres	412531
2015	02	Aragón	65 y más	Mujeres	156957
2016	02	Aragón	0 a 15	Mujeres	95378
2016	02	Aragón	16 a 64	Mujeres	408519
2016	02	Aragón	65 y más	Mujeres	157460
1998	02	Aragón	0 a 15	Hombres	84072
1998	02	Aragón	16 a 64	Hombres	383124
1998	02	Aragón	65 y más	Hombres	104635
1999	02	Aragón	0 a 15	Hombres	82410
1999	02	Aragón	16 a 64	Hombres	385170
1999	02	Aragón	65 y más	Hombres	108046
2000	02	Aragón	0 a 15	Hombres	83064
2000	02	Aragón	16 a 64	Hombres	390824
2000	02	Aragón	65 y más	Hombres	110869
2001	02	Aragón	0 a 15	Hombres	82102
2001	02	Aragón	16 a 64	Hombres	397157
2001	02	Aragón	65 y más	Hombres	112547
2002	02	Aragón	0 a 15	Hombres	83144
2002	02	Aragón	16 a 64	Hombres	405713
2002	02	Aragón	65 y más	Hombres	113468
2003	02	Aragón	0 a 15	Hombres	84805
2003	02	Aragón	16 a 64	Hombres	411655
2003	02	Aragón	65 y más	Hombres	113750
2004	02	Aragón	0 a 15	Hombres	86589
2004	02	Aragón	16 a 64	Hombres	420851
2004	02	Aragón	65 y más	Hombres	113434
2005	02	Aragón	0 a 15	Hombres	88309
2005	02	Aragón	16 a 64	Hombres	431404
2005	02	Aragón	65 y más	Hombres	112435
2006	02	Aragón	0 a 15	Hombres	89591
2006	02	Aragón	16 a 64	Hombres	433954
2006	02	Aragón	65 y más	Hombres	113114
2007	02	Aragón	0 a 15	Hombres	91874
2007	02	Aragón	16 a 64	Hombres	441984
2007	02	Aragón	65 y más	Hombres	113138
2008	02	Aragón	0 a 15	Hombres	95392
2008	02	Aragón	16 a 64	Hombres	455570
2008	02	Aragón	65 y más	Hombres	113441
2009	02	Aragón	0 a 15	Hombres	98334
2009	02	Aragón	16 a 64	Hombres	461377
2009	02	Aragón	65 y más	Hombres	114108
2010	02	Aragón	0 a 15	Hombres	100070
2010	02	Aragón	16 a 64	Hombres	458068
2010	02	Aragón	65 y más	Hombres	115039
2011	02	Aragón	0 a 15	Hombres	100983
2011	02	Aragón	16 a 64	Hombres	454100
2011	02	Aragón	65 y más	Hombres	116203
2012	02	Aragón	0 a 15	Hombres	102083
2012	02	Aragón	16 a 64	Hombres	452777
2012	02	Aragón	65 y más	Hombres	117038
2013	02	Aragón	0 a 15	Hombres	102337
2013	02	Aragón	16 a 64	Hombres	449657
2013	02	Aragón	65 y más	Hombres	117993
2014	02	Aragón	0 a 15	Hombres	101370
2014	02	Aragón	16 a 64	Hombres	436332
2014	02	Aragón	65 y más	Hombres	119262
2015	02	Aragón	0 a 15	Hombres	101211
2015	02	Aragón	16 a 64	Hombres	431136
2015	02	Aragón	65 y más	Hombres	120340
2016	02	Aragón	0 a 15	Hombres	100856
2016	02	Aragón	16 a 64	Hombres	425449
2016	02	Aragón	65 y más	Hombres	120901
