Año	Residencia provincia código	Residencia provincia nombre	Relación lugar de residencia y nacimiento	Nacimiento CCAA código	Nacimiento CCAA nombre	Edad (grandes grupos)	Sexo	Personas
1998	22	Huesca	1- Nacidos en Aragón	02	Aragón	0 a 15	Hombres	12652
1998	22	Huesca	1- Nacidos en Aragón	02	Aragón	0 a 15	Mujeres	11859
1998	22	Huesca	1- Nacidos en Aragón	02	Aragón	16 a 64	Hombres	53118
1998	22	Huesca	1- Nacidos en Aragón	02	Aragón	16 a 64	Mujeres	49404
1998	22	Huesca	1- Nacidos en Aragón	02	Aragón	65 y más	Hombres	19152
1998	22	Huesca	1- Nacidos en Aragón	02	Aragón	65 y más	Mujeres	22593
1998	22	Huesca	2- Nacidos en otra CA	01	Andalucía	0 a 15	Hombres	92
1998	22	Huesca	2- Nacidos en otra CA	01	Andalucía	0 a 15	Mujeres	75
1998	22	Huesca	2- Nacidos en otra CA	01	Andalucía	16 a 64	Hombres	2221
1998	22	Huesca	2- Nacidos en otra CA	01	Andalucía	16 a 64	Mujeres	2095
1998	22	Huesca	2- Nacidos en otra CA	01	Andalucía	65 y más	Hombres	646
1998	22	Huesca	2- Nacidos en otra CA	01	Andalucía	65 y más	Mujeres	726
1998	22	Huesca	2- Nacidos en otra CA	03	Asturias (Principado de)	0 a 15	Hombres	6
1998	22	Huesca	2- Nacidos en otra CA	03	Asturias (Principado de)	0 a 15	Mujeres	14
1998	22	Huesca	2- Nacidos en otra CA	03	Asturias (Principado de)	16 a 64	Hombres	134
1998	22	Huesca	2- Nacidos en otra CA	03	Asturias (Principado de)	16 a 64	Mujeres	138
1998	22	Huesca	2- Nacidos en otra CA	03	Asturias (Principado de)	65 y más	Hombres	24
1998	22	Huesca	2- Nacidos en otra CA	03	Asturias (Principado de)	65 y más	Mujeres	50
1998	22	Huesca	2- Nacidos en otra CA	04	Balears (Illes)	0 a 15	Hombres	11
1998	22	Huesca	2- Nacidos en otra CA	04	Balears (Illes)	0 a 15	Mujeres	6
1998	22	Huesca	2- Nacidos en otra CA	04	Balears (Illes)	16 a 64	Hombres	42
1998	22	Huesca	2- Nacidos en otra CA	04	Balears (Illes)	16 a 64	Mujeres	48
1998	22	Huesca	2- Nacidos en otra CA	04	Balears (Illes)	65 y más	Hombres	4
1998	22	Huesca	2- Nacidos en otra CA	04	Balears (Illes)	65 y más	Mujeres	7
1998	22	Huesca	2- Nacidos en otra CA	05	Canarias	0 a 15	Hombres	8
1998	22	Huesca	2- Nacidos en otra CA	05	Canarias	0 a 15	Mujeres	8
1998	22	Huesca	2- Nacidos en otra CA	05	Canarias	16 a 64	Hombres	32
1998	22	Huesca	2- Nacidos en otra CA	05	Canarias	16 a 64	Mujeres	35
1998	22	Huesca	2- Nacidos en otra CA	05	Canarias	65 y más	Hombres	5
1998	22	Huesca	2- Nacidos en otra CA	05	Canarias	65 y más	Mujeres	8
1998	22	Huesca	2- Nacidos en otra CA	06	Cantabria	0 a 15	Hombres	11
1998	22	Huesca	2- Nacidos en otra CA	06	Cantabria	0 a 15	Mujeres	4
1998	22	Huesca	2- Nacidos en otra CA	06	Cantabria	16 a 64	Hombres	97
1998	22	Huesca	2- Nacidos en otra CA	06	Cantabria	16 a 64	Mujeres	78
1998	22	Huesca	2- Nacidos en otra CA	06	Cantabria	65 y más	Hombres	30
1998	22	Huesca	2- Nacidos en otra CA	06	Cantabria	65 y más	Mujeres	41
1998	22	Huesca	2- Nacidos en otra CA	07	Castilla y León	0 a 15	Hombres	56
1998	22	Huesca	2- Nacidos en otra CA	07	Castilla y León	0 a 15	Mujeres	45
1998	22	Huesca	2- Nacidos en otra CA	07	Castilla y León	16 a 64	Hombres	973
1998	22	Huesca	2- Nacidos en otra CA	07	Castilla y León	16 a 64	Mujeres	908
1998	22	Huesca	2- Nacidos en otra CA	07	Castilla y León	65 y más	Hombres	315
1998	22	Huesca	2- Nacidos en otra CA	07	Castilla y León	65 y más	Mujeres	381
1998	22	Huesca	2- Nacidos en otra CA	08	Castilla-La Mancha	0 a 15	Hombres	26
1998	22	Huesca	2- Nacidos en otra CA	08	Castilla-La Mancha	0 a 15	Mujeres	31
1998	22	Huesca	2- Nacidos en otra CA	08	Castilla-La Mancha	16 a 64	Hombres	661
1998	22	Huesca	2- Nacidos en otra CA	08	Castilla-La Mancha	16 a 64	Mujeres	563
1998	22	Huesca	2- Nacidos en otra CA	08	Castilla-La Mancha	65 y más	Hombres	271
1998	22	Huesca	2- Nacidos en otra CA	08	Castilla-La Mancha	65 y más	Mujeres	321
1998	22	Huesca	2- Nacidos en otra CA	09	Cataluña	0 a 15	Hombres	1228
1998	22	Huesca	2- Nacidos en otra CA	09	Cataluña	0 a 15	Mujeres	1156
1998	22	Huesca	2- Nacidos en otra CA	09	Cataluña	16 a 64	Hombres	4654
1998	22	Huesca	2- Nacidos en otra CA	09	Cataluña	16 a 64	Mujeres	4964
1998	22	Huesca	2- Nacidos en otra CA	09	Cataluña	65 y más	Hombres	656
1998	22	Huesca	2- Nacidos en otra CA	09	Cataluña	65 y más	Mujeres	832
1998	22	Huesca	2- Nacidos en otra CA	10	Comunitat Valenciana	0 a 15	Hombres	51
1998	22	Huesca	2- Nacidos en otra CA	10	Comunitat Valenciana	0 a 15	Mujeres	44
1998	22	Huesca	2- Nacidos en otra CA	10	Comunitat Valenciana	16 a 64	Hombres	341
1998	22	Huesca	2- Nacidos en otra CA	10	Comunitat Valenciana	16 a 64	Mujeres	350
1998	22	Huesca	2- Nacidos en otra CA	10	Comunitat Valenciana	65 y más	Hombres	80
1998	22	Huesca	2- Nacidos en otra CA	10	Comunitat Valenciana	65 y más	Mujeres	113
1998	22	Huesca	2- Nacidos en otra CA	11	Extremadura	0 a 15	Hombres	17
1998	22	Huesca	2- Nacidos en otra CA	11	Extremadura	0 a 15	Mujeres	12
1998	22	Huesca	2- Nacidos en otra CA	11	Extremadura	16 a 64	Hombres	631
1998	22	Huesca	2- Nacidos en otra CA	11	Extremadura	16 a 64	Mujeres	580
1998	22	Huesca	2- Nacidos en otra CA	11	Extremadura	65 y más	Hombres	146
1998	22	Huesca	2- Nacidos en otra CA	11	Extremadura	65 y más	Mujeres	153
1998	22	Huesca	2- Nacidos en otra CA	12	Galicia	0 a 15	Hombres	23
1998	22	Huesca	2- Nacidos en otra CA	12	Galicia	0 a 15	Mujeres	29
1998	22	Huesca	2- Nacidos en otra CA	12	Galicia	16 a 64	Hombres	328
1998	22	Huesca	2- Nacidos en otra CA	12	Galicia	16 a 64	Mujeres	286
1998	22	Huesca	2- Nacidos en otra CA	12	Galicia	65 y más	Hombres	66
1998	22	Huesca	2- Nacidos en otra CA	12	Galicia	65 y más	Mujeres	64
1998	22	Huesca	2- Nacidos en otra CA	13	Madrid (Comunidad de)	0 a 15	Hombres	76
1998	22	Huesca	2- Nacidos en otra CA	13	Madrid (Comunidad de)	0 a 15	Mujeres	108
1998	22	Huesca	2- Nacidos en otra CA	13	Madrid (Comunidad de)	16 a 64	Hombres	571
1998	22	Huesca	2- Nacidos en otra CA	13	Madrid (Comunidad de)	16 a 64	Mujeres	469
1998	22	Huesca	2- Nacidos en otra CA	13	Madrid (Comunidad de)	65 y más	Hombres	61
1998	22	Huesca	2- Nacidos en otra CA	13	Madrid (Comunidad de)	65 y más	Mujeres	103
1998	22	Huesca	2- Nacidos en otra CA	14	Murcia (Región de)	0 a 15	Hombres	11
1998	22	Huesca	2- Nacidos en otra CA	14	Murcia (Región de)	0 a 15	Mujeres	8
1998	22	Huesca	2- Nacidos en otra CA	14	Murcia (Región de)	16 a 64	Hombres	115
1998	22	Huesca	2- Nacidos en otra CA	14	Murcia (Región de)	16 a 64	Mujeres	91
1998	22	Huesca	2- Nacidos en otra CA	14	Murcia (Región de)	65 y más	Hombres	45
1998	22	Huesca	2- Nacidos en otra CA	14	Murcia (Región de)	65 y más	Mujeres	49
1998	22	Huesca	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	0 a 15	Hombres	67
1998	22	Huesca	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	0 a 15	Mujeres	52
1998	22	Huesca	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	16 a 64	Hombres	287
1998	22	Huesca	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	16 a 64	Mujeres	364
1998	22	Huesca	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	65 y más	Hombres	81
1998	22	Huesca	2- Nacidos en otra CA	15	Navarra (Comunidad Foral de)	65 y más	Mujeres	191
1998	22	Huesca	2- Nacidos en otra CA	16	País Vasco	0 a 15	Hombres	47
1998	22	Huesca	2- Nacidos en otra CA	16	País Vasco	0 a 15	Mujeres	42
1998	22	Huesca	2- Nacidos en otra CA	16	País Vasco	16 a 64	Hombres	401
1998	22	Huesca	2- Nacidos en otra CA	16	País Vasco	16 a 64	Mujeres	400
1998	22	Huesca	2- Nacidos en otra CA	16	País Vasco	65 y más	Hombres	49
1998	22	Huesca	2- Nacidos en otra CA	16	País Vasco	65 y más	Mujeres	77
1998	22	Huesca	2- Nacidos en otra CA	17	Rioja (La)	0 a 15	Hombres	12
1998	22	Huesca	2- Nacidos en otra CA	17	Rioja (La)	0 a 15	Mujeres	4
1998	22	Huesca	2- Nacidos en otra CA	17	Rioja (La)	16 a 64	Hombres	107
1998	22	Huesca	2- Nacidos en otra CA	17	Rioja (La)	16 a 64	Mujeres	134
1998	22	Huesca	2- Nacidos en otra CA	17	Rioja (La)	65 y más	Hombres	43
1998	22	Huesca	2- Nacidos en otra CA	17	Rioja (La)	65 y más	Mujeres	46
1998	22	Huesca	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	0 a 15	Hombres	1
1998	22	Huesca	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	0 a 15	Mujeres	1
1998	22	Huesca	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	16 a 64	Hombres	29
1998	22	Huesca	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	16 a 64	Mujeres	19
1998	22	Huesca	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	65 y más	Hombres	2
1998	22	Huesca	2- Nacidos en otra CA	18	Ciudad Autónoma de Ceuta	65 y más	Mujeres	3
1998	22	Huesca	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	0 a 15	Hombres	4
1998	22	Huesca	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	0 a 15	Mujeres	6
1998	22	Huesca	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	16 a 64	Hombres	27
1998	22	Huesca	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	16 a 64	Mujeres	28
1998	22	Huesca	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	65 y más	Hombres	11
1998	22	Huesca	2- Nacidos en otra CA	19	Ciudad Autónoma de Melilla	65 y más	Mujeres	9
1998	22	Huesca	3- Nacidos en el extranjero	00	No aplicable	0 a 15	Hombres	113
1998	22	Huesca	3- Nacidos en el extranjero	00	No aplicable	0 a 15	Mujeres	103
1998	22	Huesca	3- Nacidos en el extranjero	00	No aplicable	16 a 64	Hombres	1032
1998	22	Huesca	3- Nacidos en el extranjero	00	No aplicable	16 a 64	Mujeres	964
1998	22	Huesca	3- Nacidos en el extranjero	00	No aplicable	65 y más	Hombres	156
1998	22	Huesca	3- Nacidos en el extranjero	00	No aplicable	65 y más	Mujeres	182
1998	44	Teruel	1- Nacidos en Aragón	02	Aragón	0 a 15	Hombres	9221
1998	44	Teruel	1- Nacidos en Aragón	02	Aragón	0 a 15	Mujeres	9027
1998	44	Teruel	1- Nacidos en Aragón	02	Aragón	16 a 64	Hombres	35871
1998	44	Teruel	1- Nacidos en Aragón	02	Aragón	16 a 64	Mujeres	32547
1998	44	Teruel	1- Nacidos en Aragón	02	Aragón	65 y más	Hombres	15054
1998	44	Teruel	1- Nacidos en Aragón	02	Aragón	65 y más	Mujeres	17531
1998	44	Teruel	2- Nacidos en otra CA	01	Andalucía	0 a 15	Hombres	70
1998	44	Teruel	2- Nacidos en otra CA	01	Andalucía	0 a 15	Mujeres	56
1998	44	Teruel	2- Nacidos en otra CA	01	Andalucía	16 a 64	Hombres	1285
1998	44	Teruel	2- Nacidos en otra CA	01	Andalucía	16 a 64	Mujeres	1097
1998	44	Teruel	2- Nacidos en otra CA	01	Andalucía	65 y más	Hombres	348
1998	44	Teruel	2- Nacidos en otra CA	01	Andalucía	65 y más	Mujeres	357
1998	44	Teruel	2- Nacidos en otra CA	03	Asturias (Principado de)	0 a 15	Hombres	11
1998	44	Teruel	2- Nacidos en otra CA	03	Asturias (Principado de)	0 a 15	Mujeres	10
1998	44	Teruel	2- Nacidos en otra CA	03	Asturias (Principado de)	16 a 64	Hombres	82
1998	44	Teruel	2- Nacidos en otra CA	03	Asturias (Principado de)	16 a 64	Mujeres	55
1998	44	Teruel	2- Nacidos en otra CA	03	Asturias (Principado de)	65 y más	Hombres	10
1998	44	Teruel	2- Nacidos en otra CA	03	Asturias (Principado de)	65 y más	Mujeres	21
1998	44	Teruel	2- Nacidos en otra CA	04	Balears (Illes)	0 a 15	Hombres	14
1998	44	Teruel	2- Nacidos en otra CA	04	Balears (Illes)	0 a 15	Mujeres	12
1998	44	Teruel	2- Nacidos en otra CA	04	Balears (Illes)	16 a 64	Hombres	12
1998	44	Teruel	2- Nacidos en otra CA	04	Balears (Illes)	16 a 64	Mujeres	17
1998	44	Teruel	2- Nacidos en otra CA	04	Balears (Illes)	65 y más	Hombres	1
1998	44	Teruel	2- Nacidos en otra CA	04	Balears (Illes)	65 y más	Mujeres	4
1998	44	Teruel	2- Nacidos en otra CA	05	Canarias	0 a 15	Hombres	9
1998	44	Teruel	2- Nacidos en otra CA	05	Canarias	0 a 15	Mujeres	3
1998	44	Teruel	2- Nacidos en otra CA	05	Canarias	16 a 64	Hombres	20
1998	44	Teruel	2- Nacidos en otra CA	05	Canarias	16 a 64	Mujeres	14
1998	44	Teruel	2- Nacidos en otra CA	05	Canarias	65 y más	Mujeres	3
1998	44	Teruel	2- Nacidos en otra CA	06	Cantabria	0 a 15	Hombres	1
1998	44	Teruel	2- Nacidos en otra CA	06	Cantabria	0 a 15	Mujeres	1
1998	44	Teruel	2- Nacidos en otra CA	06	Cantabria	16 a 64	Hombres	17
1998	44	Teruel	2- Nacidos en otra CA	06	Cantabria	16 a 64	Mujeres	21
1998	44	Teruel	2- Nacidos en otra CA	06	Cantabria	65 y más	Hombres	9
1998	44	Teruel	2- Nacidos en otra CA	06	Cantabria	65 y más	Mujeres	8
1998	44	Teruel	2- Nacidos en otra CA	07	Castilla y León	0 a 15	Hombres	27
