Año	Residencia CCAA nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
1998	Aragón	Españoles	01	UE-15	Europa	Mujeres	586178
1998	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1160
1998	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	156
1998	Aragón	Extranjeros	03	Magreb	África	Mujeres	384
1998	Aragón	Extranjeros	04	Resto de África	África	Mujeres	408
1998	Aragón	Extranjeros	05	América del Norte	América	Mujeres	133
1998	Aragón	Extranjeros	06	Resto de América	América	Mujeres	1171
1998	Aragón	Extranjeros	07	Asia	Asia	Mujeres	176
1998	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	8
1998	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	3
1999	Aragón	Españoles	01	UE-15	Europa	Mujeres	590095
1999	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1209
1999	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	194
1999	Aragón	Extranjeros	03	Magreb	África	Mujeres	475
1999	Aragón	Extranjeros	04	Resto de África	África	Mujeres	510
1999	Aragón	Extranjeros	05	América del Norte	América	Mujeres	142
1999	Aragón	Extranjeros	06	Resto de América	América	Mujeres	1339
1999	Aragón	Extranjeros	07	Asia	Asia	Mujeres	195
1999	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	7
1999	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	3
2000	Aragón	Españoles	01	UE-15	Europa	Mujeres	597037
2000	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1337
2000	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	309
2000	Aragón	Extranjeros	03	Magreb	África	Mujeres	743
2000	Aragón	Extranjeros	04	Resto de África	África	Mujeres	727
2000	Aragón	Extranjeros	05	América del Norte	América	Mujeres	151
2000	Aragón	Extranjeros	06	Resto de América	América	Mujeres	1872
2000	Aragón	Extranjeros	07	Asia	Asia	Mujeres	231
2000	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	8
2000	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	7
2001	Aragón	Españoles	01	UE-15	Europa	Mujeres	595599
2001	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1466
2001	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	1413
2001	Aragón	Extranjeros	03	Magreb	África	Mujeres	1294
2001	Aragón	Extranjeros	04	Resto de África	África	Mujeres	1162
2001	Aragón	Extranjeros	05	América del Norte	América	Mujeres	161
2001	Aragón	Extranjeros	06	Resto de América	América	Mujeres	4770
2001	Aragón	Extranjeros	07	Asia	Asia	Mujeres	323
2001	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	15
2001	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	8
2002	Aragón	Españoles	01	UE-15	Europa	Mujeres	595018
2002	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1677
2002	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	3416
2002	Aragón	Extranjeros	03	Magreb	África	Mujeres	1940
2002	Aragón	Extranjeros	04	Resto de África	África	Mujeres	1561
2002	Aragón	Extranjeros	05	América del Norte	América	Mujeres	168
2002	Aragón	Extranjeros	06	Resto de América	América	Mujeres	9248
2002	Aragón	Extranjeros	07	Asia	Asia	Mujeres	499
2002	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	25
2002	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	7
2003	Aragón	Españoles	01	UE-15	Europa	Mujeres	593225
2003	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	1828
2003	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	6850
2003	Aragón	Extranjeros	03	Magreb	África	Mujeres	2711
2003	Aragón	Extranjeros	04	Resto de África	África	Mujeres	1931
2003	Aragón	Extranjeros	05	América del Norte	América	Mujeres	179
2003	Aragón	Extranjeros	06	Resto de América	América	Mujeres	12461
2003	Aragón	Extranjeros	07	Asia	Asia	Mujeres	652
2003	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	33
2003	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	10
2004	Aragón	Españoles	01	UE-15	Europa	Mujeres	594619
2004	Aragón	Extranjeros	01	UE-15	Europa	Mujeres	2107
2004	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	10029
2004	Aragón	Extranjeros	03	Magreb	África	Mujeres	3401
2004	Aragón	Extranjeros	04	Resto de África	África	Mujeres	2339
2004	Aragón	Extranjeros	05	América del Norte	América	Mujeres	209
2004	Aragón	Extranjeros	06	Resto de América	América	Mujeres	15072
2004	Aragón	Extranjeros	07	Asia	Asia	Mujeres	902
2004	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	21
2004	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	11
2005	Aragón	Españoles	01	UE-25	Europa	Mujeres	594482
2005	Aragón	Extranjeros	01	UE-25	Europa	Mujeres	3165
2005	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	13615
2005	Aragón	Extranjeros	03	Magreb	África	Mujeres	4312
2005	Aragón	Extranjeros	04	Resto de África	África	Mujeres	2775
2005	Aragón	Extranjeros	05	América del Norte	América	Mujeres	223
2005	Aragón	Extranjeros	06	Resto de América	América	Mujeres	17056
2005	Aragón	Extranjeros	07	Asia	Asia	Mujeres	1208
2005	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	32
2005	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	11
2006	Aragón	Españoles	01	UE-25	Europa	Mujeres	594099
2006	Aragón	Extranjeros	01	UE-25	Europa	Mujeres	3694
2006	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	16591
2006	Aragón	Extranjeros	03	Magreb	África	Mujeres	4854
2006	Aragón	Extranjeros	04	Resto de África	África	Mujeres	2915
2006	Aragón	Extranjeros	05	América del Norte	América	Mujeres	173
2006	Aragón	Extranjeros	06	Resto de América	América	Mujeres	17047
2006	Aragón	Extranjeros	07	Asia	Asia	Mujeres	1408
2006	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	24
2006	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	7
2007	Aragón	Españoles	01	UE-27	Europa	Mujeres	593950
2007	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	25465
2007	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	1717
2007	Aragón	Extranjeros	03	Magreb	África	Mujeres	5424
2007	Aragón	Extranjeros	04	Resto de África	África	Mujeres	3053
2007	Aragón	Extranjeros	05	América del Norte	América	Mujeres	167
2007	Aragón	Extranjeros	06	Resto de América	América	Mujeres	18254
2007	Aragón	Extranjeros	07	Asia	Asia	Mujeres	1600
2007	Aragón	Extranjeros	08	Oceanía	Oceanía	Mujeres	21
2007	Aragón	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	8
2008	Aragón	Españoles	01	UE-27	Europa	Mujeres	594138
2008	Aragón	Extranjeros	01	UE-27	Europa	Mujeres	33972
2008	Aragón	Extranjeros	02	Resto de Europa	Europa	Mujeres	1969
