Año	Residencia provincia nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
1998	Huesca	Españoles	01	UE-15	Europa	Mujeres	100903
1998	Huesca	Extranjeros	01	UE-15	Europa	Mujeres	260
1998	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	14
1998	Huesca	Extranjeros	03	Magreb	África	Mujeres	55
1998	Huesca	Extranjeros	04	Resto de África	África	Mujeres	41
1998	Huesca	Extranjeros	05	América del Norte	América	Mujeres	17
1998	Huesca	Extranjeros	06	Resto de América	América	Mujeres	158
1998	Huesca	Extranjeros	07	Asia	Asia	Mujeres	22
1998	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	4
1998	Teruel	Españoles	01	UE-15	Europa	Mujeres	67538
1998	Teruel	Extranjeros	01	UE-15	Europa	Mujeres	80
1998	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	20
1998	Teruel	Extranjeros	03	Magreb	África	Mujeres	24
1998	Teruel	Extranjeros	04	Resto de África	África	Mujeres	31
1998	Teruel	Extranjeros	05	América del Norte	América	Mujeres	2
1998	Teruel	Extranjeros	06	Resto de América	América	Mujeres	101
1998	Teruel	Extranjeros	07	Asia	Asia	Mujeres	13
1998	Zaragoza	Españoles	01	UE-15	Europa	Mujeres	417737
1998	Zaragoza	Extranjeros	01	UE-15	Europa	Mujeres	820
1998	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	122
1998	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	305
1998	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	336
1998	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	114
1998	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	912
1998	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	141
1998	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	4
1998	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	3
1999	Huesca	Españoles	01	UE-15	Europa	Mujeres	100120
1999	Huesca	Extranjeros	01	UE-15	Europa	Mujeres	264
1999	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	22
1999	Huesca	Extranjeros	03	Magreb	África	Mujeres	78
1999	Huesca	Extranjeros	04	Resto de África	África	Mujeres	52
1999	Huesca	Extranjeros	05	América del Norte	América	Mujeres	23
1999	Huesca	Extranjeros	06	Resto de América	América	Mujeres	173
1999	Huesca	Extranjeros	07	Asia	Asia	Mujeres	21
1999	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	3
1999	Teruel	Españoles	01	UE-15	Europa	Mujeres	66557
1999	Teruel	Extranjeros	01	UE-15	Europa	Mujeres	84
1999	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	23
1999	Teruel	Extranjeros	03	Magreb	África	Mujeres	27
1999	Teruel	Extranjeros	04	Resto de África	África	Mujeres	31
1999	Teruel	Extranjeros	05	América del Norte	América	Mujeres	2
1999	Teruel	Extranjeros	06	Resto de América	América	Mujeres	101
1999	Teruel	Extranjeros	07	Asia	Asia	Mujeres	14
1999	Zaragoza	Españoles	01	UE-15	Europa	Mujeres	423418
1999	Zaragoza	Extranjeros	01	UE-15	Europa	Mujeres	861
1999	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	149
1999	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	370
1999	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	427
1999	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	117
1999	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	1065
1999	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	160
1999	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	4
1999	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	3
2000	Huesca	Españoles	01	UE-15	Europa	Mujeres	101248
2000	Huesca	Extranjeros	01	UE-15	Europa	Mujeres	304
2000	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	45
2000	Huesca	Extranjeros	03	Magreb	África	Mujeres	142
2000	Huesca	Extranjeros	04	Resto de África	África	Mujeres	96
2000	Huesca	Extranjeros	05	América del Norte	América	Mujeres	26
2000	Huesca	Extranjeros	06	Resto de América	América	Mujeres	273
2000	Huesca	Extranjeros	07	Asia	Asia	Mujeres	34
2000	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	4
2000	Teruel	Españoles	01	UE-15	Europa	Mujeres	67220
2000	Teruel	Extranjeros	01	UE-15	Europa	Mujeres	96
2000	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	30
2000	Teruel	Extranjeros	03	Magreb	África	Mujeres	56
2000	Teruel	Extranjeros	04	Resto de África	África	Mujeres	37
2000	Teruel	Extranjeros	05	América del Norte	América	Mujeres	2
2000	Teruel	Extranjeros	06	Resto de América	América	Mujeres	118
2000	Teruel	Extranjeros	07	Asia	Asia	Mujeres	14
2000	Zaragoza	Españoles	01	UE-15	Europa	Mujeres	428569
2000	Zaragoza	Extranjeros	01	UE-15	Europa	Mujeres	937
2000	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	234
2000	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	545
2000	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	594
2000	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	123
2000	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	1481
2000	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	183
2000	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	4
2000	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	7
2001	Huesca	Españoles	01	UE-15	Europa	Mujeres	100765
2001	Huesca	Extranjeros	01	UE-15	Europa	Mujeres	333
2001	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	162
2001	Huesca	Extranjeros	03	Magreb	África	Mujeres	234
2001	Huesca	Extranjeros	04	Resto de África	África	Mujeres	127
2001	Huesca	Extranjeros	05	América del Norte	América	Mujeres	28
2001	Huesca	Extranjeros	06	Resto de América	América	Mujeres	503
2001	Huesca	Extranjeros	07	Asia	Asia	Mujeres	37
2001	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	9
2001	Teruel	Españoles	01	UE-15	Europa	Mujeres	66739
2001	Teruel	Extranjeros	01	UE-15	Europa	Mujeres	101
2001	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	95
2001	Teruel	Extranjeros	03	Magreb	África	Mujeres	118
2001	Teruel	Extranjeros	04	Resto de África	África	Mujeres	32
2001	Teruel	Extranjeros	05	América del Norte	América	Mujeres	2
2001	Teruel	Extranjeros	06	Resto de América	América	Mujeres	252
2001	Teruel	Extranjeros	07	Asia	Asia	Mujeres	20
2001	Zaragoza	Españoles	01	UE-15	Europa	Mujeres	428095
2001	Zaragoza	Extranjeros	01	UE-15	Europa	Mujeres	1032
2001	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	1156
2001	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	942
2001	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	1003
2001	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	131
2001	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	4015
2001	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	266
2001	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	6
2001	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	8
2002	Huesca	Españoles	01	UE-15	Europa	Mujeres	100891
2002	Huesca	Extranjeros	01	UE-15	Europa	Mujeres	373
2002	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	412
2002	Huesca	Extranjeros	03	Magreb	África	Mujeres	333
2002	Huesca	Extranjeros	04	Resto de África	África	Mujeres	177
2002	Huesca	Extranjeros	05	América del Norte	América	Mujeres	27
2002	Huesca	Extranjeros	06	Resto de América	América	Mujeres	1108
2002	Huesca	Extranjeros	07	Asia	Asia	Mujeres	59
2002	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	17
2002	Teruel	Españoles	01	UE-15	Europa	Mujeres	66267
2002	Teruel	Extranjeros	01	UE-15	Europa	Mujeres	119
2002	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	337
2002	Teruel	Extranjeros	03	Magreb	África	Mujeres	201
2002	Teruel	Extranjeros	04	Resto de África	África	Mujeres	42
2002	Teruel	Extranjeros	05	América del Norte	América	Mujeres	2
2002	Teruel	Extranjeros	06	Resto de América	América	Mujeres	654
2002	Teruel	Extranjeros	07	Asia	Asia	Mujeres	38
2002	Zaragoza	Españoles	01	UE-15	Europa	Mujeres	427860
2002	Zaragoza	Extranjeros	01	UE-15	Europa	Mujeres	1185
2002	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	2667
2002	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	1406
2002	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	1342
2002	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	139
2002	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	7486
2002	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	402
2002	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	8
2002	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	7
2003	Huesca	Españoles	01	UE-15	Europa	Mujeres	100539
2003	Huesca	Extranjeros	01	UE-15	Europa	Mujeres	422
2003	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	890
2003	Huesca	Extranjeros	03	Magreb	África	Mujeres	485
2003	Huesca	Extranjeros	04	Resto de África	África	Mujeres	230
2003	Huesca	Extranjeros	05	América del Norte	América	Mujeres	27
2003	Huesca	Extranjeros	06	Resto de América	América	Mujeres	1637
2003	Huesca	Extranjeros	07	Asia	Asia	Mujeres	70
2003	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	24
2003	Teruel	Españoles	01	UE-15	Europa	Mujeres	65671
2003	Teruel	Extranjeros	01	UE-15	Europa	Mujeres	142
2003	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	845
