Año	Residencia CCAA nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Edad (grandes grupos)	Sexo	Extranjeros
1998	Aragón	01	UE-15	102	Austria	0 a 15	Hombres	4
1998	Aragón	01	UE-15	102	Austria	16 a 64	Hombres	3
1998	Aragón	01	UE-15	102	Austria	16 a 64	Mujeres	8
1998	Aragón	01	UE-15	102	Austria	65 y más	Hombres	1
1998	Aragón	01	UE-15	103	Bélgica	0 a 15	Hombres	5
1998	Aragón	01	UE-15	103	Bélgica	0 a 15	Mujeres	3
1998	Aragón	01	UE-15	103	Bélgica	16 a 64	Hombres	30
1998	Aragón	01	UE-15	103	Bélgica	16 a 64	Mujeres	23
1998	Aragón	01	UE-15	103	Bélgica	65 y más	Hombres	2
1998	Aragón	01	UE-15	103	Bélgica	65 y más	Mujeres	6
1998	Aragón	01	UE-15	107	Dinamarca	0 a 15	Hombres	1
1998	Aragón	01	UE-15	107	Dinamarca	16 a 64	Hombres	6
1998	Aragón	01	UE-15	107	Dinamarca	16 a 64	Mujeres	3
1998	Aragón	01	UE-15	109	Finlandia	16 a 64	Hombres	1
1998	Aragón	01	UE-15	109	Finlandia	16 a 64	Mujeres	2
1998	Aragón	01	UE-15	110	Francia	0 a 15	Hombres	19
1998	Aragón	01	UE-15	110	Francia	0 a 15	Mujeres	29
1998	Aragón	01	UE-15	110	Francia	16 a 64	Hombres	255
1998	Aragón	01	UE-15	110	Francia	16 a 64	Mujeres	383
1998	Aragón	01	UE-15	110	Francia	65 y más	Hombres	61
1998	Aragón	01	UE-15	110	Francia	65 y más	Mujeres	87
1998	Aragón	01	UE-15	111	Grecia	16 a 64	Hombres	5
1998	Aragón	01	UE-15	111	Grecia	16 a 64	Mujeres	1
1998	Aragón	01	UE-15	111	Grecia	65 y más	Hombres	1
1998	Aragón	01	UE-15	113	Irlanda	0 a 15	Mujeres	2
1998	Aragón	01	UE-15	113	Irlanda	16 a 64	Hombres	13
1998	Aragón	01	UE-15	113	Irlanda	16 a 64	Mujeres	17
1998	Aragón	01	UE-15	115	Italia	0 a 15	Hombres	12
1998	Aragón	01	UE-15	115	Italia	0 a 15	Mujeres	17
1998	Aragón	01	UE-15	115	Italia	16 a 64	Hombres	125
1998	Aragón	01	UE-15	115	Italia	16 a 64	Mujeres	42
1998	Aragón	01	UE-15	115	Italia	65 y más	Hombres	11
1998	Aragón	01	UE-15	115	Italia	65 y más	Mujeres	11
1998	Aragón	01	UE-15	117	Luxemburgo	16 a 64	Hombres	1
1998	Aragón	01	UE-15	117	Luxemburgo	16 a 64	Mujeres	1
1998	Aragón	01	UE-15	121	Países Bajos	0 a 15	Hombres	3
1998	Aragón	01	UE-15	121	Países Bajos	0 a 15	Mujeres	5
1998	Aragón	01	UE-15	121	Países Bajos	16 a 64	Hombres	41
1998	Aragón	01	UE-15	121	Países Bajos	16 a 64	Mujeres	29
1998	Aragón	01	UE-15	121	Países Bajos	65 y más	Hombres	1
1998	Aragón	01	UE-15	121	Países Bajos	65 y más	Mujeres	2
1998	Aragón	01	UE-15	123	Portugal	0 a 15	Hombres	52
1998	Aragón	01	UE-15	123	Portugal	0 a 15	Mujeres	42
1998	Aragón	01	UE-15	123	Portugal	16 a 64	Hombres	196
1998	Aragón	01	UE-15	123	Portugal	16 a 64	Mujeres	199
1998	Aragón	01	UE-15	123	Portugal	65 y más	Hombres	10
1998	Aragón	01	UE-15	123	Portugal	65 y más	Mujeres	9
1998	Aragón	01	UE-15	125	Reino Unido	0 a 15	Hombres	10
1998	Aragón	01	UE-15	125	Reino Unido	0 a 15	Mujeres	4
1998	Aragón	01	UE-15	125	Reino Unido	16 a 64	Hombres	95
1998	Aragón	01	UE-15	125	Reino Unido	16 a 64	Mujeres	108
1998	Aragón	01	UE-15	125	Reino Unido	65 y más	Hombres	7
1998	Aragón	01	UE-15	125	Reino Unido	65 y más	Mujeres	7
1998	Aragón	01	UE-15	126	Alemania	0 a 15	Hombres	13
1998	Aragón	01	UE-15	126	Alemania	0 a 15	Mujeres	9
1998	Aragón	01	UE-15	126	Alemania	16 a 64	Hombres	104
1998	Aragón	01	UE-15	126	Alemania	16 a 64	Mujeres	97
1998	Aragón	01	UE-15	126	Alemania	65 y más	Hombres	6
1998	Aragón	01	UE-15	126	Alemania	65 y más	Mujeres	9
1998	Aragón	01	UE-15	131	Suecia	16 a 64	Hombres	5
1998	Aragón	01	UE-15	131	Suecia	16 a 64	Mujeres	5
1998	Aragón	02	Resto de Europa	101	Albania	16 a 64	Hombres	2
1998	Aragón	02	Resto de Europa	101	Albania	65 y más	Mujeres	1
1998	Aragón	02	Resto de Europa	104	Bulgaria	0 a 15	Hombres	1
1998	Aragón	02	Resto de Europa	104	Bulgaria	16 a 64	Hombres	6
1998	Aragón	02	Resto de Europa	104	Bulgaria	16 a 64	Mujeres	3
1998	Aragón	02	Resto de Europa	112	Hungría	16 a 64	Hombres	3
1998	Aragón	02	Resto de Europa	112	Hungría	65 y más	Hombres	1
1998	Aragón	02	Resto de Europa	114	Islandia	16 a 64	Mujeres	1
1998	Aragón	02	Resto de Europa	118	Malta	16 a 64	Hombres	1
1998	Aragón	02	Resto de Europa	120	Noruega	0 a 15	Mujeres	2
1998	Aragón	02	Resto de Europa	120	Noruega	16 a 64	Hombres	3
1998	Aragón	02	Resto de Europa	120	Noruega	16 a 64	Mujeres	5
1998	Aragón	02	Resto de Europa	120	Noruega	65 y más	Hombres	1
1998	Aragón	02	Resto de Europa	122	Polonia	0 a 15	Hombres	7
1998	Aragón	02	Resto de Europa	122	Polonia	0 a 15	Mujeres	7
1998	Aragón	02	Resto de Europa	122	Polonia	16 a 64	Hombres	33
1998	Aragón	02	Resto de Europa	122	Polonia	16 a 64	Mujeres	23
