Año	Residencia provincia código	Residencia provincia nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Edad (grandes grupos)	Sexo	Extranjeros
1998	22	Huesca	01	UE-15	102	Austria	0 a 15	Hombres	2
1998	22	Huesca	01	UE-15	102	Austria	16 a 64	Hombres	3
1998	22	Huesca	01	UE-15	102	Austria	16 a 64	Mujeres	3
1998	22	Huesca	01	UE-15	103	Bélgica	0 a 15	Hombres	2
1998	22	Huesca	01	UE-15	103	Bélgica	0 a 15	Mujeres	1
1998	22	Huesca	01	UE-15	103	Bélgica	16 a 64	Hombres	8
1998	22	Huesca	01	UE-15	103	Bélgica	16 a 64	Mujeres	8
1998	22	Huesca	01	UE-15	103	Bélgica	65 y más	Hombres	1
1998	22	Huesca	01	UE-15	103	Bélgica	65 y más	Mujeres	1
1998	22	Huesca	01	UE-15	107	Dinamarca	16 a 64	Hombres	1
1998	22	Huesca	01	UE-15	107	Dinamarca	16 a 64	Mujeres	1
1998	22	Huesca	01	UE-15	110	Francia	0 a 15	Hombres	7
1998	22	Huesca	01	UE-15	110	Francia	0 a 15	Mujeres	8
1998	22	Huesca	01	UE-15	110	Francia	16 a 64	Hombres	76
1998	22	Huesca	01	UE-15	110	Francia	16 a 64	Mujeres	112
1998	22	Huesca	01	UE-15	110	Francia	65 y más	Hombres	25
1998	22	Huesca	01	UE-15	110	Francia	65 y más	Mujeres	28
1998	22	Huesca	01	UE-15	111	Grecia	16 a 64	Hombres	1
1998	22	Huesca	01	UE-15	113	Irlanda	16 a 64	Hombres	5
1998	22	Huesca	01	UE-15	113	Irlanda	16 a 64	Mujeres	2
1998	22	Huesca	01	UE-15	115	Italia	0 a 15	Mujeres	1
1998	22	Huesca	01	UE-15	115	Italia	16 a 64	Hombres	14
1998	22	Huesca	01	UE-15	115	Italia	16 a 64	Mujeres	10
1998	22	Huesca	01	UE-15	115	Italia	65 y más	Hombres	1
1998	22	Huesca	01	UE-15	121	Países Bajos	0 a 15	Hombres	1
1998	22	Huesca	01	UE-15	121	Países Bajos	0 a 15	Mujeres	2
1998	22	Huesca	01	UE-15	121	Países Bajos	16 a 64	Hombres	12
1998	22	Huesca	01	UE-15	121	Países Bajos	16 a 64	Mujeres	8
1998	22	Huesca	01	UE-15	121	Países Bajos	65 y más	Mujeres	1
1998	22	Huesca	01	UE-15	123	Portugal	0 a 15	Hombres	2
1998	22	Huesca	01	UE-15	123	Portugal	0 a 15	Mujeres	4
1998	22	Huesca	01	UE-15	123	Portugal	16 a 64	Hombres	24
1998	22	Huesca	01	UE-15	123	Portugal	16 a 64	Mujeres	23
1998	22	Huesca	01	UE-15	123	Portugal	65 y más	Mujeres	1
1998	22	Huesca	01	UE-15	125	Reino Unido	0 a 15	Hombres	1
