Año	Residencia CCAA nombre	Edad (grupos quinquenales)	Sexo	Extranjeros
1998	Aragón	00 a 04	Hombres	90
1998	Aragón	00 a 04	Mujeres	98
1998	Aragón	05 a 09	Hombres	145
1998	Aragón	05 a 09	Mujeres	161
1998	Aragón	10 a 14	Hombres	232
1998	Aragón	10 a 14	Mujeres	191
1998	Aragón	15 a 19	Hombres	244
1998	Aragón	15 a 19	Mujeres	218
1998	Aragón	20 a 24	Hombres	261
1998	Aragón	20 a 24	Mujeres	307
1998	Aragón	25 a 29	Hombres	566
1998	Aragón	25 a 29	Mujeres	506
1998	Aragón	30 a 34	Hombres	819
1998	Aragón	30 a 34	Mujeres	590
1998	Aragón	35 a 39	Hombres	568
1998	Aragón	35 a 39	Mujeres	438
1998	Aragón	40 a 44	Hombres	383
1998	Aragón	40 a 44	Mujeres	353
1998	Aragón	45 a 49	Hombres	272
1998	Aragón	45 a 49	Mujeres	227
1998	Aragón	50 a 54	Hombres	172
1998	Aragón	50 a 54	Mujeres	131
1998	Aragón	55 a 59	Hombres	116
1998	Aragón	55 a 59	Mujeres	85
1998	Aragón	60 a 64	Hombres	79
1998	Aragón	60 a 64	Mujeres	71
1998	Aragón	65 a 69	Hombres	64
1998	Aragón	65 a 69	Mujeres	71
1998	Aragón	70 a 74	Hombres	40
1998	Aragón	70 a 74	Mujeres	65
1998	Aragón	75 a 79	Hombres	36
1998	Aragón	75 a 79	Mujeres	32
1998	Aragón	80 a 84	Hombres	18
1998	Aragón	80 a 84	Mujeres	31
1998	Aragón	85 a 89	Hombres	8
1998	Aragón	85 a 89	Mujeres	22
1998	Aragón	90 a 94	Hombres	3
1998	Aragón	90 a 94	Mujeres	2
1998	Aragón	95 y más	Hombres	1
1999	Aragón	00 a 04	Hombres	140
1999	Aragón	00 a 04	Mujeres	141
1999	Aragón	05 a 09	Hombres	181
1999	Aragón	05 a 09	Mujeres	179
1999	Aragón	10 a 14	Hombres	245
1999	Aragón	10 a 14	Mujeres	185
1999	Aragón	15 a 19	Hombres	264
1999	Aragón	15 a 19	Mujeres	246
1999	Aragón	20 a 24	Hombres	316
1999	Aragón	20 a 24	Mujeres	361
1999	Aragón	25 a 29	Hombres	576
1999	Aragón	25 a 29	Mujeres	570
1999	Aragón	30 a 34	Hombres	955
1999	Aragón	30 a 34	Mujeres	669
1999	Aragón	35 a 39	Hombres	706
1999	Aragón	35 a 39	Mujeres	506
1999	Aragón	40 a 44	Hombres	445
1999	Aragón	40 a 44	Mujeres	399
1999	Aragón	45 a 49	Hombres	297
1999	Aragón	45 a 49	Mujeres	267
1999	Aragón	50 a 54	Hombres	193
1999	Aragón	50 a 54	Mujeres	149
1999	Aragón	55 a 59	Hombres	130
1999	Aragón	55 a 59	Mujeres	92
1999	Aragón	60 a 64	Hombres	90
1999	Aragón	60 a 64	Mujeres	81
1999	Aragón	65 a 69	Hombres	72
1999	Aragón	65 a 69	Mujeres	63
1999	Aragón	70 a 74	Hombres	52
1999	Aragón	70 a 74	Mujeres	74
1999	Aragón	75 a 79	Hombres	34
1999	Aragón	75 a 79	Mujeres	37
1999	Aragón	80 a 84	Hombres	21
1999	Aragón	80 a 84	Mujeres	25
1999	Aragón	85 a 89	Hombres	8
1999	Aragón	85 a 89	Mujeres	24
1999	Aragón	90 a 94	Hombres	3
1999	Aragón	90 a 94	Mujeres	5
1999	Aragón	95 y más	Hombres	1
1999	Aragón	95 y más	Mujeres	1
2000	Aragón	00 a 04	Hombres	266
2000	Aragón	00 a 04	Mujeres	226
2000	Aragón	05 a 09	Hombres	237
2000	Aragón	05 a 09	Mujeres	246
2000	Aragón	10 a 14	Hombres	355
2000	Aragón	10 a 14	Mujeres	273
2000	Aragón	15 a 19	Hombres	346
2000	Aragón	15 a 19	Mujeres	310
2000	Aragón	20 a 24	Hombres	467
2000	Aragón	20 a 24	Mujeres	507
2000	Aragón	25 a 29	Hombres	869
2000	Aragón	25 a 29	Mujeres	788
2000	Aragón	30 a 34	Hombres	1353
2000	Aragón	30 a 34	Mujeres	899
2000	Aragón	35 a 39	Hombres	1046
2000	Aragón	35 a 39	Mujeres	662
2000	Aragón	40 a 44	Hombres	610
2000	Aragón	40 a 44	Mujeres	475
2000	Aragón	45 a 49	Hombres	372
2000	Aragón	45 a 49	Mujeres	329
2000	Aragón	50 a 54	Hombres	242
2000	Aragón	50 a 54	Mujeres	194
2000	Aragón	55 a 59	Hombres	151
2000	Aragón	55 a 59	Mujeres	119
2000	Aragón	60 a 64	Hombres	111
2000	Aragón	60 a 64	Mujeres	83
2000	Aragón	65 a 69	Hombres	83
2000	Aragón	65 a 69	Mujeres	90
2000	Aragón	70 a 74	Hombres	55
2000	Aragón	70 a 74	Mujeres	82
2000	Aragón	75 a 79	Hombres	40
2000	Aragón	75 a 79	Mujeres	40
2000	Aragón	80 a 84	Hombres	21
2000	Aragón	80 a 84	Mujeres	33
2000	Aragón	85 a 89	Hombres	12
2000	Aragón	85 a 89	Mujeres	18
2000	Aragón	90 a 94	Hombres	2
2000	Aragón	90 a 94	Mujeres	6
2000	Aragón	95 y más	Hombres	2
2000	Aragón	95 y más	Mujeres	5
2001	Aragón	00 a 04	Hombres	583
2001	Aragón	00 a 04	Mujeres	534
2001	Aragón	05 a 09	Hombres	454
2001	Aragón	05 a 09	Mujeres	488
2001	Aragón	10 a 14	Hombres	604
2001	Aragón	10 a 14	Mujeres	474
2001	Aragón	15 a 19	Hombres	654
2001	Aragón	15 a 19	Mujeres	537
2001	Aragón	20 a 24	Hombres	1616
2001	Aragón	20 a 24	Mujeres	1403
