Tipo nacionalidad	Continente nacionalidad	Area nacionalidad, código	Area nacionalidad, nombre	Personas	Aragón
Nacionalidad española	Europa	01	UE-15	1165901	Aragón
Nacionalidad extranjera	Europa	01	UE-15	3144	Aragón
Nacionalidad extranjera	Europa	02	Resto de Europa	7468	Aragón
Nacionalidad extranjera	África	03	Magreb	7509	Aragón
Nacionalidad extranjera	África	04	Resto de África	4546	Aragón
Nacionalidad extranjera	América	05	América del Norte	384	Aragón
Nacionalidad extranjera	América	06	Resto de América	14089	Aragón
Nacionalidad extranjera	Asia	07	Asia	1122	Aragón
Nacionalidad extranjera	Oceanía	08	Oceanía	39	Aragón
Nacionalidad extranjera	 Apátridas y no consta	09	Apátridas y no consta	13	Aragón
