Provincia código	Provincia nombre	Tipo nacionalidad	Continente nacionalidad	Area nacionalidad, código	Area nacionalidad, nombre	Personas
22	Huesca	Nacionalidad española	Europa	01	UE-15	200500
22	Huesca	Nacionalidad extranjera	Europa	01	UE-15	671
22	Huesca	Nacionalidad extranjera	Europa	02	Resto de Europa	1077
22	Huesca	Nacionalidad extranjera	África	03	Magreb	1405
22	Huesca	Nacionalidad extranjera	África	04	Resto de África	1011
22	Huesca	Nacionalidad extranjera	América	05	América del Norte	52
22	Huesca	Nacionalidad extranjera	América	06	Resto de América	1648
22	Huesca	Nacionalidad extranjera	Asia	07	Asia	113
22	Huesca	Nacionalidad extranjera	Oceanía	08	Oceanía	25
44	Teruel	Nacionalidad española	Europa	01	UE-15	132742
44	Teruel	Nacionalidad extranjera	Europa	01	UE-15	223
44	Teruel	Nacionalidad extranjera	Europa	02	Resto de Europa	789
44	Teruel	Nacionalidad extranjera	África	03	Magreb	774
44	Teruel	Nacionalidad extranjera	África	04	Resto de África	79
44	Teruel	Nacionalidad extranjera	América	05	América del Norte	5
44	Teruel	Nacionalidad extranjera	América	06	Resto de América	1043
44	Teruel	Nacionalidad extranjera	Asia	07	Asia	201
44	Teruel	Nacionalidad extranjera	Oceanía	08	Oceanía	2
50	Zaragoza	Nacionalidad española	Europa	01	UE-15	832659
50	Zaragoza	Nacionalidad extranjera	Europa	01	UE-15	2250
50	Zaragoza	Nacionalidad extranjera	Europa	02	Resto de Europa	5602
50	Zaragoza	Nacionalidad extranjera	África	03	Magreb	5330
50	Zaragoza	Nacionalidad extranjera	África	04	Resto de África	3456
50	Zaragoza	Nacionalidad extranjera	América	05	América del Norte	327
50	Zaragoza	Nacionalidad extranjera	América	06	Resto de América	11398
50	Zaragoza	Nacionalidad extranjera	Asia	07	Asia	808
50	Zaragoza	Nacionalidad extranjera	Oceanía	08	Oceanía	12
50	Zaragoza	Nacionalidad extranjera	 Apátridas y no consta	09	Apátridas y no consta	13
