Comarca código	Comarca nombre	Continente	Area nacionalidad, código	Área	Nacionalidad, código	Nacionalidad, nombre	Personas
01	La Jacetania	América	05	América del Norte	301	CANADA	1
01	La Jacetania	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	3
01	La Jacetania	América	06	Resto de América	303	MEXICO	3
01	La Jacetania	América	06	Resto de América	315	CUBA	5
01	La Jacetania	América	06	Resto de América	316	DOMINICA	1
01	La Jacetania	América	06	Resto de América	326	REPUBLICA DOMINICANA	16
01	La Jacetania	América	06	Resto de América	340	ARGENTINA	14
01	La Jacetania	América	06	Resto de América	341	BOLIVIA	2
01	La Jacetania	América	06	Resto de América	342	BRASIL	8
01	La Jacetania	América	06	Resto de América	343	COLOMBIA	135
01	La Jacetania	América	06	Resto de América	344	CHILE	3
01	La Jacetania	América	06	Resto de América	345	ECUADOR	45
01	La Jacetania	América	06	Resto de América	347	PARAGUAY	1
01	La Jacetania	América	06	Resto de América	348	PERU	7
01	La Jacetania	América	06	Resto de América	350	URUGUAY	1
01	La Jacetania	América	06	Resto de América	351	VENEZUELA	2
01	La Jacetania	Asia	07	Asia	407	CHINA	2
01	La Jacetania	Asia	07	Asia	430	COREA	6
01	La Jacetania	Europa	01	UE-15	103	BELGICA	3
01	La Jacetania	Europa	01	UE-15	107	DINAMARCA	2
01	La Jacetania	Europa	01	UE-15	110	FRANCIA	36
01	La Jacetania	Europa	01	UE-15	115	ITALIA	2
01	La Jacetania	Europa	01	UE-15	121	PAISES BAJOS	7
01	La Jacetania	Europa	01	UE-15	123	PORTUGAL	9
01	La Jacetania	Europa	01	UE-15	125	REINO UNIDO	24
01	La Jacetania	Europa	01	UE-15	126	ALEMANIA	6
01	La Jacetania	Europa	01	UE-15	131	SUECIA	2
01	La Jacetania	Europa	02	Resto de Europa	104	BULGARIA	14
01	La Jacetania	Europa	02	Resto de Europa	122	POLONIA	5
01	La Jacetania	Europa	02	Resto de Europa	128	RUMANIA	1
01	La Jacetania	Europa	02	Resto de Europa	132	SUIZA	2
01	La Jacetania	Europa	02	Resto de Europa	135	UCRANIA	10
01	La Jacetania	Europa	02	Resto de Europa	138	BIELORRUSIA	4
01	La Jacetania	Europa	02	Resto de Europa	141	ESTONIA	3
01	La Jacetania	Europa	02	Resto de Europa	143	REPUBLICA CHECA	1
01	La Jacetania	Europa	02	Resto de Europa	144	REPUBLICA ESLOVACA	1
01	La Jacetania	Europa	02	Resto de Europa	154	RUSIA	2
01	La Jacetania	Oceanía	08	Oceanía	501	AUSTRALIA	2
01	La Jacetania	África	03	Magreb	203	ARGELIA	1
01	La Jacetania	África	03	Magreb	228	MARRUECOS	23
01	La Jacetania	África	04	Resto de África	207	CABO VERDE	1
01	La Jacetania	África	04	Resto de África	218	GUINEA	2
01	La Jacetania	África	04	Resto de África	239	SENEGAL	2
02	Alto Gállego	América	06	Resto de América	303	MEXICO	1
02	Alto Gállego	América	06	Resto de América	315	CUBA	10
02	Alto Gállego	América	06	Resto de América	326	REPUBLICA DOMINICANA	21
02	Alto Gállego	América	06	Resto de América	340	ARGENTINA	13
02	Alto Gállego	América	06	Resto de América	341	BOLIVIA	1
02	Alto Gállego	América	06	Resto de América	342	BRASIL	1
02	Alto Gállego	América	06	Resto de América	343	COLOMBIA	49
02	Alto Gállego	América	06	Resto de América	345	ECUADOR	9
02	Alto Gállego	América	06	Resto de América	348	PERU	2
02	Alto Gállego	Asia	07	Asia	435	TAILANDIA	2
02	Alto Gállego	Europa	01	UE-15	102	AUSTRIA	1
02	Alto Gállego	Europa	01	UE-15	110	FRANCIA	15
02	Alto Gállego	Europa	01	UE-15	113	IRLANDA	4
02	Alto Gállego	Europa	01	UE-15	115	ITALIA	4
02	Alto Gállego	Europa	01	UE-15	121	PAISES BAJOS	4
02	Alto Gállego	Europa	01	UE-15	123	PORTUGAL	13
02	Alto Gállego	Europa	01	UE-15	125	REINO UNIDO	8
02	Alto Gállego	Europa	01	UE-15	126	ALEMANIA	10
02	Alto Gállego	Europa	02	Resto de Europa	104	BULGARIA	4
02	Alto Gállego	Europa	02	Resto de Europa	122	POLONIA	4
02	Alto Gállego	Europa	02	Resto de Europa	128	RUMANIA	11
02	Alto Gállego	Europa	02	Resto de Europa	135	UCRANIA	8
02	Alto Gállego	Europa	02	Resto de Europa	143	REPUBLICA CHECA	2
02	Alto Gállego	África	03	Magreb	203	ARGELIA	2
02	Alto Gállego	África	03	Magreb	228	MARRUECOS	18
03	Sobrarbe	América	05	América del Norte	301	CANADA	1
03	Sobrarbe	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	1
03	Sobrarbe	América	06	Resto de América	315	CUBA	5
03	Sobrarbe	América	06	Resto de América	324	PANAMA	3
03	Sobrarbe	América	06	Resto de América	326	REPUBLICA DOMINICANA	1
03	Sobrarbe	América	06	Resto de América	340	ARGENTINA	2
03	Sobrarbe	América	06	Resto de América	342	BRASIL	1
03	Sobrarbe	América	06	Resto de América	343	COLOMBIA	12
03	Sobrarbe	América	06	Resto de América	344	CHILE	1
03	Sobrarbe	América	06	Resto de América	345	ECUADOR	17
03	Sobrarbe	Asia	07	Asia	407	CHINA	1
03	Sobrarbe	Asia	07	Asia	411	INDONESIA	1
03	Sobrarbe	Asia	07	Asia	415	JAPON	1
03	Sobrarbe	Europa	01	UE-15	102	AUSTRIA	1
03	Sobrarbe	Europa	01	UE-15	103	BELGICA	12
03	Sobrarbe	Europa	01	UE-15	110	FRANCIA	27
03	Sobrarbe	Europa	01	UE-15	115	ITALIA	5
03	Sobrarbe	Europa	01	UE-15	121	PAISES BAJOS	6
03	Sobrarbe	Europa	01	UE-15	123	PORTUGAL	4
03	Sobrarbe	Europa	01	UE-15	125	REINO UNIDO	5
03	Sobrarbe	Europa	01	UE-15	126	ALEMANIA	6
03	Sobrarbe	Europa	01	UE-15	131	SUECIA	1
03	Sobrarbe	Europa	02	Resto de Europa	128	RUMANIA	7
03	Sobrarbe	Europa	02	Resto de Europa	132	SUIZA	3
03	Sobrarbe	Europa	02	Resto de Europa	135	UCRANIA	1
03	Sobrarbe	África	03	Magreb	203	ARGELIA	2
03	Sobrarbe	África	03	Magreb	228	MARRUECOS	7
03	Sobrarbe	África	04	Resto de África	216	GAMBIA	2
03	Sobrarbe	África	04	Resto de África	236	SUDAFRICA	1
04	La Ribagorza	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	2
04	La Ribagorza	América	06	Resto de América	303	MEXICO	1
04	La Ribagorza	América	06	Resto de América	315	CUBA	13
04	La Ribagorza	América	06	Resto de América	316	DOMINICA	1
04	La Ribagorza	América	06	Resto de América	326	REPUBLICA DOMINICANA	6
04	La Ribagorza	América	06	Resto de América	340	ARGENTINA	5
04	La Ribagorza	América	06	Resto de América	341	BOLIVIA	28
04	La Ribagorza	América	06	Resto de América	342	BRASIL	2
04	La Ribagorza	América	06	Resto de América	343	COLOMBIA	34
04	La Ribagorza	América	06	Resto de América	344	CHILE	3
04	La Ribagorza	América	06	Resto de América	345	ECUADOR	58
04	La Ribagorza	América	06	Resto de América	348	PERU	3
04	La Ribagorza	América	06	Resto de América	351	VENEZUELA	6
04	La Ribagorza	Asia	07	Asia	407	CHINA	1
04	La Ribagorza	Asia	07	Asia	409	FILIPINAS	1
04	La Ribagorza	Asia	07	Asia	420	LIBANO	1
04	La Ribagorza	Europa	01	UE-15	102	AUSTRIA	2
04	La Ribagorza	Europa	01	UE-15	103	BELGICA	12
04	La Ribagorza	Europa	01	UE-15	110	FRANCIA	38
04	La Ribagorza	Europa	01	UE-15	113	IRLANDA	2
04	La Ribagorza	Europa	01	UE-15	115	ITALIA	2
04	La Ribagorza	Europa	01	UE-15	121	PAISES BAJOS	17
04	La Ribagorza	Europa	01	UE-15	123	PORTUGAL	3
04	La Ribagorza	Europa	01	UE-15	125	REINO UNIDO	5
04	La Ribagorza	Europa	01	UE-15	126	ALEMANIA	26
04	La Ribagorza	Europa	02	Resto de Europa	112	HUNGRIA	1
04	La Ribagorza	Europa	02	Resto de Europa	122	POLONIA	7
04	La Ribagorza	Europa	02	Resto de Europa	124	ANDORRA	1
04	La Ribagorza	Europa	02	Resto de Europa	128	RUMANIA	54
04	La Ribagorza	Europa	02	Resto de Europa	132	SUIZA	6
04	La Ribagorza	Europa	02	Resto de Europa	135	UCRANIA	18
04	La Ribagorza	Europa	02	Resto de Europa	144	REPUBLICA ESLOVACA	1
04	La Ribagorza	Europa	02	Resto de Europa	154	RUSIA	4
04	La Ribagorza	Oceanía	08	Oceanía	512	TUVALU	3
04	La Ribagorza	África	03	Magreb	203	ARGELIA	6
04	La Ribagorza	África	03	Magreb	228	MARRUECOS	13
04	La Ribagorza	África	04	Resto de África	207	CABO VERDE	1
04	La Ribagorza	África	04	Resto de África	218	GUINEA	2
04	La Ribagorza	África	04	Resto de África	220	GUINEA ECUATORIAL	1
04	La Ribagorza	África	04	Resto de África	223	LIBERIA	1
04	La Ribagorza	África	04	Resto de África	227	MALI	3
04	La Ribagorza	África	04	Resto de África	237	RUANDA	1
04	La Ribagorza	África	04	Resto de África	239	SENEGAL	4
05	Cinco Villas	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	6
05	Cinco Villas	América	06	Resto de América	315	CUBA	24
05	Cinco Villas	América	06	Resto de América	317	EL SALVADOR	16
05	Cinco Villas	América	06	Resto de América	323	NICARAGUA	3
05	Cinco Villas	América	06	Resto de América	326	REPUBLICA DOMINICANA	14
05	Cinco Villas	América	06	Resto de América	340	ARGENTINA	23
05	Cinco Villas	América	06	Resto de América	342	BRASIL	14
05	Cinco Villas	América	06	Resto de América	343	COLOMBIA	40
05	Cinco Villas	América	06	Resto de América	345	ECUADOR	121
05	Cinco Villas	América	06	Resto de América	348	PERU	7
05	Cinco Villas	América	06	Resto de América	351	VENEZUELA	3
05	Cinco Villas	Europa	01	UE-15	110	FRANCIA	25
05	Cinco Villas	Europa	01	UE-15	111	GRECIA	1
05	Cinco Villas	Europa	01	UE-15	115	ITALIA	3
05	Cinco Villas	Europa	01	UE-15	123	PORTUGAL	18
05	Cinco Villas	Europa	01	UE-15	125	REINO UNIDO	2
05	Cinco Villas	Europa	01	UE-15	126	ALEMANIA	7
05	Cinco Villas	Europa	02	Resto de Europa	104	BULGARIA	266
05	Cinco Villas	Europa	02	Resto de Europa	122	POLONIA	4
05	Cinco Villas	Europa	02	Resto de Europa	128	RUMANIA	44
05	Cinco Villas	Europa	02	Resto de Europa	135	UCRANIA	14
05	Cinco Villas	Europa	02	Resto de Europa	137	MOLDAVA	3
05	Cinco Villas	Europa	02	Resto de Europa	141	ESTONIA	1
05	Cinco Villas	Europa	02	Resto de Europa	142	LITUANIA	6
05	Cinco Villas	Europa	02	Resto de Europa	143	REPUBLICA CHECA	4
05	Cinco Villas	Europa	02	Resto de Europa	145	BOSNIA Y HERZEGOVINA	7
05	Cinco Villas	Europa	02	Resto de Europa	147	ESLOVENIA	3
05	Cinco Villas	Europa	02	Resto de Europa	148	ARMENIA	5
05	Cinco Villas	Europa	02	Resto de Europa	154	RUSIA	10
05	Cinco Villas	África	03	Magreb	203	ARGELIA	533
05	Cinco Villas	África	03	Magreb	228	MARRUECOS	66
05	Cinco Villas	África	03	Magreb	230	MAURITANIA	2
05	Cinco Villas	África	04	Resto de África	208	CAMERUN	2
05	Cinco Villas	África	04	Resto de África	210	CONGO	3
05	Cinco Villas	África	04	Resto de África	213	EGIPTO	7
05	Cinco Villas	África	04	Resto de África	216	GAMBIA	6
05	Cinco Villas	África	04	Resto de África	217	GHANA	11
05	Cinco Villas	África	04	Resto de África	218	GUINEA	3
05	Cinco Villas	África	04	Resto de África	220	GUINEA ECUATORIAL	3
05	Cinco Villas	África	04	Resto de África	227	MALI	7
05	Cinco Villas	África	04	Resto de África	239	SENEGAL	4
06	Hoya de Huesca / Plana de Uesca	América	05	América del Norte	301	CANADA	1
06	Hoya de Huesca / Plana de Uesca	América	05	América del Norte	302	ESTADOS UNIDOS DE AMERICA	20
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	303	MEXICO	4
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	314	COSTA RICA	2
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	315	CUBA	23
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	316	DOMINICA	3
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	319	GUATEMALA	2
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	321	HONDURAS	7
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	326	REPUBLICA DOMINICANA	69
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	340	ARGENTINA	28
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	342	BRASIL	12
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	343	COLOMBIA	95
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	344	CHILE	2
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	345	ECUADOR	175
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	348	PERU	27
06	Hoya de Huesca / Plana de Uesca	América	06	Resto de América	350	URUGUAY	2
