Comarca código	Comarca nombre	Edad (grandes grupos)	Sexo	Personas
01	La Jacetania	0 a 15	Hombres	30
01	La Jacetania	0 a 15	Mujeres	34
01	La Jacetania	16 a 64	Hombres	129
01	La Jacetania	16 a 64	Mujeres	209
01	La Jacetania	65 ó más	Hombres	10
01	La Jacetania	65 ó más	Mujeres	8
02	Alto Gállego	0 a 15	Hombres	12
02	Alto Gállego	0 a 15	Mujeres	15
02	Alto Gállego	16 a 64	Hombres	83
02	Alto Gállego	16 a 64	Mujeres	101
02	Alto Gállego	65 ó más	Hombres	1
02	Alto Gállego	65 ó más	Mujeres	5
03	Sobrarbe	0 a 15	Hombres	10
03	Sobrarbe	0 a 15	Mujeres	6
03	Sobrarbe	16 a 64	Hombres	61
03	Sobrarbe	16 a 64	Mujeres	54
03	Sobrarbe	65 ó más	Hombres	5
03	Sobrarbe	65 ó más	Mujeres	1
04	La Ribagorza	0 a 15	Hombres	25
04	La Ribagorza	0 a 15	Mujeres	34
04	La Ribagorza	16 a 64	Hombres	181
04	La Ribagorza	16 a 64	Mujeres	148
04	La Ribagorza	65 ó más	Hombres	6
04	La Ribagorza	65 ó más	Mujeres	5
05	Cinco Villas	0 a 15	Hombres	85
05	Cinco Villas	0 a 15	Mujeres	88
05	Cinco Villas	16 a 64	Hombres	854
05	Cinco Villas	16 a 64	Mujeres	300
05	Cinco Villas	65 ó más	Hombres	9
05	Cinco Villas	65 ó más	Mujeres	5
06	Hoya de Huesca / Plana de Uesca	0 a 15	Hombres	115
06	Hoya de Huesca / Plana de Uesca	0 a 15	Mujeres	91
06	Hoya de Huesca / Plana de Uesca	16 a 64	Hombres	615
06	Hoya de Huesca / Plana de Uesca	16 a 64	Mujeres	505
06	Hoya de Huesca / Plana de Uesca	65 ó más	Hombres	9
06	Hoya de Huesca / Plana de Uesca	65 ó más	Mujeres	17
07	Somontano de Barbastro	0 a 15	Hombres	53
07	Somontano de Barbastro	0 a 15	Mujeres	53
07	Somontano de Barbastro	16 a 64	Hombres	311
07	Somontano de Barbastro	16 a 64	Mujeres	222
07	Somontano de Barbastro	65 ó más	Hombres	9
07	Somontano de Barbastro	65 ó más	Mujeres	13
08	Cinca Medio	0 a 15	Hombres	60
08	Cinca Medio	0 a 15	Mujeres	62
08	Cinca Medio	16 a 64	Hombres	623
08	Cinca Medio	16 a 64	Mujeres	222
