Comarca código	Comarca nombre	Nivel estudios (agregado)	Personas residentes viviendas familiares	Nivel estudios (detalle)
01	La Jacetania	Analfabetos	137	No sabe leer o escribir
01	La Jacetania	Sin estudios	970	Sin estudios
01	La Jacetania	Primer grado	4054	Primer grado
01	La Jacetania	Segundo grado	576	FP Grado Superior
01	La Jacetania	Segundo grado	667	FP Grado Medio
01	La Jacetania	Segundo grado	3723	ESO, EGB, Bachillerato Ele.
01	La Jacetania	Segundo grado	1944	Bachillerato Superior
01	La Jacetania	Tercer grado	70	Doctorado
01	La Jacetania	Tercer grado	923	Licenciatura
01	La Jacetania	Tercer grado	1157	Diplomatura
02	Alto Gállego	Analfabetos	80	No sabe leer o escribir
02	Alto Gállego	Sin estudios	838	Sin estudios
02	Alto Gállego	Primer grado	2942	Primer grado
02	Alto Gállego	Segundo grado	1127	Bachillerato Superior
02	Alto Gállego	Segundo grado	652	FP Grado Medio
02	Alto Gállego	Segundo grado	586	FP Grado Superior
02	Alto Gállego	Segundo grado	2812	ESO, EGB, Bachillerato Ele.
02	Alto Gállego	Tercer grado	582	Licenciatura
02	Alto Gállego	Tercer grado	33	Doctorado
02	Alto Gállego	Tercer grado	868	Diplomatura
03	Sobrarbe	Analfabetos	37	No sabe leer o escribir
03	Sobrarbe	Sin estudios	496	Sin estudios
03	Sobrarbe	Primer grado	1765	Primer grado
03	Sobrarbe	Segundo grado	275	FP Grado Medio
03	Sobrarbe	Segundo grado	218	FP Grado Superior
03	Sobrarbe	Segundo grado	651	Bachillerato Superior
03	Sobrarbe	Segundo grado	1805	ESO, EGB, Bachillerato Ele.
03	Sobrarbe	Tercer grado	18	Doctorado
03	Sobrarbe	Tercer grado	417	Diplomatura
03	Sobrarbe	Tercer grado	252	Licenciatura
04	La Ribagorza	Analfabetos	96	No sabe leer o escribir
04	La Ribagorza	Sin estudios	1324	Sin estudios
04	La Ribagorza	Primer grado	3152	Primer grado
04	La Ribagorza	Segundo grado	451	FP Grado Superior
04	La Ribagorza	Segundo grado	2287	ESO, EGB, Bachillerato Ele.
04	La Ribagorza	Segundo grado	540	FP Grado Medio
04	La Ribagorza	Segundo grado	1155	Bachillerato Superior
04	La Ribagorza	Tercer grado	503	Licenciatura
04	La Ribagorza	Tercer grado	29	Doctorado
04	La Ribagorza	Tercer grado	723	Diplomatura
05	Cinco Villas	Analfabetos	359	No sabe leer o escribir
05	Cinco Villas	Sin estudios	3153	Sin estudios
05	Cinco Villas	Primer grado	8847	Primer grado
05	Cinco Villas	Segundo grado	2432	Bachillerato Superior
05	Cinco Villas	Segundo grado	889	FP Grado Superior
05	Cinco Villas	Segundo grado	1309	FP Grado Medio
05	Cinco Villas	Segundo grado	8200	ESO, EGB, Bachillerato Ele.
05	Cinco Villas	Tercer grado	1407	Diplomatura
05	Cinco Villas	Tercer grado	928	Licenciatura
05	Cinco Villas	Tercer grado	42	Doctorado
06	Hoya de Huesca / Plana de Uesca	Analfabetos	424	No sabe leer o escribir
06	Hoya de Huesca / Plana de Uesca	Sin estudios	3860	Sin estudios
06	Hoya de Huesca / Plana de Uesca	Primer grado	13276	Primer grado
06	Hoya de Huesca / Plana de Uesca	Segundo grado	1971	FP Grado Medio
06	Hoya de Huesca / Plana de Uesca	Segundo grado	6596	Bachillerato Superior
06	Hoya de Huesca / Plana de Uesca	Segundo grado	1877	FP Grado Superior
06	Hoya de Huesca / Plana de Uesca	Segundo grado	13160	ESO, EGB, Bachillerato Ele.
06	Hoya de Huesca / Plana de Uesca	Tercer grado	256	Doctorado
