Municipio código	Municipio nombre	Nivel estudios (agregado)	Personas residentes viviendas familiares	Nivel estudios (detalle)
22001	Abiego	Analfabetos	1	No sabe leer o escribir
22001	Abiego	Sin estudios	25	Sin estudios
22001	Abiego	Primer grado	105	Primer grado
22001	Abiego	Segundo grado	10	FP Grado Superior
22001	Abiego	Segundo grado	6	FP Grado Medio
22001	Abiego	Segundo grado	60	ESO, EGB, Bachillerato Ele.
22001	Abiego	Segundo grado	28	Bachillerato Superior
22001	Abiego	Tercer grado	11	Diplomatura
22001	Abiego	Tercer grado	8	Licenciatura
22002	Abizanda	Analfabetos	2	No sabe leer o escribir
22002	Abizanda	Primer grado	59	Primer grado
22002	Abizanda	Segundo grado	11	Bachillerato Superior
22002	Abizanda	Segundo grado	6	FP Grado Medio
22002	Abizanda	Segundo grado	4	FP Grado Superior
22002	Abizanda	Segundo grado	15	ESO, EGB, Bachillerato Ele.
22002	Abizanda	Tercer grado	1	Doctorado
22002	Abizanda	Tercer grado	3	Licenciatura
22002	Abizanda	Tercer grado	19	Diplomatura
22003	Adahuesca	Sin estudios	7	Sin estudios
22003	Adahuesca	Primer grado	64	Primer grado
22003	Adahuesca	Segundo grado	1	FP Grado Medio
22003	Adahuesca	Segundo grado	36	ESO, EGB, Bachillerato Ele.
22003	Adahuesca	Segundo grado	25	Bachillerato Superior
22003	Adahuesca	Segundo grado	1	FP Grado Superior
22003	Adahuesca	Tercer grado	7	Diplomatura
22003	Adahuesca	Tercer grado	3	Licenciatura
22004	Agüero	Analfabetos	2	No sabe leer o escribir
22004	Agüero	Sin estudios	17	Sin estudios
22004	Agüero	Primer grado	76	Primer grado
22004	Agüero	Segundo grado	2	FP Grado Superior
22004	Agüero	Segundo grado	22	ESO, EGB, Bachillerato Ele.
22004	Agüero	Segundo grado	12	Bachillerato Superior
22004	Agüero	Segundo grado	3	FP Grado Medio
22004	Agüero	Tercer grado	1	Doctorado
22004	Agüero	Tercer grado	4	Licenciatura
22004	Agüero	Tercer grado	5	Diplomatura
22006	Aísa	Analfabetos	1	No sabe leer o escribir
22006	Aísa	Sin estudios	8	Sin estudios
22006	Aísa	Primer grado	42	Primer grado
22006	Aísa	Segundo grado	10	FP Grado Medio
22006	Aísa	Segundo grado	186	ESO, EGB, Bachillerato Ele.
22006	Aísa	Segundo grado	14	FP Grado Superior
22006	Aísa	Segundo grado	59	Bachillerato Superior
22006	Aísa	Tercer grado	1	Doctorado
22006	Aísa	Tercer grado	21	Licenciatura
22006	Aísa	Tercer grado	21	Diplomatura
22007	Albalate de Cinca	Analfabetos	15	No sabe leer o escribir
22007	Albalate de Cinca	Sin estudios	153	Sin estudios
22007	Albalate de Cinca	Primer grado	201	Primer grado
22007	Albalate de Cinca	Segundo grado	97	Bachillerato Superior
22007	Albalate de Cinca	Segundo grado	44	FP Grado Superior
22007	Albalate de Cinca	Segundo grado	55	FP Grado Medio
22007	Albalate de Cinca	Segundo grado	419	ESO, EGB, Bachillerato Ele.
22007	Albalate de Cinca	Tercer grado	43	Diplomatura
22007	Albalate de Cinca	Tercer grado	3	Doctorado
22007	Albalate de Cinca	Tercer grado	36	Licenciatura
22008	Albalatillo	Analfabetos	3	No sabe leer o escribir
22008	Albalatillo	Sin estudios	67	Sin estudios
22008	Albalatillo	Primer grado	82	Primer grado
22008	Albalatillo	Segundo grado	19	Bachillerato Superior
22008	Albalatillo	Segundo grado	12	FP Grado Superior
22008	Albalatillo	Segundo grado	8	FP Grado Medio
22008	Albalatillo	Segundo grado	38	ESO, EGB, Bachillerato Ele.
22008	Albalatillo	Tercer grado	5	Licenciatura
22008	Albalatillo	Tercer grado	9	Diplomatura
22009	Albelda	Analfabetos	8	No sabe leer o escribir
22009	Albelda	Sin estudios	40	Sin estudios
22009	Albelda	Primer grado	324	Primer grado
22009	Albelda	Segundo grado	44	FP Grado Superior
22009	Albelda	Segundo grado	70	Bachillerato Superior
22009	Albelda	Segundo grado	22	FP Grado Medio
22009	Albelda	Segundo grado	236	ESO, EGB, Bachillerato Ele.
22009	Albelda	Tercer grado	1	Doctorado
22009	Albelda	Tercer grado	18	Licenciatura
22009	Albelda	Tercer grado	36	Diplomatura
22011	Albero Alto	Sin estudios	10	Sin estudios
22011	Albero Alto	Primer grado	34	Primer grado
22011	Albero Alto	Segundo grado	21	ESO, EGB, Bachillerato Ele.
22011	Albero Alto	Segundo grado	2	FP Grado Superior
22011	Albero Alto	Segundo grado	10	Bachillerato Superior
22011	Albero Alto	Segundo grado	3	FP Grado Medio
22011	Albero Alto	Tercer grado	9	Diplomatura
22011	Albero Alto	Tercer grado	3	Licenciatura
22012	Albero Bajo	Analfabetos	1	No sabe leer o escribir
22012	Albero Bajo	Sin estudios	3	Sin estudios
22012	Albero Bajo	Primer grado	47	Primer grado
22012	Albero Bajo	Segundo grado	1	FP Grado Superior
22012	Albero Bajo	Segundo grado	27	ESO, EGB, Bachillerato Ele.
22012	Albero Bajo	Segundo grado	11	Bachillerato Superior
22012	Albero Bajo	Segundo grado	7	FP Grado Medio
22012	Albero Bajo	Tercer grado	2	Diplomatura
22012	Albero Bajo	Tercer grado	3	Licenciatura
22013	Alberuela de Tubo	Sin estudios	3	Sin estudios
22013	Alberuela de Tubo	Primer grado	25	Primer grado
22013	Alberuela de Tubo	Segundo grado	12	FP Grado Superior
22013	Alberuela de Tubo	Segundo grado	30	FP Grado Medio
22013	Alberuela de Tubo	Segundo grado	210	ESO, EGB, Bachillerato Ele.
22013	Alberuela de Tubo	Segundo grado	13	Bachillerato Superior
22013	Alberuela de Tubo	Tercer grado	8	Licenciatura
22013	Alberuela de Tubo	Tercer grado	1	Doctorado
22013	Alberuela de Tubo	Tercer grado	18	Diplomatura
22014	Alcalá de Gurrea	Analfabetos	3	No sabe leer o escribir
22014	Alcalá de Gurrea	Sin estudios	21	Sin estudios
22014	Alcalá de Gurrea	Primer grado	119	Primer grado
22014	Alcalá de Gurrea	Segundo grado	8	FP Grado Medio
22014	Alcalá de Gurrea	Segundo grado	6	FP Grado Superior
22014	Alcalá de Gurrea	Segundo grado	17	Bachillerato Superior
22014	Alcalá de Gurrea	Segundo grado	96	ESO, EGB, Bachillerato Ele.
22014	Alcalá de Gurrea	Tercer grado	11	Licenciatura
22014	Alcalá de Gurrea	Tercer grado	17	Diplomatura
22015	Alcalá del Obispo	Analfabetos	1	No sabe leer o escribir
22015	Alcalá del Obispo	Sin estudios	27	Sin estudios
22015	Alcalá del Obispo	Primer grado	159	Primer grado
22015	Alcalá del Obispo	Segundo grado	80	ESO, EGB, Bachillerato Ele.
22015	Alcalá del Obispo	Segundo grado	13	FP Grado Medio
22015	Alcalá del Obispo	Segundo grado	32	Bachillerato Superior
22015	Alcalá del Obispo	Segundo grado	8	FP Grado Superior
22015	Alcalá del Obispo	Tercer grado	11	Licenciatura
22015	Alcalá del Obispo	Tercer grado	16	Diplomatura
