Provincia código	Provincia nombre	Nivel estudios (agregado)	Personas residentes viviendas familiares	Nivel estudios (detalle)
22	Huesca	Analfabetos	1932	No sabe leer o escribir
22	Huesca	Sin estudios	17362	Sin estudios
22	Huesca	Primer grado	50979	Primer grado
22	Huesca	Segundo grado	7625	FP Grado Superior
22	Huesca	Segundo grado	48491	ESO, EGB, Bachillerato Ele.
22	Huesca	Segundo grado	18980	Bachillerato Superior
22	Huesca	Segundo grado	8049	FP Grado Medio
22	Huesca	Tercer grado	13861	Diplomatura
22	Huesca	Tercer grado	8683	Licenciatura
22	Huesca	Tercer grado	565	Doctorado
44	Teruel	Analfabetos	1990	No sabe leer o escribir
44	Teruel	Sin estudios	16731	Sin estudios
44	Teruel	Primer grado	35350	Primer grado
44	Teruel	Segundo grado	10093	Bachillerato Superior
44	Teruel	Segundo grado	4063	FP Grado Medio
44	Teruel	Segundo grado	31726	ESO, EGB, Bachillerato Ele.
44	Teruel	Segundo grado	4038	FP Grado Superior
44	Teruel	Tercer grado	217	Doctorado
44	Teruel	Tercer grado	6879	Diplomatura
44	Teruel	Tercer grado	4100	Licenciatura
50	Zaragoza	Analfabetos	8959	No sabe leer o escribir
50	Zaragoza	Sin estudios	68763	Sin estudios
50	Zaragoza	Primer grado	171657	Primer grado
50	Zaragoza	Segundo grado	41304	FP Grado Medio
50	Zaragoza	Segundo grado	82464	Bachillerato Superior
50	Zaragoza	Segundo grado	208708	ESO, EGB, Bachillerato Ele.
50	Zaragoza	Segundo grado	41889	FP Grado Superior
50	Zaragoza	Tercer grado	5080	Doctorado
50	Zaragoza	Tercer grado	58186	Diplomatura
50	Zaragoza	Tercer grado	49721	Licenciatura
