Comarca código	Comarca nombre	Sexo	Edad	Nivel estudios (agregado)	Personas residentes viviendas familiares
01	La Jacetania	Mujeres	16 a 19	Sin estudios	4
01	La Jacetania	Mujeres	16 a 19	Primer grado	39
01	La Jacetania	Mujeres	16 a 19	Segundo grado	264
01	La Jacetania	Mujeres	20 a 24	Analfabetos	1
01	La Jacetania	Mujeres	20 a 24	Sin estudios	2
01	La Jacetania	Mujeres	20 a 24	Primer grado	31
01	La Jacetania	Mujeres	20 a 24	Segundo grado	358
01	La Jacetania	Mujeres	20 a 24	Tercer grado	131
01	La Jacetania	Mujeres	25 a 29	Sin estudios	5
01	La Jacetania	Mujeres	25 a 29	Primer grado	47
01	La Jacetania	Mujeres	25 a 29	Segundo grado	308
01	La Jacetania	Mujeres	25 a 29	Tercer grado	231
01	La Jacetania	Mujeres	30 a 34	Analfabetos	3
01	La Jacetania	Mujeres	30 a 34	Sin estudios	4
01	La Jacetania	Mujeres	30 a 34	Primer grado	36
01	La Jacetania	Mujeres	30 a 34	Segundo grado	360
01	La Jacetania	Mujeres	30 a 34	Tercer grado	207
01	La Jacetania	Mujeres	35 a 39	Analfabetos	2
01	La Jacetania	Mujeres	35 a 39	Sin estudios	12
01	La Jacetania	Mujeres	35 a 39	Primer grado	67
01	La Jacetania	Mujeres	35 a 39	Segundo grado	425
01	La Jacetania	Mujeres	35 a 39	Tercer grado	206
01	La Jacetania	Mujeres	40 a 44	Analfabetos	6
01	La Jacetania	Mujeres	40 a 44	Sin estudios	9
01	La Jacetania	Mujeres	40 a 44	Primer grado	90
01	La Jacetania	Mujeres	40 a 44	Segundo grado	378
01	La Jacetania	Mujeres	40 a 44	Tercer grado	144
01	La Jacetania	Mujeres	45 a 49	Analfabetos	5
01	La Jacetania	Mujeres	45 a 49	Sin estudios	8
01	La Jacetania	Mujeres	45 a 49	Primer grado	110
01	La Jacetania	Mujeres	45 a 49	Segundo grado	263
01	La Jacetania	Mujeres	45 a 49	Tercer grado	73
01	La Jacetania	Mujeres	50 a 54	Analfabetos	11
01	La Jacetania	Mujeres	50 a 54	Sin estudios	17
01	La Jacetania	Mujeres	50 a 54	Primer grado	125
01	La Jacetania	Mujeres	50 a 54	Segundo grado	224
01	La Jacetania	Mujeres	50 a 54	Tercer grado	54
01	La Jacetania	Mujeres	55 a 59	Analfabetos	6
01	La Jacetania	Mujeres	55 a 59	Sin estudios	27
01	La Jacetania	Mujeres	55 a 59	Primer grado	168
01	La Jacetania	Mujeres	55 a 59	Segundo grado	166
01	La Jacetania	Mujeres	55 a 59	Tercer grado	36
01	La Jacetania	Mujeres	60 a 64	Analfabetos	7
01	La Jacetania	Mujeres	60 a 64	Sin estudios	39
01	La Jacetania	Mujeres	60 a 64	Primer grado	160
