Comarca código	Comarca nombre	Tipo estudios	Personas residentes viviendas familiares
01	La Jacetania	Derecho	142
01	La Jacetania	Magisterio, Educación infantil...	357
01	La Jacetania	Ciencias Sociales	477
01	La Jacetania	Artes y Humanidades	273
01	La Jacetania	Informática	39
01	La Jacetania	Ingenierías	178
01	La Jacetania	Formación Técnica e Industrial	445
01	La Jacetania	Ciencias	142
01	La Jacetania	Arquitectura o Construcción	58
01	La Jacetania	Agricultura, Veterinaria,...	126
01	La Jacetania	Salud, Servicios Sociales	385
01	La Jacetania	Otros Servicios	325
02	Alto Gállego	Derecho	101
02	Alto Gállego	Magisterio, Educación infantil...	246
02	Alto Gállego	Ciencias Sociales	462
02	Alto Gállego	Artes y Humanidades	145
02	Alto Gállego	Informática	36
02	Alto Gállego	Ingenierías	160
02	Alto Gállego	Formación Técnica e Industrial	558
02	Alto Gállego	Ciencias	135
02	Alto Gállego	Arquitectura o Construcción	33
02	Alto Gállego	Agricultura, Veterinaria,...	65
02	Alto Gállego	Salud, Servicios Sociales	203
02	Alto Gállego	Otros Servicios	201
03	Sobrarbe	Derecho	39
03	Sobrarbe	Magisterio, Educación infantil...	140
03	Sobrarbe	Ciencias Sociales	184
03	Sobrarbe	Artes y Humanidades	73
03	Sobrarbe	Informática	12
03	Sobrarbe	Ingenierías	65
03	Sobrarbe	Formación Técnica e Industrial	181
03	Sobrarbe	Ciencias	47
03	Sobrarbe	Arquitectura o Construcción	14
03	Sobrarbe	Agricultura, Veterinaria,...	77
03	Sobrarbe	Salud, Servicios Sociales	105
03	Sobrarbe	Otros Servicios	90
04	La Ribagorza	Derecho	84
04	La Ribagorza	Magisterio, Educación infantil...	257
04	La Ribagorza	Ciencias Sociales	365
04	La Ribagorza	Artes y Humanidades	129
04	La Ribagorza	Informática	44
04	La Ribagorza	Ingenierías	125
04	La Ribagorza	Formación Técnica e Industrial	390
04	La Ribagorza	Ciencias	49
04	La Ribagorza	Arquitectura o Construcción	44
04	La Ribagorza	Agricultura, Veterinaria,...	136
04	La Ribagorza	Salud, Servicios Sociales	206
04	La Ribagorza	Otros Servicios	163
05	Cinco Villas	Derecho	169
05	Cinco Villas	Magisterio, Educación infantil...	472
05	Cinco Villas	Ciencias Sociales	722
05	Cinco Villas	Artes y Humanidades	229
05	Cinco Villas	Informática	85
05	Cinco Villas	Ingenierías	179
05	Cinco Villas	Formación Técnica e Industrial	824
05	Cinco Villas	Ciencias	121
05	Cinco Villas	Arquitectura o Construcción	50
05	Cinco Villas	Agricultura, Veterinaria,...	303
05	Cinco Villas	Salud, Servicios Sociales	449
05	Cinco Villas	Otros Servicios	213
06	Hoya de Huesca / Plana de Uesca	Derecho	687
06	Hoya de Huesca / Plana de Uesca	Magisterio, Educación infantil...	2070
06	Hoya de Huesca / Plana de Uesca	Ciencias Sociales	1948
06	Hoya de Huesca / Plana de Uesca	Artes y Humanidades	961
06	Hoya de Huesca / Plana de Uesca	Informática	195
06	Hoya de Huesca / Plana de Uesca	Ingenierías	768
06	Hoya de Huesca / Plana de Uesca	Formación Técnica e Industrial	1523
06	Hoya de Huesca / Plana de Uesca	Ciencias	443
06	Hoya de Huesca / Plana de Uesca	Arquitectura o Construcción	187
06	Hoya de Huesca / Plana de Uesca	Agricultura, Veterinaria,...	377
06	Hoya de Huesca / Plana de Uesca	Salud, Servicios Sociales	1938
06	Hoya de Huesca / Plana de Uesca	Otros Servicios	739
07	Somontano de Barbastro	Derecho	118
07	Somontano de Barbastro	Magisterio, Educación infantil...	452
07	Somontano de Barbastro	Ciencias Sociales	698
07	Somontano de Barbastro	Artes y Humanidades	201
07	Somontano de Barbastro	Informática	40
07	Somontano de Barbastro	Ingenierías	216
07	Somontano de Barbastro	Formación Técnica e Industrial	746
07	Somontano de Barbastro	Ciencias	109
07	Somontano de Barbastro	Arquitectura o Construcción	71
07	Somontano de Barbastro	Agricultura, Veterinaria,...	156
07	Somontano de Barbastro	Salud, Servicios Sociales	470
07	Somontano de Barbastro	Otros Servicios	191
08	Cinca Medio	Derecho	123
08	Cinca Medio	Magisterio, Educación infantil...	344
08	Cinca Medio	Ciencias Sociales	733
08	Cinca Medio	Artes y Humanidades	161
08	Cinca Medio	Informática	70
08	Cinca Medio	Ingenierías	204
08	Cinca Medio	Formación Técnica e Industrial	1085
08	Cinca Medio	Ciencias	119
08	Cinca Medio	Arquitectura o Construcción	45
08	Cinca Medio	Agricultura, Veterinaria,...	168
08	Cinca Medio	Salud, Servicios Sociales	365
08	Cinca Medio	Otros Servicios	170
09	La Litera / La Llitera	Derecho	84
09	La Litera / La Llitera	Magisterio, Educación infantil...	309
09	La Litera / La Llitera	Ciencias Sociales	465
09	La Litera / La Llitera	Artes y Humanidades	142
09	La Litera / La Llitera	Informática	42
09	La Litera / La Llitera	Ingenierías	133
09	La Litera / La Llitera	Formación Técnica e Industrial	464
09	La Litera / La Llitera	Ciencias	70
09	La Litera / La Llitera	Arquitectura o Construcción	34
09	La Litera / La Llitera	Agricultura, Veterinaria,...	149
09	La Litera / La Llitera	Salud, Servicios Sociales	247
09	La Litera / La Llitera	Otros Servicios	123
10	Los Monegros	Derecho	115
10	Los Monegros	Magisterio, Educación infantil...	275
10	Los Monegros	Ciencias Sociales	430
10	Los Monegros	Artes y Humanidades	136
10	Los Monegros	Informática	45
10	Los Monegros	Ingenierías	134
10	Los Monegros	Formación Técnica e Industrial	404
10	Los Monegros	Ciencias	92
10	Los Monegros	Arquitectura o Construcción	23
10	Los Monegros	Agricultura, Veterinaria,...	333
10	Los Monegros	Salud, Servicios Sociales	276
10	Los Monegros	Otros Servicios	122
11	Bajo Cinca / Baix Cinca	Derecho	107
11	Bajo Cinca / Baix Cinca	Magisterio, Educación infantil...	284
11	Bajo Cinca / Baix Cinca	Ciencias Sociales	560
11	Bajo Cinca / Baix Cinca	Artes y Humanidades	114
11	Bajo Cinca / Baix Cinca	Informática	42
11	Bajo Cinca / Baix Cinca	Ingenierías	106
11	Bajo Cinca / Baix Cinca	Formación Técnica e Industrial	485
11	Bajo Cinca / Baix Cinca	Ciencias	67
11	Bajo Cinca / Baix Cinca	Arquitectura o Construcción	29
11	Bajo Cinca / Baix Cinca	Agricultura, Veterinaria,...	173
11	Bajo Cinca / Baix Cinca	Salud, Servicios Sociales	194
11	Bajo Cinca / Baix Cinca	Otros Servicios	109
12	Tarazona y el Moncayo	Derecho	64
12	Tarazona y el Moncayo	Magisterio, Educación infantil...	197
12	Tarazona y el Moncayo	Ciencias Sociales	346
12	Tarazona y el Moncayo	Artes y Humanidades	139
12	Tarazona y el Moncayo	Informática	66
12	Tarazona y el Moncayo	Ingenierías	103
12	Tarazona y el Moncayo	Formación Técnica e Industrial	381
12	Tarazona y el Moncayo	Ciencias	42
12	Tarazona y el Moncayo	Arquitectura o Construcción	34
12	Tarazona y el Moncayo	Agricultura, Veterinaria,...	31
12	Tarazona y el Moncayo	Salud, Servicios Sociales	270
12	Tarazona y el Moncayo	Otros Servicios	91
13	Campo de Borja	Derecho	57
13	Campo de Borja	Magisterio, Educación infantil...	159
13	Campo de Borja	Ciencias Sociales	232
13	Campo de Borja	Artes y Humanidades	89
13	Campo de Borja	Informática	46
13	Campo de Borja	Ingenierías	70
13	Campo de Borja	Formación Técnica e Industrial	352
13	Campo de Borja	Ciencias	56
13	Campo de Borja	Arquitectura o Construcción	16
13	Campo de Borja	Agricultura, Veterinaria,...	92
13	Campo de Borja	Salud, Servicios Sociales	167
13	Campo de Borja	Otros Servicios	103
14	Aranda	Derecho	22
14	Aranda	Magisterio, Educación infantil...	60
14	Aranda	Ciencias Sociales	133
14	Aranda	Artes y Humanidades	19
14	Aranda	Informática	39
14	Aranda	Ingenierías	34
14	Aranda	Formación Técnica e Industrial	128
14	Aranda	Ciencias	15
14	Aranda	Arquitectura o Construcción	6
14	Aranda	Agricultura, Veterinaria,...	9
14	Aranda	Salud, Servicios Sociales	64
14	Aranda	Otros Servicios	27
15	Ribera Alta del Ebro	Derecho	69
15	Ribera Alta del Ebro	Magisterio, Educación infantil...	208
15	Ribera Alta del Ebro	Ciencias Sociales	485
