Comarca código	Comarca nombre	Tipo estudios	Edad	Sexo	Personas residentes viviendas familiares
01	La Jacetania	Derecho	25 a 44	Mujeres	65
01	La Jacetania	Derecho	45 a 64	Mujeres	2
01	La Jacetania	Derecho	65 y más	Mujeres	3
01	La Jacetania	Derecho	25 a 44	Hombres	49
01	La Jacetania	Derecho	45 a 64	Hombres	17
01	La Jacetania	Derecho	65 y más	Hombres	6
01	La Jacetania	Magisterio, Educación infantil...	25 a 44	Mujeres	144
01	La Jacetania	Magisterio, Educación infantil...	45 a 64	Mujeres	85
01	La Jacetania	Magisterio, Educación infantil...	65 y más	Mujeres	44
01	La Jacetania	Magisterio, Educación infantil...	25 a 44	Hombres	39
01	La Jacetania	Magisterio, Educación infantil...	45 a 64	Hombres	36
01	La Jacetania	Magisterio, Educación infantil...	65 y más	Hombres	9
01	La Jacetania	Ciencias Sociales	25 a 44	Mujeres	286
01	La Jacetania	Ciencias Sociales	45 a 64	Mujeres	35
01	La Jacetania	Ciencias Sociales	65 y más	Mujeres	4
01	La Jacetania	Ciencias Sociales	25 a 44	Hombres	115
01	La Jacetania	Ciencias Sociales	45 a 64	Hombres	28
01	La Jacetania	Ciencias Sociales	65 y más	Hombres	9
01	La Jacetania	Artes y Humanidades	25 a 44	Mujeres	120
01	La Jacetania	Artes y Humanidades	45 a 64	Mujeres	49
01	La Jacetania	Artes y Humanidades	65 y más	Mujeres	8
01	La Jacetania	Artes y Humanidades	25 a 44	Hombres	54
01	La Jacetania	Artes y Humanidades	45 a 64	Hombres	33
01	La Jacetania	Artes y Humanidades	65 y más	Hombres	9
01	La Jacetania	Informática	25 a 44	Mujeres	19
01	La Jacetania	Informática	25 a 44	Hombres	17
01	La Jacetania	Informática	45 a 64	Hombres	2
01	La Jacetania	Informática	65 y más	Hombres	1
01	La Jacetania	Ingenierías	25 a 44	Mujeres	29
01	La Jacetania	Ingenierías	45 a 64	Mujeres	1
01	La Jacetania	Ingenierías	65 y más	Mujeres	1
01	La Jacetania	Ingenierías	25 a 44	Hombres	105
01	La Jacetania	Ingenierías	45 a 64	Hombres	34
01	La Jacetania	Ingenierías	65 y más	Hombres	8
01	La Jacetania	Formación Técnica e Industrial	25 a 44	Mujeres	95
01	La Jacetania	Formación Técnica e Industrial	45 a 64	Mujeres	9
01	La Jacetania	Formación Técnica e Industrial	65 y más	Mujeres	2
01	La Jacetania	Formación Técnica e Industrial	25 a 44	Hombres	262
01	La Jacetania	Formación Técnica e Industrial	45 a 64	Hombres	68
01	La Jacetania	Formación Técnica e Industrial	65 y más	Hombres	9
01	La Jacetania	Ciencias	25 a 44	Mujeres	48
01	La Jacetania	Ciencias	45 a 64	Mujeres	9
01	La Jacetania	Ciencias	65 y más	Mujeres	2
01	La Jacetania	Ciencias	25 a 44	Hombres	59
01	La Jacetania	Ciencias	45 a 64	Hombres	18
01	La Jacetania	Ciencias	65 y más	Hombres	6
01	La Jacetania	Arquitectura o Construcción	25 a 44	Mujeres	14
01	La Jacetania	Arquitectura o Construcción	45 a 64	Mujeres	3
01	La Jacetania	Arquitectura o Construcción	25 a 44	Hombres	20
01	La Jacetania	Arquitectura o Construcción	45 a 64	Hombres	21
01	La Jacetania	Agricultura, Veterinaria,...	25 a 44	Mujeres	17
01	La Jacetania	Agricultura, Veterinaria,...	45 a 64	Mujeres	2
01	La Jacetania	Agricultura, Veterinaria,...	25 a 44	Hombres	75
01	La Jacetania	Agricultura, Veterinaria,...	45 a 64	Hombres	29
01	La Jacetania	Agricultura, Veterinaria,...	65 y más	Hombres	3
01	La Jacetania	Salud, Servicios Sociales	25 a 44	Mujeres	214
01	La Jacetania	Salud, Servicios Sociales	45 a 64	Mujeres	44
01	La Jacetania	Salud, Servicios Sociales	65 y más	Mujeres	14
01	La Jacetania	Salud, Servicios Sociales	25 a 44	Hombres	56
01	La Jacetania	Salud, Servicios Sociales	45 a 64	Hombres	44
01	La Jacetania	Salud, Servicios Sociales	65 y más	Hombres	13
01	La Jacetania	Otros Servicios	25 a 44	Mujeres	125
