Situación preferente	Personas residentes viviendas familiares	Aragón
Estudiantes	215713	Aragón
Ocupados	495929	Aragón
Parados buscando el primer empleo	10837	Aragón
Parados que han trabajado antes	45029	Aragón
Pensionistas de invalidez	22778	Aragón
Pensionistas de viudedad u orfandad	54756	Aragón
Pensionistas de jubilación	158225	Aragón
Realizando tareas de voluntariado	746	Aragón
Dependientes	2939	Aragón
Realizando o compartiendo las labores del hogar	156529	Aragón
Otra situación	28155	Aragón
