Municipio código	Municipio nombre	Situación preferente	Personas residentes viviendas familiares
22001	Abiego	Estudiantes	44
22001	Abiego	Ocupados	101
22001	Abiego	Parados buscando el primer empleo	3
22001	Abiego	Parados que han trabajado antes	4
22001	Abiego	Pensionistas de invalidez	4
22001	Abiego	Pensionistas de viudedad u orfandad	31
22001	Abiego	Pensionistas de jubilación	46
22001	Abiego	Dependientes	1
22001	Abiego	Realizando o compartiendo las labores del hogar	45
22001	Abiego	Otra situación	10
22002	Abizanda	Estudiantes	21
22002	Abizanda	Ocupados	55
22002	Abizanda	Parados que han trabajado antes	1
22002	Abizanda	Pensionistas de invalidez	1
22002	Abizanda	Pensionistas de viudedad u orfandad	15
22002	Abizanda	Pensionistas de jubilación	20
22002	Abizanda	Realizando o compartiendo las labores del hogar	16
22002	Abizanda	Otra situación	4
22003	Adahuesca	Estudiantes	20
22003	Adahuesca	Ocupados	56
22003	Adahuesca	Parados buscando el primer empleo	1
22003	Adahuesca	Parados que han trabajado antes	4
22003	Adahuesca	Pensionistas de viudedad u orfandad	13
22003	Adahuesca	Pensionistas de jubilación	34
22003	Adahuesca	Realizando o compartiendo las labores del hogar	30
22003	Adahuesca	Otra situación	1
22004	Agüero	Estudiantes	13
22004	Agüero	Ocupados	53
22004	Agüero	Parados que han trabajado antes	5
22004	Agüero	Pensionistas de invalidez	2
22004	Agüero	Pensionistas de viudedad u orfandad	16
22004	Agüero	Pensionistas de jubilación	43
22004	Agüero	Realizando o compartiendo las labores del hogar	24
22004	Agüero	Otra situación	1
22006	Aísa	Estudiantes	68
22006	Aísa	Ocupados	176
22006	Aísa	Parados buscando el primer empleo	5
22006	Aísa	Parados que han trabajado antes	33
22006	Aísa	Pensionistas de invalidez	4
22006	Aísa	Pensionistas de viudedad u orfandad	13
22006	Aísa	Pensionistas de jubilación	60
22006	Aísa	Realizando o compartiendo las labores del hogar	37
22006	Aísa	Otra situación	3
22007	Albalate de Cinca	Estudiantes	187
22007	Albalate de Cinca	Ocupados	496
22007	Albalate de Cinca	Parados buscando el primer empleo	19
22007	Albalate de Cinca	Parados que han trabajado antes	45
22007	Albalate de Cinca	Pensionistas de invalidez	17
22007	Albalate de Cinca	Pensionistas de viudedad u orfandad	33
22007	Albalate de Cinca	Pensionistas de jubilación	184
22007	Albalate de Cinca	Dependientes	1
22007	Albalate de Cinca	Realizando o compartiendo las labores del hogar	215
22007	Albalate de Cinca	Otra situación	6
22008	Albalatillo	Estudiantes	24
22008	Albalatillo	Ocupados	85
22008	Albalatillo	Parados buscando el primer empleo	6
22008	Albalatillo	Parados que han trabajado antes	6
22008	Albalatillo	Pensionistas de invalidez	5
22008	Albalatillo	Pensionistas de viudedad u orfandad	31
22008	Albalatillo	Pensionistas de jubilación	57
22008	Albalatillo	Dependientes	3
22008	Albalatillo	Realizando o compartiendo las labores del hogar	36
22008	Albalatillo	Otra situación	6
22009	Albelda	Estudiantes	121
22009	Albelda	Ocupados	312
22009	Albelda	Parados buscando el primer empleo	6
22009	Albelda	Parados que han trabajado antes	18
22009	Albelda	Pensionistas de invalidez	21
22009	Albelda	Pensionistas de viudedad u orfandad	74
22009	Albelda	Pensionistas de jubilación	184
22009	Albelda	Dependientes	1
22009	Albelda	Realizando o compartiendo las labores del hogar	136
22009	Albelda	Otra situación	5
22011	Albero Alto	Estudiantes	17
22011	Albero Alto	Ocupados	43
22011	Albero Alto	Parados buscando el primer empleo	1
22011	Albero Alto	Parados que han trabajado antes	1
22011	Albero Alto	Pensionistas de invalidez	1
22011	Albero Alto	Pensionistas de viudedad u orfandad	10
22011	Albero Alto	Pensionistas de jubilación	16
22011	Albero Alto	Realizando tareas de voluntariado	2
22011	Albero Alto	Dependientes	1
22011	Albero Alto	Realizando o compartiendo las labores del hogar	13
22011	Albero Alto	Otra situación	3
22012	Albero Bajo	Estudiantes	10
22012	Albero Bajo	Ocupados	43
22012	Albero Bajo	Pensionistas de invalidez	2
22012	Albero Bajo	Pensionistas de viudedad u orfandad	9
22012	Albero Bajo	Pensionistas de jubilación	20
22012	Albero Bajo	Realizando o compartiendo las labores del hogar	20
22012	Albero Bajo	Otra situación	2
22013	Alberuela de Tubo	Estudiantes	61
22013	Alberuela de Tubo	Ocupados	144
22013	Alberuela de Tubo	Parados buscando el primer empleo	2
22013	Alberuela de Tubo	Parados que han trabajado antes	4
22013	Alberuela de Tubo	Pensionistas de invalidez	6
22013	Alberuela de Tubo	Pensionistas de viudedad u orfandad	25
22013	Alberuela de Tubo	Pensionistas de jubilación	74
22013	Alberuela de Tubo	Realizando o compartiendo las labores del hogar	42
22013	Alberuela de Tubo	Otra situación	6
22014	Alcalá de Gurrea	Estudiantes	24
22014	Alcalá de Gurrea	Ocupados	105
22014	Alcalá de Gurrea	Parados buscando el primer empleo	2
22014	Alcalá de Gurrea	Parados que han trabajado antes	6
22014	Alcalá de Gurrea	Pensionistas de invalidez	7
22014	Alcalá de Gurrea	Pensionistas de viudedad u orfandad	28
22014	Alcalá de Gurrea	Pensionistas de jubilación	74
22014	Alcalá de Gurrea	Realizando o compartiendo las labores del hogar	62
22014	Alcalá de Gurrea	Otra situación	7
22015	Alcalá del Obispo	Estudiantes	41
22015	Alcalá del Obispo	Ocupados	132
22015	Alcalá del Obispo	Parados buscando el primer empleo	3
22015	Alcalá del Obispo	Parados que han trabajado antes	11
22015	Alcalá del Obispo	Pensionistas de invalidez	6
22015	Alcalá del Obispo	Pensionistas de viudedad u orfandad	34
22015	Alcalá del Obispo	Pensionistas de jubilación	64
22015	Alcalá del Obispo	Dependientes	1
22015	Alcalá del Obispo	Realizando o compartiendo las labores del hogar	71
22015	Alcalá del Obispo	Otra situación	6
22016	Alcampell	Estudiantes	90
22016	Alcampell	Ocupados	288
22016	Alcampell	Parados que han trabajado antes	21
22016	Alcampell	Pensionistas de invalidez	12
22016	Alcampell	Pensionistas de viudedad u orfandad	33
22016	Alcampell	Pensionistas de jubilación	303
22016	Alcampell	Dependientes	4
22016	Alcampell	Realizando o compartiendo las labores del hogar	110
22016	Alcampell	Otra situación	12
22017	Alcolea de Cinca	Estudiantes	232
22017	Alcolea de Cinca	Ocupados	489
22017	Alcolea de Cinca	Parados buscando el primer empleo	7
22017	Alcolea de Cinca	Parados que han trabajado antes	16
22017	Alcolea de Cinca	Pensionistas de invalidez	9
22017	Alcolea de Cinca	Pensionistas de viudedad u orfandad	10
22017	Alcolea de Cinca	Pensionistas de jubilación	312
22017	Alcolea de Cinca	Realizando o compartiendo las labores del hogar	160
22017	Alcolea de Cinca	Otra situación	15
22018	Alcubierre	Estudiantes	44
22018	Alcubierre	Ocupados	166
22018	Alcubierre	Parados que han trabajado antes	14
22018	Alcubierre	Pensionistas de invalidez	8
22018	Alcubierre	Pensionistas de viudedad u orfandad	43
22018	Alcubierre	Pensionistas de jubilación	82
22018	Alcubierre	Realizando o compartiendo las labores del hogar	50
22018	Alcubierre	Otra situación	42
22019	Alerre	Estudiantes	51
22019	Alerre	Ocupados	89
22019	Alerre	Parados buscando el primer empleo	1
22019	Alerre	Parados que han trabajado antes	5
22019	Alerre	Pensionistas de invalidez	2
22019	Alerre	Pensionistas de viudedad u orfandad	6
22019	Alerre	Pensionistas de jubilación	25
22019	Alerre	Dependientes	1
22019	Alerre	Realizando o compartiendo las labores del hogar	23
22019	Alerre	Otra situación	2
22020	Alfántega	Estudiantes	15
22020	Alfántega	Ocupados	38
22020	Alfántega	Parados buscando el primer empleo	1
22020	Alfántega	Parados que han trabajado antes	3
22020	Alfántega	Pensionistas de invalidez	3
22020	Alfántega	Pensionistas de viudedad u orfandad	12
22020	Alfántega	Pensionistas de jubilación	16
22020	Alfántega	Dependientes	2
22020	Alfántega	Realizando o compartiendo las labores del hogar	24
22020	Alfántega	Otra situación	1
22021	Almudévar	Estudiantes	354
22021	Almudévar	Ocupados	895
22021	Almudévar	Parados buscando el primer empleo	5
22021	Almudévar	Parados que han trabajado antes	35
22021	Almudévar	Pensionistas de invalidez	49
22021	Almudévar	Pensionistas de viudedad u orfandad	163
22021	Almudévar	Pensionistas de jubilación	365
22021	Almudévar	Realizando tareas de voluntariado	10
22021	Almudévar	Dependientes	6
22021	Almudévar	Realizando o compartiendo las labores del hogar	349
22021	Almudévar	Otra situación	35
22022	Almunia de San Juan	Estudiantes	93
22022	Almunia de San Juan	Ocupados	237
22022	Almunia de San Juan	Parados buscando el primer empleo	4
22022	Almunia de San Juan	Parados que han trabajado antes	9
22022	Almunia de San Juan	Pensionistas de invalidez	7
22022	Almunia de San Juan	Pensionistas de viudedad u orfandad	56
22022	Almunia de San Juan	Pensionistas de jubilación	114
22022	Almunia de San Juan	Dependientes	4
22022	Almunia de San Juan	Realizando o compartiendo las labores del hogar	138
22022	Almunia de San Juan	Otra situación	16
22023	Almuniente	Estudiantes	78
22023	Almuniente	Ocupados	251
22023	Almuniente	Parados buscando el primer empleo	2
22023	Almuniente	Parados que han trabajado antes	20
22023	Almuniente	Pensionistas de invalidez	4
22023	Almuniente	Pensionistas de viudedad u orfandad	39
22023	Almuniente	Pensionistas de jubilación	73
22023	Almuniente	Realizando o compartiendo las labores del hogar	72
22023	Almuniente	Otra situación	48
22024	Alquézar	Estudiantes	30
22024	Alquézar	Ocupados	106
22024	Alquézar	Parados que han trabajado antes	17
22024	Alquézar	Pensionistas de invalidez	2
22024	Alquézar	Pensionistas de viudedad u orfandad	22
22024	Alquézar	Pensionistas de jubilación	62
22024	Alquézar	Realizando tareas de voluntariado	1
22024	Alquézar	Realizando o compartiendo las labores del hogar	45
22024	Alquézar	Otra situación	5
22025	Altorricón	Estudiantes	204
22025	Altorricón	Ocupados	609
22025	Altorricón	Parados buscando el primer empleo	15
22025	Altorricón	Parados que han trabajado antes	21
22025	Altorricón	Pensionistas de invalidez	31
22025	Altorricón	Pensionistas de viudedad u orfandad	94
22025	Altorricón	Pensionistas de jubilación	259
22025	Altorricón	Dependientes	1
22025	Altorricón	Realizando o compartiendo las labores del hogar	173
22025	Altorricón	Otra situación	17
22027	Angüés	Estudiantes	53
22027	Angüés	Ocupados	158
22027	Angüés	Parados buscando el primer empleo	2
22027	Angüés	Parados que han trabajado antes	11
22027	Angüés	Pensionistas de invalidez	9
22027	Angüés	Pensionistas de viudedad u orfandad	35
22027	Angüés	Pensionistas de jubilación	86
22027	Angüés	Dependientes	1
22027	Angüés	Realizando o compartiendo las labores del hogar	63
22027	Angüés	Otra situación	5
22028	Ansó	Estudiantes	69
22028	Ansó	Ocupados	211
22028	Ansó	Parados buscando el primer empleo	7
22028	Ansó	Parados que han trabajado antes	15
22028	Ansó	Pensionistas de invalidez	7
22028	Ansó	Pensionistas de viudedad u orfandad	22
22028	Ansó	Pensionistas de jubilación	94
22028	Ansó	Realizando o compartiendo las labores del hogar	63
22028	Ansó	Otra situación	10
22029	Antillón	Estudiantes	23
22029	Antillón	Ocupados	66
22029	Antillón	Parados buscando el primer empleo	1
22029	Antillón	Parados que han trabajado antes	2
22029	Antillón	Pensionistas de invalidez	1
22029	Antillón	Pensionistas de viudedad u orfandad	16
22029	Antillón	Pensionistas de jubilación	28
22029	Antillón	Realizando o compartiendo las labores del hogar	21
22029	Antillón	Otra situación	2
22032	Aragüés del Puerto	Estudiantes	25
22032	Aragüés del Puerto	Ocupados	46
22032	Aragüés del Puerto	Parados buscando el primer empleo	2
22032	Aragüés del Puerto	Parados que han trabajado antes	3
22032	Aragüés del Puerto	Pensionistas de invalidez	4
22032	Aragüés del Puerto	Pensionistas de viudedad u orfandad	9
22032	Aragüés del Puerto	Pensionistas de jubilación	32
22032	Aragüés del Puerto	Realizando o compartiendo las labores del hogar	23
22032	Aragüés del Puerto	Otra situación	4
22035	Arén	Estudiantes	60
22035	Arén	Ocupados	127
22035	Arén	Parados buscando el primer empleo	3
22035	Arén	Parados que han trabajado antes	7
22035	Arén	Pensionistas de invalidez	5
22035	Arén	Pensionistas de viudedad u orfandad	34
22035	Arén	Pensionistas de jubilación	71
22035	Arén	Dependientes	1
22035	Arén	Realizando o compartiendo las labores del hogar	55
22035	Arén	Otra situación	3
22036	Argavieso	Estudiantes	15
22036	Argavieso	Ocupados	41
22036	Argavieso	Parados que han trabajado antes	1
22036	Argavieso	Pensionistas de invalidez	1
22036	Argavieso	Pensionistas de viudedad u orfandad	11
22036	Argavieso	Pensionistas de jubilación	29
22036	Argavieso	Realizando tareas de voluntariado	1
22036	Argavieso	Realizando o compartiendo las labores del hogar	23
22036	Argavieso	Otra situación	1
22037	Arguis	Estudiantes	9
22037	Arguis	Ocupados	28
22037	Arguis	Parados que han trabajado antes	2
22037	Arguis	Pensionistas de invalidez	3
22037	Arguis	Pensionistas de viudedad u orfandad	2
22037	Arguis	Pensionistas de jubilación	12
22037	Arguis	Realizando o compartiendo las labores del hogar	11
22039	Ayerbe	Estudiantes	148
22039	Ayerbe	Ocupados	389
22039	Ayerbe	Parados buscando el primer empleo	6
22039	Ayerbe	Parados que han trabajado antes	35
22039	Ayerbe	Pensionistas de invalidez	20
22039	Ayerbe	Pensionistas de viudedad u orfandad	72
22039	Ayerbe	Pensionistas de jubilación	252
22039	Ayerbe	Realizando tareas de voluntariado	4
22039	Ayerbe	Dependientes	4
22039	Ayerbe	Realizando o compartiendo las labores del hogar	155
22039	Ayerbe	Otra situación	12
22040	Azanuy-Alins	Estudiantes	21
22040	Azanuy-Alins	Ocupados	53
22040	Azanuy-Alins	Parados que han trabajado antes	4
22040	Azanuy-Alins	Pensionistas de invalidez	1
22040	Azanuy-Alins	Pensionistas de viudedad u orfandad	26
22040	Azanuy-Alins	Pensionistas de jubilación	39
22040	Azanuy-Alins	Realizando o compartiendo las labores del hogar	31
22040	Azanuy-Alins	Otra situación	2
22041	Azara	Estudiantes	27
22041	Azara	Ocupados	84
22041	Azara	Parados buscando el primer empleo	1
22041	Azara	Parados que han trabajado antes	3
22041	Azara	Pensionistas de invalidez	2
22041	Azara	Pensionistas de viudedad u orfandad	17
22041	Azara	Pensionistas de jubilación	39
22041	Azara	Realizando o compartiendo las labores del hogar	40
22041	Azara	Otra situación	6
22042	Azlor	Estudiantes	17
22042	Azlor	Ocupados	50
22042	Azlor	Parados que han trabajado antes	5
22042	Azlor	Pensionistas de invalidez	8
22042	Azlor	Pensionistas de viudedad u orfandad	14
22042	Azlor	Pensionistas de jubilación	42
22042	Azlor	Realizando o compartiendo las labores del hogar	24
22042	Azlor	Otra situación	4
22043	Baells	Estudiantes	17
22043	Baells	Ocupados	48
22043	Baells	Parados que han trabajado antes	3
22043	Baells	Pensionistas de invalidez	2
22043	Baells	Pensionistas de viudedad u orfandad	12
22043	Baells	Pensionistas de jubilación	42
22043	Baells	Dependientes	2
22043	Baells	Realizando o compartiendo las labores del hogar	15
22043	Baells	Otra situación	3
22044	Bailo	Estudiantes	45
22044	Bailo	Ocupados	119
22044	Bailo	Parados buscando el primer empleo	1
22044	Bailo	Parados que han trabajado antes	8
22044	Bailo	Pensionistas de invalidez	8
22044	Bailo	Pensionistas de viudedad u orfandad	23
22044	Bailo	Pensionistas de jubilación	64
22044	Bailo	Dependientes	1
22044	Bailo	Realizando o compartiendo las labores del hogar	41
22044	Bailo	Otra situación	5
22045	Baldellou	Estudiantes	12
22045	Baldellou	Ocupados	48
22045	Baldellou	Parados que han trabajado antes	1
22045	Baldellou	Pensionistas de viudedad u orfandad	7
22045	Baldellou	Pensionistas de jubilación	39
22045	Baldellou	Dependientes	1
22045	Baldellou	Realizando o compartiendo las labores del hogar	24
22045	Baldellou	Otra situación	1
22046	Ballobar	Estudiantes	175
22046	Ballobar	Ocupados	354
22046	Ballobar	Parados buscando el primer empleo	9
22046	Ballobar	Parados que han trabajado antes	12
22046	Ballobar	Pensionistas de invalidez	11
22046	Ballobar	Pensionistas de viudedad u orfandad	68
22046	Ballobar	Pensionistas de jubilación	179
22046	Ballobar	Dependientes	1
22046	Ballobar	Realizando o compartiendo las labores del hogar	189
22046	Ballobar	Otra situación	9
22047	Banastás	Estudiantes	38
22047	Banastás	Ocupados	93
22047	Banastás	Parados que han trabajado antes	2
22047	Banastás	Pensionistas de invalidez	5
22047	Banastás	Pensionistas de viudedad u orfandad	10
22047	Banastás	Pensionistas de jubilación	17
22047	Banastás	Realizando o compartiendo las labores del hogar	19
22047	Banastás	Otra situación	4
22048	Barbastro	Estudiantes	2955
22048	Barbastro	Ocupados	6167
22048	Barbastro	Parados buscando el primer empleo	110
22048	Barbastro	Parados que han trabajado antes	560
22048	Barbastro	Pensionistas de invalidez	286
22048	Barbastro	Pensionistas de viudedad u orfandad	658
22048	Barbastro	Pensionistas de jubilación	1753
22048	Barbastro	Realizando tareas de voluntariado	3
22048	Barbastro	Dependientes	23
22048	Barbastro	Realizando o compartiendo las labores del hogar	1854
22048	Barbastro	Otra situación	409
22049	Barbués	Estudiantes	17
22049	Barbués	Ocupados	29
22049	Barbués	Parados buscando el primer empleo	2
22049	Barbués	Parados que han trabajado antes	1
22049	Barbués	Pensionistas de invalidez	1
22049	Barbués	Pensionistas de viudedad u orfandad	8
22049	Barbués	Pensionistas de jubilación	27
22049	Barbués	Realizando o compartiendo las labores del hogar	10
22049	Barbués	Otra situación	17
22050	Barbuñales	Estudiantes	22
