Aragón	Situación preferente	Edad	Sexo	Personas residentes viviendas familiares
Aragón	Estudiantes	16-25	Hombres	31746
Aragón	Estudiantes	16-25	Mujeres	35862
Aragón	Estudiantes	26-45	Hombres	2594
Aragón	Estudiantes	26-45	Mujeres	4064
Aragón	Estudiantes	46-64	Hombres	232
Aragón	Estudiantes	46-64	Mujeres	1276
Aragón	Estudiantes	65 y más	Hombres	171
Aragón	Estudiantes	65 y más	Mujeres	538
Aragón	Ocupados	16-25	Hombres	39059
Aragón	Ocupados	16-25	Mujeres	27642
Aragón	Ocupados	26-45	Hombres	170400
Aragón	Ocupados	26-45	Mujeres	111677
Aragón	Ocupados	46-64	Hombres	98405
Aragón	Ocupados	46-64	Mujeres	43482
Aragón	Ocupados	65 y más	Hombres	2804
Aragón	Ocupados	65 y más	Mujeres	2300
Aragón	Parados buscando el primer empleo	16-25	Hombres	2722
Aragón	Parados buscando el primer empleo	16-25	Mujeres	3054
Aragón	Parados buscando el primer empleo	26-45	Hombres	1747
Aragón	Parados buscando el primer empleo	26-45	Mujeres	2485
Aragón	Parados buscando el primer empleo	46-64	Hombres	316
Aragón	Parados buscando el primer empleo	46-64	Mujeres	513
Aragón	Parados que han trabajado antes	16-25	Hombres	4740
Aragón	Parados que han trabajado antes	16-25	Mujeres	4766
Aragón	Parados que han trabajado antes	26-45	Hombres	9308
Aragón	Parados que han trabajado antes	26-45	Mujeres	16079
Aragón	Parados que han trabajado antes	46-64	Hombres	5077
Aragón	Parados que han trabajado antes	46-64	Mujeres	4873
Aragón	Parados que han trabajado antes	65 y más	Hombres	73
Aragón	Parados que han trabajado antes	65 y más	Mujeres	113
Aragón	Pensionistas de invalidez	16-25	Hombres	237
Aragón	Pensionistas de invalidez	16-25	Mujeres	127
Aragón	Pensionistas de invalidez	26-45	Hombres	3042
Aragón	Pensionistas de invalidez	26-45	Mujeres	1552
Aragón	Pensionistas de invalidez	46-64	Hombres	7730
Aragón	Pensionistas de invalidez	46-64	Mujeres	3041
Aragón	Pensionistas de invalidez	65 y más	Hombres	4393
Aragón	Pensionistas de invalidez	65 y más	Mujeres	2655
Aragón	Pensionistas de viudedad u orfandad	16-25	Hombres	44
Aragón	Pensionistas de viudedad u orfandad	16-25	Mujeres	47
Aragón	Pensionistas de viudedad u orfandad	26-45	Hombres	141
Aragón	Pensionistas de viudedad u orfandad	26-45	Mujeres	574
Aragón	Pensionistas de viudedad u orfandad	46-64	Hombres	299
Aragón	Pensionistas de viudedad u orfandad	46-64	Mujeres	6177
Aragón	Pensionistas de viudedad u orfandad	65 y más	Hombres	987
Aragón	Pensionistas de viudedad u orfandad	65 y más	Mujeres	46473
Aragón	Pensionistas de jubilación	46-64	Hombres	16118
Aragón	Pensionistas de jubilación	46-64	Mujeres	4138
Aragón	Pensionistas de jubilación	65 y más	Hombres	99010
Aragón	Pensionistas de jubilación	65 y más	Mujeres	38959
Aragón	Realizando tareas de voluntariado	16-25	Hombres	39
Aragón	Realizando tareas de voluntariado	16-25	Mujeres	26
Aragón	Realizando tareas de voluntariado	26-45	Hombres	58
Aragón	Realizando tareas de voluntariado	26-45	Mujeres	154
Aragón	Realizando tareas de voluntariado	46-64	Hombres	36
Aragón	Realizando tareas de voluntariado	46-64	Mujeres	292
Aragón	Realizando tareas de voluntariado	65 y más	Hombres	29
Aragón	Realizando tareas de voluntariado	65 y más	Mujeres	112
Aragón	Dependientes	16-25	Hombres	86
Aragón	Dependientes	16-25	Mujeres	69
Aragón	Dependientes	26-45	Hombres	235
Aragón	Dependientes	26-45	Mujeres	222
Aragón	Dependientes	46-64	Hombres	97
Aragón	Dependientes	46-64	Mujeres	271
Aragón	Dependientes	65 y más	Hombres	244
Aragón	Dependientes	65 y más	Mujeres	1707
Aragón	Realizando o compartiendo las labores del hogar	16-25	Hombres	141
Aragón	Realizando o compartiendo las labores del hogar	16-25	Mujeres	2429
Aragón	Realizando o compartiendo las labores del hogar	26-45	Hombres	523
Aragón	Realizando o compartiendo las labores del hogar	26-45	Mujeres	40256
Aragón	Realizando o compartiendo las labores del hogar	46-64	Hombres	565
Aragón	Realizando o compartiendo las labores del hogar	46-64	Mujeres	65381
Aragón	Realizando o compartiendo las labores del hogar	65 y más	Hombres	1313
Aragón	Realizando o compartiendo las labores del hogar	65 y más	Mujeres	45887
Aragón	Otra situación	16-25	Hombres	294
Aragón	Otra situación	16-25	Mujeres	237
Aragón	Otra situación	26-45	Hombres	692
Aragón	Otra situación	26-45	Mujeres	621
Aragón	Otra situación	46-64	Hombres	713
Aragón	Otra situación	46-64	Mujeres	601
Aragón	Otra situación	65 y más	Hombres	212
Aragón	Otra situación	65 y más	Mujeres	1041
