Comarca código	Comarca nombre	Nivel estudios (agregado)	Situación preferente	Personas residentes viviendas familiares
01	La Jacetania	Analfabetos - Sin estudios	Ocupados	139
01	La Jacetania	Analfabetos - Sin estudios	Parados	23
01	La Jacetania	Primer grado	Ocupados	1067
01	La Jacetania	Primer grado	Parados	111
01	La Jacetania	Segundo grado	Ocupados	4230
01	La Jacetania	Segundo grado	Parados	387
01	La Jacetania	Tercer grado	Ocupados	1566
01	La Jacetania	Tercer grado	Parados	144
02	Alto Gállego	Analfabetos - Sin estudios	Ocupados	91
02	Alto Gállego	Analfabetos - Sin estudios	Parados	4
02	Alto Gállego	Primer grado	Ocupados	670
02	Alto Gállego	Primer grado	Parados	65
02	Alto Gállego	Segundo grado	Ocupados	3155
02	Alto Gállego	Segundo grado	Parados	307
02	Alto Gállego	Tercer grado	Ocupados	1116
02	Alto Gállego	Tercer grado	Parados	99
03	Sobrarbe	Analfabetos - Sin estudios	Ocupados	60
03	Sobrarbe	Analfabetos - Sin estudios	Parados	1
03	Sobrarbe	Primer grado	Ocupados	402
03	Sobrarbe	Primer grado	Parados	16
03	Sobrarbe	Segundo grado	Ocupados	1798
03	Sobrarbe	Segundo grado	Parados	143
03	Sobrarbe	Tercer grado	Ocupados	526
03	Sobrarbe	Tercer grado	Parados	34
04	La Ribagorza	Analfabetos - Sin estudios	Ocupados	134
04	La Ribagorza	Analfabetos - Sin estudios	Parados	9
04	La Ribagorza	Primer grado	Ocupados	825
04	La Ribagorza	Primer grado	Parados	55
04	La Ribagorza	Segundo grado	Ocupados	2797
04	La Ribagorza	Segundo grado	Parados	259
04	La Ribagorza	Tercer grado	Ocupados	981
04	La Ribagorza	Tercer grado	Parados	80
05	Cinco Villas	Analfabetos - Sin estudios	Ocupados	491
05	Cinco Villas	Analfabetos - Sin estudios	Parados	68
05	Cinco Villas	Primer grado	Ocupados	2860
05	Cinco Villas	Primer grado	Parados	299
05	Cinco Villas	Segundo grado	Ocupados	8144
05	Cinco Villas	Segundo grado	Parados	647
05	Cinco Villas	Tercer grado	Ocupados	1798
05	Cinco Villas	Tercer grado	Parados	150
06	Hoya de Huesca / Plana de Uesca	Analfabetos - Sin estudios	Ocupados	594
06	Hoya de Huesca / Plana de Uesca	Analfabetos - Sin estudios	Parados	94
06	Hoya de Huesca / Plana de Uesca	Primer grado	Ocupados	3636
06	Hoya de Huesca / Plana de Uesca	Primer grado	Parados	377
06	Hoya de Huesca / Plana de Uesca	Segundo grado	Ocupados	14304
06	Hoya de Huesca / Plana de Uesca	Segundo grado	Parados	1329
06	Hoya de Huesca / Plana de Uesca	Tercer grado	Ocupados	7011
06	Hoya de Huesca / Plana de Uesca	Tercer grado	Parados	475
07	Somontano de Barbastro	Analfabetos - Sin estudios	Ocupados	251
07	Somontano de Barbastro	Analfabetos - Sin estudios	Parados	64
07	Somontano de Barbastro	Primer grado	Ocupados	1501
07	Somontano de Barbastro	Primer grado	Parados	171
07	Somontano de Barbastro	Segundo grado	Ocupados	5462
07	Somontano de Barbastro	Segundo grado	Parados	524
07	Somontano de Barbastro	Tercer grado	Ocupados	1716
07	Somontano de Barbastro	Tercer grado	Parados	120
08	Cinca Medio	Analfabetos - Sin estudios	Ocupados	303
08	Cinca Medio	Analfabetos - Sin estudios	Parados	54
08	Cinca Medio	Primer grado	Ocupados	1620
08	Cinca Medio	Primer grado	Parados	180
08	Cinca Medio	Segundo grado	Ocupados	5421
08	Cinca Medio	Segundo grado	Parados	514
08	Cinca Medio	Tercer grado	Ocupados	1526
08	Cinca Medio	Tercer grado	Parados	97
09	La Litera / La Llitera	Analfabetos - Sin estudios	Ocupados	352
09	La Litera / La Llitera	Analfabetos - Sin estudios	Parados	31
09	La Litera / La Llitera	Primer grado	Ocupados	1696
09	La Litera / La Llitera	Primer grado	Parados	94
09	La Litera / La Llitera	Segundo grado	Ocupados	4268
09	La Litera / La Llitera	Segundo grado	Parados	277
09	La Litera / La Llitera	Tercer grado	Ocupados	1147
09	La Litera / La Llitera	Tercer grado	Parados	61
10	Los Monegros	Analfabetos - Sin estudios	Ocupados	247
10	Los Monegros	Analfabetos - Sin estudios	Parados	17
10	Los Monegros	Primer grado	Ocupados	1656
10	Los Monegros	Primer grado	Parados	98
10	Los Monegros	Segundo grado	Ocupados	4792
10	Los Monegros	Segundo grado	Parados	365
10	Los Monegros	Tercer grado	Ocupados	1147
10	Los Monegros	Tercer grado	Parados	108
11	Bajo Cinca / Baix Cinca	Analfabetos - Sin estudios	Ocupados	243
11	Bajo Cinca / Baix Cinca	Analfabetos - Sin estudios	Parados	46
11	Bajo Cinca / Baix Cinca	Primer grado	Ocupados	1352
11	Bajo Cinca / Baix Cinca	Primer grado	Parados	128
11	Bajo Cinca / Baix Cinca	Segundo grado	Ocupados	6372
11	Bajo Cinca / Baix Cinca	Segundo grado	Parados	369
11	Bajo Cinca / Baix Cinca	Tercer grado	Ocupados	1009
11	Bajo Cinca / Baix Cinca	Tercer grado	Parados	69
12	Tarazona y el Moncayo	Analfabetos - Sin estudios	Ocupados	124
