Provincia código	Provincia nombre	Nivel estudios (agregado)	Situación preferente	Personas residentes viviendas familiares
22	Huesca	Analfabetos - Sin estudios	Ocupados	2352
22	Huesca	Analfabetos - Sin estudios	Parados	341
22	Huesca	Primer grado	Ocupados	13874
22	Huesca	Primer grado	Parados	1261
22	Huesca	Segundo grado	Ocupados	50786
22	Huesca	Segundo grado	Parados	4319
22	Huesca	Tercer grado	Ocupados	17310
22	Huesca	Tercer grado	Parados	1246
44	Teruel	Analfabetos - Sin estudios	Ocupados	1879
44	Teruel	Analfabetos - Sin estudios	Parados	168
44	Teruel	Primer grado	Ocupados	9855
44	Teruel	Primer grado	Parados	773
44	Teruel	Segundo grado	Ocupados	30166
44	Teruel	Segundo grado	Parados	2418
44	Teruel	Tercer grado	Ocupados	8724
44	Teruel	Tercer grado	Parados	579
50	Zaragoza	Analfabetos - Sin estudios	Ocupados	10629
50	Zaragoza	Analfabetos - Sin estudios	Parados	2136
50	Zaragoza	Primer grado	Ocupados	48926
50	Zaragoza	Primer grado	Parados	7491
50	Zaragoza	Segundo grado	Ocupados	218418
50	Zaragoza	Segundo grado	Parados	27025
50	Zaragoza	Tercer grado	Ocupados	82850
50	Zaragoza	Tercer grado	Parados	8109
