Comarca código	Comarca nombre	Sexo	Sector actividad, código	Sector actividad, descripción	Personas residentes viviendas familiares
01	La Jacetania	Hombres	1	Agricultura, ganadería y pesca	502
01	La Jacetania	Hombres	2	Industria y energía	461
01	La Jacetania	Hombres	3	Construcción	881
01	La Jacetania	Hombres	4	Servicios	2553
01	La Jacetania	Mujeres	1	Agricultura, ganadería y pesca	42
01	La Jacetania	Mujeres	2	Industria y energía	141
01	La Jacetania	Mujeres	3	Construcción	59
01	La Jacetania	Mujeres	4	Servicios	2363
02	Alto Gállego	Hombres	1	Agricultura, ganadería y pesca	193
02	Alto Gállego	Hombres	2	Industria y energía	969
02	Alto Gállego	Hombres	3	Construcción	684
02	Alto Gállego	Hombres	4	Servicios	1360
02	Alto Gállego	Mujeres	1	Agricultura, ganadería y pesca	28
02	Alto Gállego	Mujeres	2	Industria y energía	260
02	Alto Gállego	Mujeres	3	Construcción	49
02	Alto Gállego	Mujeres	4	Servicios	1489
03	Sobrarbe	Hombres	1	Agricultura, ganadería y pesca	429
03	Sobrarbe	Hombres	2	Industria y energía	162
03	Sobrarbe	Hombres	3	Construcción	435
03	Sobrarbe	Hombres	4	Servicios	855
03	Sobrarbe	Mujeres	1	Agricultura, ganadería y pesca	48
03	Sobrarbe	Mujeres	2	Industria y energía	37
03	Sobrarbe	Mujeres	3	Construcción	9
03	Sobrarbe	Mujeres	4	Servicios	811
04	La Ribagorza	Hombres	1	Agricultura, ganadería y pesca	783
04	La Ribagorza	Hombres	2	Industria y energía	384
04	La Ribagorza	Hombres	3	Construcción	602
04	La Ribagorza	Hombres	4	Servicios	1293
04	La Ribagorza	Mujeres	1	Agricultura, ganadería y pesca	103
04	La Ribagorza	Mujeres	2	Industria y energía	185
04	La Ribagorza	Mujeres	3	Construcción	45
04	La Ribagorza	Mujeres	4	Servicios	1342
05	Cinco Villas	Hombres	1	Agricultura, ganadería y pesca	2557
05	Cinco Villas	Hombres	2	Industria y energía	1764
05	Cinco Villas	Hombres	3	Construcción	1951
05	Cinco Villas	Hombres	4	Servicios	2700
05	Cinco Villas	Mujeres	1	Agricultura, ganadería y pesca	212
05	Cinco Villas	Mujeres	2	Industria y energía	1280
05	Cinco Villas	Mujeres	3	Construcción	102
05	Cinco Villas	Mujeres	4	Servicios	2727
06	Hoya de Huesca / Plana de Uesca	Hombres	1	Agricultura, ganadería y pesca	1704
06	Hoya de Huesca / Plana de Uesca	Hombres	2	Industria y energía	2413
06	Hoya de Huesca / Plana de Uesca	Hombres	3	Construcción	2569
06	Hoya de Huesca / Plana de Uesca	Hombres	4	Servicios	8756
06	Hoya de Huesca / Plana de Uesca	Mujeres	1	Agricultura, ganadería y pesca	154
06	Hoya de Huesca / Plana de Uesca	Mujeres	2	Industria y energía	652
06	Hoya de Huesca / Plana de Uesca	Mujeres	3	Construcción	160
06	Hoya de Huesca / Plana de Uesca	Mujeres	4	Servicios	9137
07	Somontano de Barbastro	Hombres	1	Agricultura, ganadería y pesca	890
07	Somontano de Barbastro	Hombres	2	Industria y energía	1492
07	Somontano de Barbastro	Hombres	3	Construcción	1051
07	Somontano de Barbastro	Hombres	4	Servicios	2246
07	Somontano de Barbastro	Mujeres	1	Agricultura, ganadería y pesca	136
07	Somontano de Barbastro	Mujeres	2	Industria y energía	412
07	Somontano de Barbastro	Mujeres	3	Construcción	70
07	Somontano de Barbastro	Mujeres	4	Servicios	2633
08	Cinca Medio	Hombres	1	Agricultura, ganadería y pesca	980
08	Cinca Medio	Hombres	2	Industria y energía	2150
08	Cinca Medio	Hombres	3	Construcción	1021
08	Cinca Medio	Hombres	4	Servicios	1769
08	Cinca Medio	Mujeres	1	Agricultura, ganadería y pesca	142
08	Cinca Medio	Mujeres	2	Industria y energía	583
08	Cinca Medio	Mujeres	3	Construcción	75
08	Cinca Medio	Mujeres	4	Servicios	2150
09	La Litera / La Llitera	Hombres	1	Agricultura, ganadería y pesca	1342
09	La Litera / La Llitera	Hombres	2	Industria y energía	1103
09	La Litera / La Llitera	Hombres	3	Construcción	905
09	La Litera / La Llitera	Hombres	4	Servicios	1640
09	La Litera / La Llitera	Mujeres	1	Agricultura, ganadería y pesca	192
09	La Litera / La Llitera	Mujeres	2	Industria y energía	469
09	La Litera / La Llitera	Mujeres	3	Construcción	75
09	La Litera / La Llitera	Mujeres	4	Servicios	1737
10	Los Monegros	Hombres	1	Agricultura, ganadería y pesca	1952
10	Los Monegros	Hombres	2	Industria y energía	770
10	Los Monegros	Hombres	3	Construcción	1140
10	Los Monegros	Hombres	4	Servicios	1713
10	Los Monegros	Mujeres	1	Agricultura, ganadería y pesca	181
10	Los Monegros	Mujeres	2	Industria y energía	262
10	Los Monegros	Mujeres	3	Construcción	59
10	Los Monegros	Mujeres	4	Servicios	1765
11	Bajo Cinca / Baix Cinca	Hombres	1	Agricultura, ganadería y pesca	2027
11	Bajo Cinca / Baix Cinca	Hombres	2	Industria y energía	1138
11	Bajo Cinca / Baix Cinca	Hombres	3	Construcción	1025
11	Bajo Cinca / Baix Cinca	Hombres	4	Servicios	1858
11	Bajo Cinca / Baix Cinca	Mujeres	1	Agricultura, ganadería y pesca	215
11	Bajo Cinca / Baix Cinca	Mujeres	2	Industria y energía	709
11	Bajo Cinca / Baix Cinca	Mujeres	3	Construcción	53
11	Bajo Cinca / Baix Cinca	Mujeres	4	Servicios	1951
12	Tarazona y el Moncayo	Hombres	1	Agricultura, ganadería y pesca	311
12	Tarazona y el Moncayo	Hombres	2	Industria y energía	1108
12	Tarazona y el Moncayo	Hombres	3	Construcción	625
12	Tarazona y el Moncayo	Hombres	4	Servicios	1300
12	Tarazona y el Moncayo	Mujeres	1	Agricultura, ganadería y pesca	37
12	Tarazona y el Moncayo	Mujeres	2	Industria y energía	753
12	Tarazona y el Moncayo	Mujeres	3	Construcción	44
12	Tarazona y el Moncayo	Mujeres	4	Servicios	1186
13	Campo de Borja	Hombres	1	Agricultura, ganadería y pesca	811
13	Campo de Borja	Hombres	2	Industria y energía	1059
13	Campo de Borja	Hombres	3	Construcción	683
13	Campo de Borja	Hombres	4	Servicios	1316
13	Campo de Borja	Mujeres	1	Agricultura, ganadería y pesca	70
