Municipio código	Municipio nombre	Sexo	Sector actividad, código	Sector actividad, descripción	Personas residentes viviendas familiares
22001	Abiego	Hombres	1	Agricultura, ganadería y pesca	40
22001	Abiego	Hombres	2	Industria y energía	8
22001	Abiego	Hombres	3	Construcción	13
22001	Abiego	Hombres	4	Servicios	14
22001	Abiego	Mujeres	2	Industria y energía	4
22001	Abiego	Mujeres	4	Servicios	22
22002	Abizanda	Hombres	1	Agricultura, ganadería y pesca	12
22002	Abizanda	Hombres	2	Industria y energía	4
22002	Abizanda	Hombres	3	Construcción	2
22002	Abizanda	Hombres	4	Servicios	21
22002	Abizanda	Mujeres	2	Industria y energía	1
22002	Abizanda	Mujeres	3	Construcción	1
22002	Abizanda	Mujeres	4	Servicios	14
22003	Adahuesca	Hombres	1	Agricultura, ganadería y pesca	9
22003	Adahuesca	Hombres	2	Industria y energía	5
22003	Adahuesca	Hombres	3	Construcción	11
22003	Adahuesca	Hombres	4	Servicios	13
22003	Adahuesca	Mujeres	1	Agricultura, ganadería y pesca	1
22003	Adahuesca	Mujeres	3	Construcción	1
22003	Adahuesca	Mujeres	4	Servicios	16
22004	Agüero	Hombres	1	Agricultura, ganadería y pesca	9
22004	Agüero	Hombres	2	Industria y energía	7
22004	Agüero	Hombres	3	Construcción	9
22004	Agüero	Hombres	4	Servicios	10
22004	Agüero	Mujeres	1	Agricultura, ganadería y pesca	1
22004	Agüero	Mujeres	4	Servicios	17
22006	Aísa	Hombres	1	Agricultura, ganadería y pesca	13
22006	Aísa	Hombres	2	Industria y energía	5
22006	Aísa	Hombres	3	Construcción	22
22006	Aísa	Hombres	4	Servicios	75
22006	Aísa	Mujeres	2	Industria y energía	4
22006	Aísa	Mujeres	4	Servicios	57
22007	Albalate de Cinca	Hombres	1	Agricultura, ganadería y pesca	148
22007	Albalate de Cinca	Hombres	2	Industria y energía	60
22007	Albalate de Cinca	Hombres	3	Construcción	95
22007	Albalate de Cinca	Hombres	4	Servicios	67
22007	Albalate de Cinca	Mujeres	1	Agricultura, ganadería y pesca	6
22007	Albalate de Cinca	Mujeres	2	Industria y energía	44
22007	Albalate de Cinca	Mujeres	3	Construcción	4
22007	Albalate de Cinca	Mujeres	4	Servicios	72
22008	Albalatillo	Hombres	1	Agricultura, ganadería y pesca	26
22008	Albalatillo	Hombres	2	Industria y energía	5
22008	Albalatillo	Hombres	3	Construcción	13
22008	Albalatillo	Hombres	4	Servicios	17
22008	Albalatillo	Mujeres	1	Agricultura, ganadería y pesca	9
22008	Albalatillo	Mujeres	2	Industria y energía	1
22008	Albalatillo	Mujeres	4	Servicios	14
22009	Albelda	Hombres	1	Agricultura, ganadería y pesca	97
22009	Albelda	Hombres	2	Industria y energía	26
22009	Albelda	Hombres	3	Construcción	40
22009	Albelda	Hombres	4	Servicios	46
22009	Albelda	Mujeres	1	Agricultura, ganadería y pesca	11
22009	Albelda	Mujeres	2	Industria y energía	7
22009	Albelda	Mujeres	3	Construcción	2
22009	Albelda	Mujeres	4	Servicios	83
22011	Albero Alto	Hombres	1	Agricultura, ganadería y pesca	16
22011	Albero Alto	Hombres	2	Industria y energía	1
22011	Albero Alto	Hombres	3	Construcción	4
