Comarca código	Comarca nombre	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
01	La Jacetania	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	502
01	La Jacetania	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	58
01	La Jacetania	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	73
01	La Jacetania	Hombres	Industria y energía	04	Textil y calzado	5
01	La Jacetania	Hombres	Industria y energía	05	Madera y papel	96
01	La Jacetania	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	66
01	La Jacetania	Hombres	Industria y energía	07	Metal	131
01	La Jacetania	Hombres	Industria y energía	08	Manufactureras diversas	32
01	La Jacetania	Hombres	Construcción	09	Construcción	881
01	La Jacetania	Hombres	Servicios	10	Comercio y reparación	503
01	La Jacetania	Hombres	Servicios	11	Hostelería	348
01	La Jacetania	Hombres	Servicios	12	Transporte y comunicaciones	236
01	La Jacetania	Hombres	Servicios	13	Finanzas y servicios a empresas	301
01	La Jacetania	Hombres	Servicios	14	Administración pública	737
01	La Jacetania	Hombres	Servicios	15	Educación	151
01	La Jacetania	Hombres	Servicios	16	Sanidad	103
01	La Jacetania	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	174
01	La Jacetania	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	42
01	La Jacetania	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	9
01	La Jacetania	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	28
01	La Jacetania	Mujeres	Industria y energía	04	Textil y calzado	16
01	La Jacetania	Mujeres	Industria y energía	05	Madera y papel	22
01	La Jacetania	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	46
01	La Jacetania	Mujeres	Industria y energía	07	Metal	16
01	La Jacetania	Mujeres	Industria y energía	08	Manufactureras diversas	4
01	La Jacetania	Mujeres	Construcción	09	Construcción	59
01	La Jacetania	Mujeres	Servicios	10	Comercio y reparación	578
01	La Jacetania	Mujeres	Servicios	11	Hostelería	463
01	La Jacetania	Mujeres	Servicios	12	Transporte y comunicaciones	66
01	La Jacetania	Mujeres	Servicios	13	Finanzas y servicios a empresas	237
01	La Jacetania	Mujeres	Servicios	14	Administración pública	220
01	La Jacetania	Mujeres	Servicios	15	Educación	263
01	La Jacetania	Mujeres	Servicios	16	Sanidad	274
01	La Jacetania	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	262
02	Alto Gállego	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	193
02	Alto Gállego	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	87
02	Alto Gállego	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	35
02	Alto Gállego	Hombres	Industria y energía	04	Textil y calzado	3
02	Alto Gállego	Hombres	Industria y energía	05	Madera y papel	46
02	Alto Gállego	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	394
02	Alto Gállego	Hombres	Industria y energía	07	Metal	371
02	Alto Gállego	Hombres	Industria y energía	08	Manufactureras diversas	33
02	Alto Gállego	Hombres	Construcción	09	Construcción	684
02	Alto Gállego	Hombres	Servicios	10	Comercio y reparación	288
02	Alto Gállego	Hombres	Servicios	11	Hostelería	228
02	Alto Gállego	Hombres	Servicios	12	Transporte y comunicaciones	172
02	Alto Gállego	Hombres	Servicios	13	Finanzas y servicios a empresas	190
02	Alto Gállego	Hombres	Servicios	14	Administración pública	231
