Municipio código	Municipio nombre	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
22001	Abiego	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	3
22001	Abiego	Mujeres	Industria y energía	04	Textil y calzado	1
22001	Abiego	Mujeres	Servicios	10	Comercio y reparación	4
22001	Abiego	Mujeres	Servicios	11	Hostelería	3
22001	Abiego	Mujeres	Servicios	12	Transporte y comunicaciones	1
22001	Abiego	Mujeres	Servicios	13	Finanzas y servicios a empresas	1
22001	Abiego	Mujeres	Servicios	14	Administración pública	2
22001	Abiego	Mujeres	Servicios	15	Educación	3
22001	Abiego	Mujeres	Servicios	16	Sanidad	8
22001	Abiego	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	40
22001	Abiego	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	2
22001	Abiego	Varones	Industria y energía	05	Madera y papel	2
22001	Abiego	Varones	Industria y energía	07	Metal	4
22001	Abiego	Varones	Construcción	09	Construcción	13
22001	Abiego	Varones	Servicios	10	Comercio y reparación	2
22001	Abiego	Varones	Servicios	11	Hostelería	2
22001	Abiego	Varones	Servicios	13	Finanzas y servicios a empresas	1
22001	Abiego	Varones	Servicios	14	Administración pública	4
22001	Abiego	Varones	Servicios	15	Educación	2
22001	Abiego	Varones	Servicios	16	Sanidad	1
22001	Abiego	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	2
22002	Abizanda	Mujeres	Industria y energía	07	Metal	1
22002	Abizanda	Mujeres	Construcción	09	Construcción	1
22002	Abizanda	Mujeres	Servicios	10	Comercio y reparación	2
22002	Abizanda	Mujeres	Servicios	11	Hostelería	6
22002	Abizanda	Mujeres	Servicios	13	Finanzas y servicios a empresas	1
22002	Abizanda	Mujeres	Servicios	14	Administración pública	3
22002	Abizanda	Mujeres	Servicios	16	Sanidad	1
22002	Abizanda	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22002	Abizanda	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	12
22002	Abizanda	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	2
22002	Abizanda	Varones	Industria y energía	07	Metal	2
22002	Abizanda	Varones	Construcción	09	Construcción	2
22002	Abizanda	Varones	Servicios	10	Comercio y reparación	6
22002	Abizanda	Varones	Servicios	11	Hostelería	3
22002	Abizanda	Varones	Servicios	12	Transporte y comunicaciones	3
22002	Abizanda	Varones	Servicios	13	Finanzas y servicios a empresas	1
22002	Abizanda	Varones	Servicios	14	Administración pública	4
22002	Abizanda	Varones	Servicios	15	Educación	3
22002	Abizanda	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22003	Adahuesca	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1
22003	Adahuesca	Mujeres	Construcción	09	Construcción	1
22003	Adahuesca	Mujeres	Servicios	10	Comercio y reparación	2
22003	Adahuesca	Mujeres	Servicios	11	Hostelería	4
22003	Adahuesca	Mujeres	Servicios	13	Finanzas y servicios a empresas	1
22003	Adahuesca	Mujeres	Servicios	14	Administración pública	2
22003	Adahuesca	Mujeres	Servicios	15	Educación	2
22003	Adahuesca	Mujeres	Servicios	16	Sanidad	5
22003	Adahuesca	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	9
22003	Adahuesca	Varones	Industria y energía	02	Extractivas, energía, gas y agua	1
22003	Adahuesca	Varones	Industria y energía	07	Metal	4
22003	Adahuesca	Varones	Construcción	09	Construcción	11
22003	Adahuesca	Varones	Servicios	10	Comercio y reparación	2
22003	Adahuesca	Varones	Servicios	11	Hostelería	3
22003	Adahuesca	Varones	Servicios	12	Transporte y comunicaciones	1
22003	Adahuesca	Varones	Servicios	13	Finanzas y servicios a empresas	4
22003	Adahuesca	Varones	Servicios	15	Educación	2
22003	Adahuesca	Varones	Servicios	16	Sanidad	1
22004	Agüero	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1
22004	Agüero	Mujeres	Servicios	10	Comercio y reparación	1
22004	Agüero	Mujeres	Servicios	12	Transporte y comunicaciones	1
22004	Agüero	Mujeres	Servicios	13	Finanzas y servicios a empresas	2
22004	Agüero	Mujeres	Servicios	14	Administración pública	2
22004	Agüero	Mujeres	Servicios	15	Educación	1
22004	Agüero	Mujeres	Servicios	16	Sanidad	9
22004	Agüero	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22004	Agüero	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	9
22004	Agüero	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	1
22004	Agüero	Varones	Industria y energía	05	Madera y papel	2
22004	Agüero	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1
22004	Agüero	Varones	Industria y energía	07	Metal	3
22004	Agüero	Varones	Construcción	09	Construcción	9
22004	Agüero	Varones	Servicios	10	Comercio y reparación	2
22004	Agüero	Varones	Servicios	11	Hostelería	2
22004	Agüero	Varones	Servicios	12	Transporte y comunicaciones	1
22004	Agüero	Varones	Servicios	14	Administración pública	2
22004	Agüero	Varones	Servicios	16	Sanidad	1
