Provincia código	Provincia nombre	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
22	Huesca	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	10266
22	Huesca	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	648
22	Huesca	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	1832
22	Huesca	Hombres	Industria y energía	04	Textil y calzado	297
22	Huesca	Hombres	Industria y energía	05	Madera y papel	952
22	Huesca	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	2533
22	Huesca	Hombres	Industria y energía	07	Metal	3924
22	Huesca	Hombres	Industria y energía	08	Manufactureras diversas	376
22	Huesca	Hombres	Construcción	09	Construcción	10007
22	Huesca	Hombres	Servicios	10	Comercio y reparación	5966
22	Huesca	Hombres	Servicios	11	Hostelería	2238
22	Huesca	Hombres	Servicios	12	Transporte y comunicaciones	3084
22	Huesca	Hombres	Servicios	13	Finanzas y servicios a empresas	3274
22	Huesca	Hombres	Servicios	14	Administración pública	4845
22	Huesca	Hombres	Servicios	15	Educación	1643
22	Huesca	Hombres	Servicios	16	Sanidad	1221
22	Huesca	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1137
22	Huesca	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1169
22	Huesca	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	94
22	Huesca	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	944
22	Huesca	Mujeres	Industria y energía	04	Textil y calzado	794
22	Huesca	Mujeres	Industria y energía	05	Madera y papel	217
22	Huesca	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	697
22	Huesca	Mujeres	Industria y energía	07	Metal	705
22	Huesca	Mujeres	Industria y energía	08	Manufactureras diversas	72
22	Huesca	Mujeres	Construcción	09	Construcción	640
22	Huesca	Mujeres	Servicios	10	Comercio y reparación	5636
22	Huesca	Mujeres	Servicios	11	Hostelería	2900
22	Huesca	Mujeres	Servicios	12	Transporte y comunicaciones	819
22	Huesca	Mujeres	Servicios	13	Finanzas y servicios a empresas	2984
22	Huesca	Mujeres	Servicios	14	Administración pública	3040
22	Huesca	Mujeres	Servicios	15	Educación	3252
22	Huesca	Mujeres	Servicios	16	Sanidad	3869
22	Huesca	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	2247
44	Teruel	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	5911
44	Teruel	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	1601
44	Teruel	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	1135
44	Teruel	Hombres	Industria y energía	04	Textil y calzado	191
44	Teruel	Hombres	Industria y energía	05	Madera y papel	1132
44	Teruel	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1107
44	Teruel	Hombres	Industria y energía	07	Metal	2256
44	Teruel	Hombres	Industria y energía	08	Manufactureras diversas	344
44	Teruel	Hombres	Construcción	09	Construcción	6106
44	Teruel	Hombres	Servicios	10	Comercio y reparación	3496
44	Teruel	Hombres	Servicios	11	Hostelería	1132
44	Teruel	Hombres	Servicios	12	Transporte y comunicaciones	2112
44	Teruel	Hombres	Servicios	13	Finanzas y servicios a empresas	1523
44	Teruel	Hombres	Servicios	14	Administración pública	2676
44	Teruel	Hombres	Servicios	15	Educación	932
44	Teruel	Hombres	Servicios	16	Sanidad	757
44	Teruel	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	500
44	Teruel	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1378
44	Teruel	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	121
44	Teruel	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	612
44	Teruel	Mujeres	Industria y energía	04	Textil y calzado	885
44	Teruel	Mujeres	Industria y energía	05	Madera y papel	226
44	Teruel	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	249
44	Teruel	Mujeres	Industria y energía	07	Metal	451
44	Teruel	Mujeres	Industria y energía	08	Manufactureras diversas	54
44	Teruel	Mujeres	Construcción	09	Construcción	305
44	Teruel	Mujeres	Servicios	10	Comercio y reparación	3188
44	Teruel	Mujeres	Servicios	11	Hostelería	1573
44	Teruel	Mujeres	Servicios	12	Transporte y comunicaciones	382
44	Teruel	Mujeres	Servicios	13	Finanzas y servicios a empresas	1376
44	Teruel	Mujeres	Servicios	14	Administración pública	1864
44	Teruel	Mujeres	Servicios	15	Educación	1586
44	Teruel	Mujeres	Servicios	16	Sanidad	2348
44	Teruel	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1115
50	Zaragoza	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	14557
50	Zaragoza	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	1815
