Aragón	Sexo	Edad	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
Aragón	Hombres	16 a 25 años	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	2766
Aragón	Hombres	16 a 25 años	Industria y energía	02	Extractivas, energía, gas y agua	429
Aragón	Hombres	16 a 25 años	Industria y energía	03	Alimentación, bebidas y tabaco	1065
Aragón	Hombres	16 a 25 años	Industria y energía	04	Textil y calzado	436
Aragón	Hombres	16 a 25 años	Industria y energía	05	Madera y papel	1276
Aragón	Hombres	16 a 25 años	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1469
Aragón	Hombres	16 a 25 años	Industria y energía	07	Metal	7223
Aragón	Hombres	16 a 25 años	Industria y energía	08	Manufactureras diversas	895
Aragón	Hombres	16 a 25 años	Construcción	09	Construcción	8304
Aragón	Hombres	16 a 25 años	Servicios	10	Comercio y reparación	5157
Aragón	Hombres	16 a 25 años	Servicios	11	Hostelería	1973
Aragón	Hombres	16 a 25 años	Servicios	12	Transporte y comunicaciones	2268
Aragón	Hombres	16 a 25 años	Servicios	13	Finanzas y servicios a empresas	2246
Aragón	Hombres	16 a 25 años	Servicios	14	Administración pública	1766
Aragón	Hombres	16 a 25 años	Servicios	15	Educación	650
Aragón	Hombres	16 a 25 años	Servicios	16	Sanidad	435
Aragón	Hombres	16 a 25 años	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	701
Aragón	Hombres	26 a 45 años	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	14043
Aragón	Hombres	26 a 45 años	Industria y energía	02	Extractivas, energía, gas y agua	2575
Aragón	Hombres	26 a 45 años	Industria y energía	03	Alimentación, bebidas y tabaco	4706
Aragón	Hombres	26 a 45 años	Industria y energía	04	Textil y calzado	1770
Aragón	Hombres	26 a 45 años	Industria y energía	05	Madera y papel	4114
Aragón	Hombres	26 a 45 años	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	5909
Aragón	Hombres	26 a 45 años	Industria y energía	07	Metal	24870
