Aragón	Situación profesional código	Situación profesional	Sexo	Personas residentes viviendas familiares
Aragón	1	Empresario o profesional que emplea personal	Hombres	26664
Aragón	1	Empresario o profesional que emplea personal	Mujeres	8973
Aragón	2	Empresario o profesional que no emplea personal	Hombres	48038
Aragón	2	Empresario o profesional que no emplea personal	Mujeres	17776
Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	180012
Aragón	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	106222
Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	54681
Aragón	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	50727
Aragón	5	Otra situación (Ayuda familiar)	Hombres	437
Aragón	5	Otra situación (Ayuda familiar)	Mujeres	678
Aragón	6	Otra situación (Miembro de cooperativas)	Hombres	836
Aragón	6	Otra situación (Miembro de cooperativas)	Mujeres	725
