Comarca código	Comarca nombre	Condición socioeconómica código	Condición socioeconómica	Sexo	Personas residentes viviendas familiares
01	La Jacetania	1	Empresarios agrarios con asalariados	Hombres	50
01	La Jacetania	1	Empresarios agrarios con asalariados	Mujeres	5
01	La Jacetania	2	Empresarios agrarios sin asalariados	Hombres	304
01	La Jacetania	2	Empresarios agrarios sin asalariados	Mujeres	25
01	La Jacetania	3	Miembros de cooperativas agrarias	Hombres	3
01	La Jacetania	5	Resto de trabajadores de explotaciones agrarias	Hombres	116
01	La Jacetania	5	Resto de trabajadores de explotaciones agrarias	Mujeres	8
01	La Jacetania	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	147
01	La Jacetania	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	59
01	La Jacetania	7	Empresarios no agrarios con asalariados	Hombres	437
01	La Jacetania	7	Empresarios no agrarios con asalariados	Mujeres	190
01	La Jacetania	8	Empresarios no agrarios sin asalariados	Hombres	373
01	La Jacetania	8	Empresarios no agrarios sin asalariados	Mujeres	251
01	La Jacetania	9	Miembros de cooperativas no agrarias	Hombres	12
01	La Jacetania	9	Miembros de cooperativas no agrarias	Mujeres	11
01	La Jacetania	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	94
01	La Jacetania	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	40
01	La Jacetania	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	583
01	La Jacetania	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	458
01	La Jacetania	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	5
01	La Jacetania	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	4
01	La Jacetania	13	Resto del personal administrativo y comercial	Hombres	350
01	La Jacetania	13	Resto del personal administrativo y comercial	Mujeres	755
01	La Jacetania	14	Resto del personal de los servicios	Hombres	377
01	La Jacetania	14	Resto del personal de los servicios	Mujeres	648
01	La Jacetania	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	51
