Municipio código	Municipio nombre	Condición socioeconómica código	Condición socioeconómica	Sexo	Personas residentes viviendas familiares
22001	Abiego	2	Empresarios agrarios sin asalariados	Hombres	37
22001	Abiego	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	1
22001	Abiego	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	1
22001	Abiego	7	Empresarios no agrarios con asalariados	Hombres	1
22001	Abiego	7	Empresarios no agrarios con asalariados	Mujeres	1
22001	Abiego	8	Empresarios no agrarios sin asalariados	Hombres	5
22001	Abiego	8	Empresarios no agrarios sin asalariados	Mujeres	3
22001	Abiego	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	1
22001	Abiego	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	4
22001	Abiego	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	9
22001	Abiego	13	Resto del personal administrativo y comercial	Hombres	3
22001	Abiego	13	Resto del personal administrativo y comercial	Mujeres	3
22001	Abiego	14	Resto del personal de los servicios	Hombres	3
22001	Abiego	14	Resto del personal de los servicios	Mujeres	4
22001	Abiego	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	9
22001	Abiego	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	3
22001	Abiego	17	Operarios sin especialización de establecimientos no agrarios	Hombres	8
22001	Abiego	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	1
22001	Abiego	19	No clasificables por condicion socioeconómica	Hombres	3
22001	Abiego	19	No clasificables por condicion socioeconómica	Mujeres	1
22002	Abizanda	2	Empresarios agrarios sin asalariados	Hombres	9
22002	Abizanda	5	Resto de trabajadores de explotaciones agrarias	Hombres	2
22002	Abizanda	8	Empresarios no agrarios sin asalariados	Hombres	7
22002	Abizanda	8	Empresarios no agrarios sin asalariados	Mujeres	2
22002	Abizanda	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	1
22002	Abizanda	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	9
22002	Abizanda	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	1
22002	Abizanda	13	Resto del personal administrativo y comercial	Hombres	5
22002	Abizanda	13	Resto del personal administrativo y comercial	Mujeres	7
22002	Abizanda	14	Resto del personal de los servicios	Hombres	2
22002	Abizanda	14	Resto del personal de los servicios	Mujeres	3
22002	Abizanda	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	3
22002	Abizanda	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	2
22002	Abizanda	17	Operarios sin especialización de establecimientos no agrarios	Hombres	2
22003	Adahuesca	2	Empresarios agrarios sin asalariados	Hombres	9
22003	Adahuesca	2	Empresarios agrarios sin asalariados	Mujeres	1
22003	Adahuesca	7	Empresarios no agrarios con asalariados	Hombres	2
22003	Adahuesca	7	Empresarios no agrarios con asalariados	Mujeres	1
