Provincia código	Provincia nombre	Condición socioeconómica código	Condición socioeconómica	Sexo	Personas residentes viviendas familiares
22	Huesca	1	Empresarios agrarios con asalariados	Hombres	791
22	Huesca	1	Empresarios agrarios con asalariados	Mujeres	83
22	Huesca	2	Empresarios agrarios sin asalariados	Hombres	6533
22	Huesca	2	Empresarios agrarios sin asalariados	Mujeres	606
22	Huesca	3	Miembros de cooperativas agrarias	Hombres	21
22	Huesca	3	Miembros de cooperativas agrarias	Mujeres	1
22	Huesca	4	Directores y jefes de explotaciones agrarias	Hombres	32
22	Huesca	4	Directores y jefes de explotaciones agrarias	Mujeres	4
22	Huesca	5	Resto de trabajadores de explotaciones agrarias	Hombres	2531
22	Huesca	5	Resto de trabajadores de explotaciones agrarias	Mujeres	264
22	Huesca	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	1239
22	Huesca	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	601
22	Huesca	7	Empresarios no agrarios con asalariados	Hombres	4424
22	Huesca	7	Empresarios no agrarios con asalariados	Mujeres	1600
22	Huesca	8	Empresarios no agrarios sin asalariados	Hombres	4342
22	Huesca	8	Empresarios no agrarios sin asalariados	Mujeres	2546
22	Huesca	9	Miembros de cooperativas no agrarias	Hombres	77
22	Huesca	9	Miembros de cooperativas no agrarias	Mujeres	157
22	Huesca	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	1239
22	Huesca	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	427
22	Huesca	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	6232
22	Huesca	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	5775
22	Huesca	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	124
22	Huesca	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	108
22	Huesca	13	Resto del personal administrativo y comercial	Hombres	4535
22	Huesca	13	Resto del personal administrativo y comercial	Mujeres	8497
22	Huesca	14	Resto del personal de los servicios	Hombres	2791
22	Huesca	14	Resto del personal de los servicios	Mujeres	6535
22	Huesca	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	820
22	Huesca	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	21
22	Huesca	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	14837
22	Huesca	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	2321
22	Huesca	17	Operarios sin especialización de establecimientos no agrarios	Hombres	2949
22	Huesca	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	357
22	Huesca	18	Profesionales de las fuerzas armadas	Hombres	649
22	Huesca	18	Profesionales de las fuerzas armadas	Mujeres	73
22	Huesca	19	No clasificables por condicion socioeconómica	Hombres	77
22	Huesca	19	No clasificables por condicion socioeconómica	Mujeres	103
44	Teruel	1	Empresarios agrarios con asalariados	Hombres	355
44	Teruel	1	Empresarios agrarios con asalariados	Mujeres	42
44	Teruel	2	Empresarios agrarios sin asalariados	Hombres	4449
44	Teruel	2	Empresarios agrarios sin asalariados	Mujeres	992
44	Teruel	3	Miembros de cooperativas agrarias	Hombres	31
44	Teruel	3	Miembros de cooperativas agrarias	Mujeres	8
44	Teruel	4	Directores y jefes de explotaciones agrarias	Hombres	13
44	Teruel	4	Directores y jefes de explotaciones agrarias	Mujeres	1
44	Teruel	5	Resto de trabajadores de explotaciones agrarias	Hombres	931
44	Teruel	5	Resto de trabajadores de explotaciones agrarias	Mujeres	162
44	Teruel	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	530
44	Teruel	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	293
44	Teruel	7	Empresarios no agrarios con asalariados	Hombres	2501
44	Teruel	7	Empresarios no agrarios con asalariados	Mujeres	716
44	Teruel	8	Empresarios no agrarios sin asalariados	Hombres	2884
44	Teruel	8	Empresarios no agrarios sin asalariados	Mujeres	1626
44	Teruel	9	Miembros de cooperativas no agrarias	Hombres	113
44	Teruel	9	Miembros de cooperativas no agrarias	Mujeres	153
44	Teruel	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	648
44	Teruel	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	209
44	Teruel	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	3266
44	Teruel	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	2954
44	Teruel	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	89
44	Teruel	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	43
44	Teruel	13	Resto del personal administrativo y comercial	Hombres	2674
44	Teruel	13	Resto del personal administrativo y comercial	Mujeres	4393
44	Teruel	14	Resto del personal de los servicios	Hombres	1543
44	Teruel	14	Resto del personal de los servicios	Mujeres	3859
44	Teruel	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	446
44	Teruel	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	18
44	Teruel	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	10483
44	Teruel	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	1863
44	Teruel	17	Operarios sin especialización de establecimientos no agrarios	Hombres	1786
44	Teruel	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	191
44	Teruel	18	Profesionales de las fuerzas armadas	Hombres	100
44	Teruel	18	Profesionales de las fuerzas armadas	Mujeres	36
44	Teruel	19	No clasificables por condicion socioeconómica	Hombres	69
44	Teruel	19	No clasificables por condicion socioeconómica	Mujeres	154
50	Zaragoza	1	Empresarios agrarios con asalariados	Hombres	1221
50	Zaragoza	1	Empresarios agrarios con asalariados	Mujeres	191
50	Zaragoza	2	Empresarios agrarios sin asalariados	Hombres	7597
50	Zaragoza	2	Empresarios agrarios sin asalariados	Mujeres	719
50	Zaragoza	3	Miembros de cooperativas agrarias	Hombres	67
50	Zaragoza	3	Miembros de cooperativas agrarias	Mujeres	16
50	Zaragoza	4	Directores y jefes de explotaciones agrarias	Hombres	72
50	Zaragoza	4	Directores y jefes de explotaciones agrarias	Mujeres	21
50	Zaragoza	5	Resto de trabajadores de explotaciones agrarias	Hombres	4815
50	Zaragoza	5	Resto de trabajadores de explotaciones agrarias	Mujeres	720
50	Zaragoza	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Hombres	7212
50	Zaragoza	6	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta propia, con o sin asalariados	Mujeres	3303
50	Zaragoza	7	Empresarios no agrarios con asalariados	Hombres	14212
50	Zaragoza	7	Empresarios no agrarios con asalariados	Mujeres	5164
50	Zaragoza	8	Empresarios no agrarios sin asalariados	Hombres	16412
50	Zaragoza	8	Empresarios no agrarios sin asalariados	Mujeres	8267
50	Zaragoza	9	Miembros de cooperativas no agrarias	Hombres	527
50	Zaragoza	9	Miembros de cooperativas no agrarias	Mujeres	390
50	Zaragoza	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Hombres	7817
50	Zaragoza	10	Directores y gerentes de establecimientos no agrarios, altos funcionarios de la administración pública, comunidades autónomas y corporaciones locales	Mujeres	2386
50	Zaragoza	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Hombres	33139
50	Zaragoza	11	Profesionales, técnicos y asimilados que ejercen su actividad por cuenta ajena	Mujeres	26338
50	Zaragoza	12	Profesionales en ocupaciones exclusivas de la administración pública	Hombres	726
50	Zaragoza	12	Profesionales en ocupaciones exclusivas de la administración pública	Mujeres	744
50	Zaragoza	13	Resto del personal administrativo y comercial	Hombres	23413
50	Zaragoza	13	Resto del personal administrativo y comercial	Mujeres	41870
50	Zaragoza	14	Resto del personal de los servicios	Hombres	14294
50	Zaragoza	14	Resto del personal de los servicios	Mujeres	29445
50	Zaragoza	15	Contramaestres y capataces de establecimientos no agrarios	Hombres	4598
50	Zaragoza	15	Contramaestres y capataces de establecimientos no agrarios	Mujeres	212
50	Zaragoza	16	Operarios cualificados y especializados de establecimientos no agrarios	Hombres	73585
50	Zaragoza	16	Operarios cualificados y especializados de establecimientos no agrarios	Mujeres	14878
50	Zaragoza	17	Operarios sin especialización de establecimientos no agrarios	Hombres	9621
50	Zaragoza	17	Operarios sin especialización de establecimientos no agrarios	Mujeres	1777
50	Zaragoza	18	Profesionales de las fuerzas armadas	Hombres	3895
50	Zaragoza	18	Profesionales de las fuerzas armadas	Mujeres	447
50	Zaragoza	19	No clasificables por condicion socioeconómica	Hombres	291
