Comarca código	Comarca nombre	Horas trabajadas	Personas residentes viviendas familiares
01	La Jacetania	01-10	132
01	La Jacetania	11-20	308
01	La Jacetania	21-30	337
01	La Jacetania	31-40	4695
01	La Jacetania	41-50	970
01	La Jacetania	Más de 50	560
02	Alto Gállego	01-10	112
02	Alto Gállego	11-20	183
02	Alto Gállego	21-30	245
02	Alto Gállego	31-40	3478
02	Alto Gállego	41-50	678
02	Alto Gállego	Más de 50	336
03	Sobrarbe	01-10	21
03	Sobrarbe	11-20	84
03	Sobrarbe	21-30	114
03	Sobrarbe	31-40	1902
03	Sobrarbe	41-50	338
03	Sobrarbe	Más de 50	327
04	La Ribagorza	01-10	109
04	La Ribagorza	11-20	162
04	La Ribagorza	21-30	237
04	La Ribagorza	31-40	2829
04	La Ribagorza	41-50	845
04	La Ribagorza	Más de 50	555
05	Cinco Villas	01-10	233
05	Cinco Villas	11-20	528
05	Cinco Villas	21-30	524
05	Cinco Villas	31-40	9264
05	Cinco Villas	41-50	1751
05	Cinco Villas	Más de 50	993
06	Hoya de Huesca / Plana de Uesca	01-10	405
06	Hoya de Huesca / Plana de Uesca	11-20	979
06	Hoya de Huesca / Plana de Uesca	21-30	1405
06	Hoya de Huesca / Plana de Uesca	31-40	18349
06	Hoya de Huesca / Plana de Uesca	41-50	3039
06	Hoya de Huesca / Plana de Uesca	Más de 50	1368
07	Somontano de Barbastro	01-10	183
07	Somontano de Barbastro	11-20	330
07	Somontano de Barbastro	21-30	421
07	Somontano de Barbastro	31-40	6486
07	Somontano de Barbastro	41-50	1061
07	Somontano de Barbastro	Más de 50	449
08	Cinca Medio	01-10	110
08	Cinca Medio	11-20	297
08	Cinca Medio	21-30	336
08	Cinca Medio	31-40	6666
08	Cinca Medio	41-50	1010
08	Cinca Medio	Más de 50	451
09	La Litera / La Llitera	01-10	129
09	La Litera / La Llitera	11-20	291
09	La Litera / La Llitera	21-30	264
09	La Litera / La Llitera	31-40	5101
09	La Litera / La Llitera	41-50	1182
09	La Litera / La Llitera	Más de 50	496
10	Los Monegros	01-10	131
10	Los Monegros	11-20	252
10	Los Monegros	21-30	295
10	Los Monegros	31-40	4850
10	Los Monegros	41-50	1492
10	Los Monegros	Más de 50	822
11	Bajo Cinca / Baix Cinca	01-10	132
11	Bajo Cinca / Baix Cinca	11-20	323
11	Bajo Cinca / Baix Cinca	21-30	373
11	Bajo Cinca / Baix Cinca	31-40	6569
11	Bajo Cinca / Baix Cinca	41-50	1047
11	Bajo Cinca / Baix Cinca	Más de 50	532
12	Tarazona y el Moncayo	01-10	87
12	Tarazona y el Moncayo	11-20	168
