Aragón	Sector actividad, código	Sector actividad, descripción	Horas trabajadas	Personas residentes viviendas familiares
Aragón	1	Agricultura, ganadería y pesca	01-10	395
Aragón	1	Agricultura, ganadería y pesca	11-20	717
Aragón	1	Agricultura, ganadería y pesca	21-30	984
Aragón	1	Agricultura, ganadería y pesca	31-40	18654
Aragón	1	Agricultura, ganadería y pesca	41-50	8157
Aragón	1	Agricultura, ganadería y pesca	Más de 50	6531
Aragón	2	Industria y energía	01-10	1927
Aragón	2	Industria y energía	11-20	2148
Aragón	2	Industria y energía	21-30	1458
Aragón	2	Industria y energía	31-40	97263
Aragón	2	Industria y energía	41-50	8201
Aragón	2	Industria y energía	Más de 50	2598
Aragón	3	Construcción	01-10	878
Aragón	3	Construcción	11-20	569
Aragón	3	Construcción	21-30	491
Aragón	3	Construcción	31-40	38417
Aragón	3	Construcción	41-50	7571
Aragón	3	Construcción	Más de 50	1333
Aragón	4	Servicios	01-10	7741
Aragón	4	Servicios	11-20	16935
Aragón	4	Servicios	21-30	21403
Aragón	4	Servicios	31-40	204533
Aragón	4	Servicios	41-50	32474
Aragón	4	Servicios	Más de 50	14391
