Aragón	Lugar trabajo o estudio	Personas residentes viviendas familiares	Situación preferente
Aragón	En mi propio domicilio	3502	Estudiantes que no trabajan
Aragón	En mi propio domicilio	13770	Trabajadores
Aragón	En varios municipios (viajante, conductor,...)	105	Estudiantes que no trabajan
Aragón	En varios municipios (viajante, conductor,...)	22477	Trabajadores
Aragón	En este municipio	52851	Estudiantes que no trabajan
Aragón	En este municipio	360599	Trabajadores
Aragón	En otro municipio	25443	Estudiantes que no trabajan
Aragón	En otro municipio	97685	Trabajadores
Aragón	En otro país	867	Estudiantes que no trabajan
Aragón	En otro país	1238	Trabajadores
