Municipio código	Municipio nombre	Lugar trabajo o estudio	Personas residentes viviendas familiares	Situación preferente
22001	Abiego	En mi propio domicilio	11	Trabajadores
22001	Abiego	En varios municipios (viajante, conductor,...)	14	Trabajadores
22001	Abiego	En este municipio	2	Estudiantes que no trabajan
22001	Abiego	En este municipio	51	Trabajadores
22001	Abiego	En otro municipio	18	Estudiantes que no trabajan
22001	Abiego	En otro municipio	25	Trabajadores
22002	Abizanda	En varios municipios (viajante, conductor,...)	4	Trabajadores
22002	Abizanda	En este municipio	1	Estudiantes que no trabajan
22002	Abizanda	En este municipio	12	Trabajadores
22002	Abizanda	En otro municipio	11	Estudiantes que no trabajan
22002	Abizanda	En otro municipio	38	Trabajadores
22002	Abizanda	En otro país	1	Trabajadores
22003	Adahuesca	En mi propio domicilio	2	Trabajadores
22003	Adahuesca	En varios municipios (viajante, conductor,...)	8	Trabajadores
22003	Adahuesca	En este municipio	3	Estudiantes que no trabajan
22003	Adahuesca	En este municipio	33	Trabajadores
22003	Adahuesca	En otro municipio	3	Estudiantes que no trabajan
22003	Adahuesca	En otro municipio	13	Trabajadores
22004	Agüero	En mi propio domicilio	1	Trabajadores
22004	Agüero	En varios municipios (viajante, conductor,...)	2	Trabajadores
22004	Agüero	En este municipio	22	Trabajadores
22004	Agüero	En otro municipio	1	Estudiantes que no trabajan
22004	Agüero	En otro municipio	28	Trabajadores
22006	Aísa	En mi propio domicilio	2	Estudiantes que no trabajan
22006	Aísa	En mi propio domicilio	7	Trabajadores
22006	Aísa	En varios municipios (viajante, conductor,...)	8	Trabajadores
22006	Aísa	En este municipio	2	Estudiantes que no trabajan
22006	Aísa	En este municipio	66	Trabajadores
22006	Aísa	En otro municipio	31	Estudiantes que no trabajan
22006	Aísa	En otro municipio	94	Trabajadores
22006	Aísa	En otro país	1	Estudiantes que no trabajan
22006	Aísa	En otro país	1	Trabajadores
22007	Albalate de Cinca	En mi propio domicilio	23	Trabajadores
22007	Albalate de Cinca	En varios municipios (viajante, conductor,...)	21	Trabajadores
22007	Albalate de Cinca	En este municipio	2	Estudiantes que no trabajan
22007	Albalate de Cinca	En este municipio	315	Trabajadores
22007	Albalate de Cinca	En otro municipio	54	Estudiantes que no trabajan
22007	Albalate de Cinca	En otro municipio	136	Trabajadores
22007	Albalate de Cinca	En otro país	1	Trabajadores
22008	Albalatillo	En varios municipios (viajante, conductor,...)	3	Trabajadores
22008	Albalatillo	En este municipio	2	Estudiantes que no trabajan
22008	Albalatillo	En este municipio	36	Trabajadores
22008	Albalatillo	En otro municipio	13	Estudiantes que no trabajan
22008	Albalatillo	En otro municipio	46	Trabajadores
22009	Albelda	En mi propio domicilio	29	Trabajadores
22009	Albelda	En varios municipios (viajante, conductor,...)	24	Trabajadores
22009	Albelda	En este municipio	134	Trabajadores
22009	Albelda	En otro municipio	46	Estudiantes que no trabajan
22009	Albelda	En otro municipio	123	Trabajadores
22009	Albelda	En otro país	2	Trabajadores
22011	Albero Alto	En mi propio domicilio	1	Estudiantes que no trabajan
