Provincia código	Provincia nombre	Estructura hogar	Número hogares
22	Huesca	Una mujer de 16 a 64 años	2904
22	Huesca	Un hombre de 16 a 64 años	5618
22	Huesca	Una mujer de 65 o más años	6075
22	Huesca	Un hombre de 65 o más años	2825
22	Huesca	Una mujer adulta con uno o más menores	1196
22	Huesca	Un hombre adulto con  uno o más menores	428
22	Huesca	Dos adultos de 16 a 64 años, sin menores	6584
22	Huesca	Dos adultos, uno al menos de 65 años o más, sin menores	10788
22	Huesca	Dos adultos y un menor	4832
22	Huesca	Dos adultos y dos menores	4604
22	Huesca	Dos adultos y tres o más menores	626
22	Huesca	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	5457
22	Huesca	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	2172
22	Huesca	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	426
22	Huesca	Otro hogar de tres adultos, con o sin menores	5585
22	Huesca	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	4616
22	Huesca	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	589
22	Huesca	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	122
22	Huesca	Otro hogar de cuatro adultos, con o sin menores	3474
22	Huesca	Cinco o más adultos, con o sin menores	4865
44	Teruel	Una mujer de 16 a 64 años	1813
44	Teruel	Un hombre de 16 a 64 años	3442
44	Teruel	Una mujer de 65 o más años	5145
44	Teruel	Un hombre de 65 o más años	2463
44	Teruel	Una mujer adulta con uno o más menores	652
44	Teruel	Un hombre adulto con  uno o más menores	261
44	Teruel	Dos adultos de 16 a 64 años, sin menores	4158
44	Teruel	Dos adultos, uno al menos de 65 años o más, sin menores	9512
44	Teruel	Dos adultos y un menor	2930
44	Teruel	Dos adultos y dos menores	3936
44	Teruel	Dos adultos y tres o más menores	514
44	Teruel	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	3637
44	Teruel	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	1625
44	Teruel	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	280
44	Teruel	Otro hogar de tres adultos, con o sin menores	3258
44	Teruel	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	2925
44	Teruel	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	535
44	Teruel	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	82
44	Teruel	Otro hogar de cuatro adultos, con o sin menores	1631
44	Teruel	Cinco o más adultos, con o sin menores	2271
50	Zaragoza	Una mujer de 16 a 64 años	14506
50	Zaragoza	Un hombre de 16 a 64 años	19147
50	Zaragoza	Una mujer de 65 o más años	27397
50	Zaragoza	Un hombre de 65 o más años	8399
50	Zaragoza	Una mujer adulta con uno o más menores	4575
50	Zaragoza	Un hombre adulto con  uno o más menores	1419
50	Zaragoza	Dos adultos de 16 a 64 años, sin menores	38427
50	Zaragoza	Dos adultos, uno al menos de 65 años o más, sin menores	46181
50	Zaragoza	Dos adultos y un menor	25882
50	Zaragoza	Dos adultos y dos menores	22158
50	Zaragoza	Dos adultos y tres o más menores	2721
50	Zaragoza	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	27546
50	Zaragoza	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	10568
50	Zaragoza	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	1679
50	Zaragoza	Otro hogar de tres adultos, con o sin menores	19189
50	Zaragoza	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	23060
50	Zaragoza	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	2691
50	Zaragoza	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	535
50	Zaragoza	Otro hogar de cuatro adultos, con o sin menores	8695
50	Zaragoza	Cinco o más adultos, con o sin menores	13612
