Comarca código	Comarca nombre	Tipo hogar 1	Tipo de hogar 2	Número hogares
01	La Jacetania	1- Hogar unipersonal	1- Hogar unipersonal	1779
01	La Jacetania	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	69
01	La Jacetania	2- Hogar multipersonal	3- Hogar multipersonal, una familia	4353
01	La Jacetania	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	29
02	Alto Gállego	1- Hogar unipersonal	1- Hogar unipersonal	1032
02	Alto Gállego	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	33
02	Alto Gállego	2- Hogar multipersonal	3- Hogar multipersonal, una familia	3318
02	Alto Gállego	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	17
03	Sobrarbe	1- Hogar unipersonal	1- Hogar unipersonal	751
03	Sobrarbe	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	32
03	Sobrarbe	2- Hogar multipersonal	3- Hogar multipersonal, una familia	1665
03	Sobrarbe	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	7
04	La Ribagorza	1- Hogar unipersonal	1- Hogar unipersonal	1429
04	La Ribagorza	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	55
04	La Ribagorza	2- Hogar multipersonal	3- Hogar multipersonal, una familia	2959
04	La Ribagorza	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	15
05	Cinco Villas	1- Hogar unipersonal	1- Hogar unipersonal	2681
05	Cinco Villas	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	109
05	Cinco Villas	2- Hogar multipersonal	3- Hogar multipersonal, una familia	8750
05	Cinco Villas	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	48
06	Hoya de Huesca / Plana de Uesca	1- Hogar unipersonal	1- Hogar unipersonal	4995
06	Hoya de Huesca / Plana de Uesca	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	156
06	Hoya de Huesca / Plana de Uesca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	16506
06	Hoya de Huesca / Plana de Uesca	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	44
07	Somontano de Barbastro	1- Hogar unipersonal	1- Hogar unipersonal	2024
07	Somontano de Barbastro	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	45
07	Somontano de Barbastro	2- Hogar multipersonal	3- Hogar multipersonal, una familia	6131
07	Somontano de Barbastro	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	22
