Municipio código	Municipio nombre	Tipo hogar 1	Tipo de hogar 2	Número hogares
22001	Abiego	1- Hogar unipersonal	1- Hogar unipersonal	26
22001	Abiego	2- Hogar multipersonal	3- Hogar multipersonal, una familia	78
22002	Abizanda	1- Hogar unipersonal	1- Hogar unipersonal	14
22002	Abizanda	2- Hogar multipersonal	3- Hogar multipersonal, una familia	32
22003	Adahuesca	1- Hogar unipersonal	1- Hogar unipersonal	28
22003	Adahuesca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	39
22004	Agüero	1- Hogar unipersonal	1- Hogar unipersonal	33
22004	Agüero	2- Hogar multipersonal	3- Hogar multipersonal, una familia	39
22006	Aísa	1- Hogar unipersonal	1- Hogar unipersonal	54
22006	Aísa	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22006	Aísa	2- Hogar multipersonal	3- Hogar multipersonal, una familia	92
22006	Aísa	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	2
22007	Albalate de Cinca	1- Hogar unipersonal	1- Hogar unipersonal	71
22007	Albalate de Cinca	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	8
22007	Albalate de Cinca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	315
22007	Albalate de Cinca	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	4
22008	Albalatillo	1- Hogar unipersonal	1- Hogar unipersonal	34
22008	Albalatillo	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22008	Albalatillo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	66
22009	Albelda	1- Hogar unipersonal	1- Hogar unipersonal	89
22009	Albelda	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22009	Albelda	2- Hogar multipersonal	3- Hogar multipersonal, una familia	236
22011	Albero Alto	1- Hogar unipersonal	1- Hogar unipersonal	7
22011	Albero Alto	2- Hogar multipersonal	3- Hogar multipersonal, una familia	30
22012	Albero Bajo	1- Hogar unipersonal	1- Hogar unipersonal	9
22012	Albero Bajo	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22012	Albero Bajo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	30
22013	Alberuela de Tubo	1- Hogar unipersonal	1- Hogar unipersonal	23
22013	Alberuela de Tubo	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22013	Alberuela de Tubo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	89
22014	Alcalá de Gurrea	1- Hogar unipersonal	1- Hogar unipersonal	52
22014	Alcalá de Gurrea	2- Hogar multipersonal	3- Hogar multipersonal, una familia	80
22015	Alcalá del Obispo	1- Hogar unipersonal	1- Hogar unipersonal	47
22015	Alcalá del Obispo	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22015	Alcalá del Obispo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	97
22016	Alcampell	1- Hogar unipersonal	1- Hogar unipersonal	97
22016	Alcampell	2- Hogar multipersonal	3- Hogar multipersonal, una familia	233
22017	Alcolea de Cinca	1- Hogar unipersonal	1- Hogar unipersonal	88
22017	Alcolea de Cinca	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	3
22017	Alcolea de Cinca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	321
22017	Alcolea de Cinca	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22018	Alcubierre	1- Hogar unipersonal	1- Hogar unipersonal	48
22018	Alcubierre	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22018	Alcubierre	2- Hogar multipersonal	3- Hogar multipersonal, una familia	125
22019	Alerre	1- Hogar unipersonal	1- Hogar unipersonal	12
22019	Alerre	2- Hogar multipersonal	3- Hogar multipersonal, una familia	54
22020	Alfántega	1- Hogar unipersonal	1- Hogar unipersonal	9
22020	Alfántega	2- Hogar multipersonal	3- Hogar multipersonal, una familia	32
22021	Almudévar	1- Hogar unipersonal	1- Hogar unipersonal	184
22021	Almudévar	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22021	Almudévar	2- Hogar multipersonal	3- Hogar multipersonal, una familia	631
22021	Almudévar	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	3
22022	Almunia de San Juan	1- Hogar unipersonal	1- Hogar unipersonal	51
22022	Almunia de San Juan	2- Hogar multipersonal	3- Hogar multipersonal, una familia	186
22023	Almuniente	1- Hogar unipersonal	1- Hogar unipersonal	48
22023	Almuniente	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22023	Almuniente	2- Hogar multipersonal	3- Hogar multipersonal, una familia	155
22024	Alquézar	1- Hogar unipersonal	1- Hogar unipersonal	32
22024	Alquézar	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	4
22024	Alquézar	2- Hogar multipersonal	3- Hogar multipersonal, una familia	82
22025	Altorricón	1- Hogar unipersonal	1- Hogar unipersonal	108
22025	Altorricón	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22025	Altorricón	2- Hogar multipersonal	3- Hogar multipersonal, una familia	387
22025	Altorricón	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22027	Angüés	1- Hogar unipersonal	1- Hogar unipersonal	46
22027	Angüés	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22027	Angüés	2- Hogar multipersonal	3- Hogar multipersonal, una familia	125
22028	Ansó	1- Hogar unipersonal	1- Hogar unipersonal	83
22028	Ansó	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22028	Ansó	2- Hogar multipersonal	3- Hogar multipersonal, una familia	119
22028	Ansó	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22029	Antillón	1- Hogar unipersonal	1- Hogar unipersonal	10
22029	Antillón	2- Hogar multipersonal	3- Hogar multipersonal, una familia	38
22032	Aragüés del Puerto	1- Hogar unipersonal	1- Hogar unipersonal	25
22032	Aragüés del Puerto	2- Hogar multipersonal	3- Hogar multipersonal, una familia	37
22035	Arén	1- Hogar unipersonal	1- Hogar unipersonal	46
22035	Arén	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22035	Arén	2- Hogar multipersonal	3- Hogar multipersonal, una familia	95
22035	Arén	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22036	Argavieso	1- Hogar unipersonal	1- Hogar unipersonal	7
22036	Argavieso	2- Hogar multipersonal	3- Hogar multipersonal, una familia	33
22037	Arguis	1- Hogar unipersonal	1- Hogar unipersonal	11
22037	Arguis	2- Hogar multipersonal	3- Hogar multipersonal, una familia	18
22039	Ayerbe	1- Hogar unipersonal	1- Hogar unipersonal	133
22039	Ayerbe	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22039	Ayerbe	2- Hogar multipersonal	3- Hogar multipersonal, una familia	312
22040	Azanuy-Alins	1- Hogar unipersonal	1- Hogar unipersonal	26
22040	Azanuy-Alins	2- Hogar multipersonal	3- Hogar multipersonal, una familia	50
22041	Azara	1- Hogar unipersonal	1- Hogar unipersonal	15
22041	Azara	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22041	Azara	2- Hogar multipersonal	3- Hogar multipersonal, una familia	55
22042	Azlor	1- Hogar unipersonal	1- Hogar unipersonal	14
22042	Azlor	2- Hogar multipersonal	3- Hogar multipersonal, una familia	45
22043	Baells	1- Hogar unipersonal	1- Hogar unipersonal	25
22043	Baells	2- Hogar multipersonal	3- Hogar multipersonal, una familia	36
22044	Bailo	1- Hogar unipersonal	1- Hogar unipersonal	33
22044	Bailo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	79
22045	Baldellou	1- Hogar unipersonal	1- Hogar unipersonal	20
22045	Baldellou	2- Hogar multipersonal	3- Hogar multipersonal, una familia	35
22046	Ballobar	1- Hogar unipersonal	1- Hogar unipersonal	64
22046	Ballobar	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	4
22046	Ballobar	2- Hogar multipersonal	3- Hogar multipersonal, una familia	261
22047	Banastás	1- Hogar unipersonal	1- Hogar unipersonal	14
22047	Banastás	2- Hogar multipersonal	3- Hogar multipersonal, una familia	46
22048	Barbastro	1- Hogar unipersonal	1- Hogar unipersonal	1151
22048	Barbastro	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	27
22048	Barbastro	2- Hogar multipersonal	3- Hogar multipersonal, una familia	4117
22048	Barbastro	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	16
22049	Barbués	1- Hogar unipersonal	1- Hogar unipersonal	7
22049	Barbués	2- Hogar multipersonal	3- Hogar multipersonal, una familia	31
22050	Barbuñales	1- Hogar unipersonal	1- Hogar unipersonal	22
22050	Barbuñales	2- Hogar multipersonal	3- Hogar multipersonal, una familia	28
22050	Barbuñales	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22051	Bárcabo	1- Hogar unipersonal	1- Hogar unipersonal	22
22051	Bárcabo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	25
22052	Belver de Cinca	1- Hogar unipersonal	1- Hogar unipersonal	85
22052	Belver de Cinca	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22052	Belver de Cinca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	359
22052	Belver de Cinca	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
