Comarca código	Comarca nombre	Número de personas en el hogar	Número hogares
01	La Jacetania	01	1779
01	La Jacetania	02	1518
01	La Jacetania	03	1165
01	La Jacetania	04	1095
01	La Jacetania	05	422
01	La Jacetania	06	155
01	La Jacetania	07	67
01	La Jacetania	08	21
01	La Jacetania	09	3
01	La Jacetania	10 o más	5
02	Alto Gállego	01	1032
02	Alto Gállego	02	1088
02	Alto Gállego	03	907
02	Alto Gállego	04	925
02	Alto Gállego	05	304
02	Alto Gállego	06	104
02	Alto Gállego	07	21
02	Alto Gállego	08	10
02	Alto Gállego	09	7
02	Alto Gállego	10 o más	2
03	Sobrarbe	01	751
03	Sobrarbe	02	558
03	Sobrarbe	03	406
03	Sobrarbe	04	359
03	Sobrarbe	05	199
03	Sobrarbe	06	109
03	Sobrarbe	07	38
03	Sobrarbe	08	25
03	Sobrarbe	09	7
03	Sobrarbe	10 o más	3
04	La Ribagorza	01	1429
04	La Ribagorza	02	1087
04	La Ribagorza	03	763
04	La Ribagorza	04	628
04	La Ribagorza	05	279
04	La Ribagorza	06	166
04	La Ribagorza	07	75
04	La Ribagorza	08	21
04	La Ribagorza	09	7
04	La Ribagorza	10 o más	3
05	Cinco Villas	01	2681
05	Cinco Villas	02	2989
05	Cinco Villas	03	2439
05	Cinco Villas	04	2321
05	Cinco Villas	05	755
05	Cinco Villas	06	266
05	Cinco Villas	07	78
05	Cinco Villas	08	32
05	Cinco Villas	09	16
05	Cinco Villas	10 o más	11
06	Hoya de Huesca / Plana de Uesca	01	4995
06	Hoya de Huesca / Plana de Uesca	02	5446
06	Hoya de Huesca / Plana de Uesca	03	4801
06	Hoya de Huesca / Plana de Uesca	04	4468
06	Hoya de Huesca / Plana de Uesca	05	1345
06	Hoya de Huesca / Plana de Uesca	06	431
06	Hoya de Huesca / Plana de Uesca	07	126
06	Hoya de Huesca / Plana de Uesca	08	50
06	Hoya de Huesca / Plana de Uesca	09	21
06	Hoya de Huesca / Plana de Uesca	10 o más	18
07	Somontano de Barbastro	01	2024
07	Somontano de Barbastro	02	2045
07	Somontano de Barbastro	03	1677
07	Somontano de Barbastro	04	1569
07	Somontano de Barbastro	05	572
07	Somontano de Barbastro	06	221
07	Somontano de Barbastro	07	73
07	Somontano de Barbastro	08	24
07	Somontano de Barbastro	09	6
07	Somontano de Barbastro	10 o más	11
08	Cinca Medio	01	1557
08	Cinca Medio	02	2060
08	Cinca Medio	03	1725
08	Cinca Medio	04	1533
08	Cinca Medio	05	566
08	Cinca Medio	06	217
08	Cinca Medio	07	61
08	Cinca Medio	08	22
08	Cinca Medio	09	11
08	Cinca Medio	10 o más	9
09	La Litera / La Llitera	01	1442
09	La Litera / La Llitera	02	1722
09	La Litera / La Llitera	03	1383
09	La Litera / La Llitera	04	1340
09	La Litera / La Llitera	05	451
09	La Litera / La Llitera	06	185
09	La Litera / La Llitera	07	56
09	La Litera / La Llitera	08	14
09	La Litera / La Llitera	09	4
09	La Litera / La Llitera	10 o más	4
10	Los Monegros	01	1784
10	Los Monegros	02	1780
10	Los Monegros	03	1500
10	Los Monegros	04	1402
10	Los Monegros	05	611
10	Los Monegros	06	253
10	Los Monegros	07	72
10	Los Monegros	08	21
10	Los Monegros	09	9
10	Los Monegros	10 o más	3
11	Bajo Cinca / Baix Cinca	01	1342
11	Bajo Cinca / Baix Cinca	02	1838
11	Bajo Cinca / Baix Cinca	03	1593
11	Bajo Cinca / Baix Cinca	04	1586
11	Bajo Cinca / Baix Cinca	05	617
11	Bajo Cinca / Baix Cinca	06	303
11	Bajo Cinca / Baix Cinca	07	109
11	Bajo Cinca / Baix Cinca	08	25
11	Bajo Cinca / Baix Cinca	09	5
11	Bajo Cinca / Baix Cinca	10 o más	9
12	Tarazona y el Moncayo	01	1265
12	Tarazona y el Moncayo	02	1444
12	Tarazona y el Moncayo	03	1122
12	Tarazona y el Moncayo	04	1022
12	Tarazona y el Moncayo	05	293
12	Tarazona y el Moncayo	06	77
12	Tarazona y el Moncayo	07	33
12	Tarazona y el Moncayo	08	8
12	Tarazona y el Moncayo	09	1
12	Tarazona y el Moncayo	10 o más	2
13	Campo de Borja	01	1412
13	Campo de Borja	02	1454
13	Campo de Borja	03	1054
13	Campo de Borja	04	1027
13	Campo de Borja	05	289
13	Campo de Borja	06	91
13	Campo de Borja	07	18
13	Campo de Borja	08	9
13	Campo de Borja	09	1
13	Campo de Borja	10 o más	10
14	Aranda	01	607
14	Aranda	02	773
14	Aranda	03	637
14	Aranda	04	616
14	Aranda	05	184
14	Aranda	06	62
14	Aranda	07	10
14	Aranda	08	6
14	Aranda	10 o más	1
15	Ribera Alta del Ebro	01	1713
15	Ribera Alta del Ebro	02	2238
15	Ribera Alta del Ebro	03	1757
15	Ribera Alta del Ebro	04	1625
15	Ribera Alta del Ebro	05	494
15	Ribera Alta del Ebro	06	166
15	Ribera Alta del Ebro	07	44
15	Ribera Alta del Ebro	08	14
15	Ribera Alta del Ebro	09	8
15	Ribera Alta del Ebro	10 o más	6
16	Valdejalón	01	1916
16	Valdejalón	02	2335
16	Valdejalón	03	1767
16	Valdejalón	04	1582
16	Valdejalón	05	507
16	Valdejalón	06	169
16	Valdejalón	07	44
16	Valdejalón	08	22
16	Valdejalón	09	9
16	Valdejalón	10 o más	19
17	D.C. Zaragoza	01	50395
17	D.C. Zaragoza	02	66881
17	D.C. Zaragoza	03	55914
17	D.C. Zaragoza	04	50274
17	D.C. Zaragoza	05	12837
17	D.C. Zaragoza	06	3209
17	D.C. Zaragoza	07	989
17	D.C. Zaragoza	08	357
17	D.C. Zaragoza	09	201
17	D.C. Zaragoza	10 o más	278
18	Ribera Baja del Ebro	01	1006
18	Ribera Baja del Ebro	02	1116
18	Ribera Baja del Ebro	03	775
18	Ribera Baja del Ebro	04	575
18	Ribera Baja del Ebro	05	186
18	Ribera Baja del Ebro	06	37
18	Ribera Baja del Ebro	07	12
18	Ribera Baja del Ebro	08	4
18	Ribera Baja del Ebro	09	4
18	Ribera Baja del Ebro	10 o más	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	01	1170
19	Bajo Aragón-Caspe / Baix Aragó-Casp	02	1332
19	Bajo Aragón-Caspe / Baix Aragó-Casp	03	961
19	Bajo Aragón-Caspe / Baix Aragó-Casp	04	912
19	Bajo Aragón-Caspe / Baix Aragó-Casp	05	296
19	Bajo Aragón-Caspe / Baix Aragó-Casp	06	123
19	Bajo Aragón-Caspe / Baix Aragó-Casp	07	27
19	Bajo Aragón-Caspe / Baix Aragó-Casp	08	5
19	Bajo Aragón-Caspe / Baix Aragó-Casp	09	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	10 o más	3
20	Comunidad de Calatayud	01	4169
20	Comunidad de Calatayud	02	4414
20	Comunidad de Calatayud	03	2911
20	Comunidad de Calatayud	04	2570
20	Comunidad de Calatayud	05	792
20	Comunidad de Calatayud	06	272
20	Comunidad de Calatayud	07	72
20	Comunidad de Calatayud	08	25
20	Comunidad de Calatayud	09	19
20	Comunidad de Calatayud	10 o más	16
21	Campo de Cariñena	01	927
21	Campo de Cariñena	02	1044
21	Campo de Cariñena	03	761
21	Campo de Cariñena	04	672
21	Campo de Cariñena	05	230
21	Campo de Cariñena	06	74
21	Campo de Cariñena	07	38
21	Campo de Cariñena	08	11
21	Campo de Cariñena	09	7
21	Campo de Cariñena	10 o más	12
22	Campo de Belchite	01	690
22	Campo de Belchite	02	773
22	Campo de Belchite	03	427
22	Campo de Belchite	04	328
22	Campo de Belchite	05	100
22	Campo de Belchite	06	22
22	Campo de Belchite	07	6
22	Campo de Belchite	09	2
23	Bajo Martín	01	790
23	Bajo Martín	02	867
23	Bajo Martín	03	551
23	Bajo Martín	04	497
23	Bajo Martín	05	145
23	Bajo Martín	06	44
23	Bajo Martín	07	7
23	Bajo Martín	08	1
23	Bajo Martín	09	1
23	Bajo Martín	10 o más	1
24	Campo de Daroca	01	785
24	Campo de Daroca	02	822
24	Campo de Daroca	03	494
24	Campo de Daroca	04	403
24	Campo de Daroca	05	112
24	Campo de Daroca	06	27
24	Campo de Daroca	07	14
24	Campo de Daroca	08	2
24	Campo de Daroca	09	4
25	Jiloca	01	1659
25	Jiloca	02	1657
25	Jiloca	03	944
25	Jiloca	04	895
25	Jiloca	05	275
25	Jiloca	06	92
25	Jiloca	07	20
