Comarca código	Comarca nombre	Tamaño medio
01	La Jacetania	2,63948635634029
02	Alto Gállego	2,74659090909091
03	Sobrarbe	2,74297352342159
04	La Ribagorza	2,59914759982055
05	Cinco Villas	2,73662409389023
06	Hoya de Huesca / Plana de Uesca	2,72517395511728
07	Somontano de Barbastro	2,73619557285332
08	Cinca Medio	2,82734183739209
09	La Litera / La Llitera	2,77897288289653
10	Los Monegros	2,79919300605245
11	Bajo Cinca / Baix Cinca	2,98532381850007
12	Tarazona y el Moncayo	2,63128915891399
13	Campo de Borja	2,59422180801491
14	Aranda	2,74447513812155
15	Ribera Alta del Ebro	2,72597644141352
16	Valdejalón	2,69498207885305
17	D.C. Zaragoza	2,69842749704767
18	Ribera Baja del Ebro	2,47269303201507
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2,66770122077385
20	Comunidad de Calatayud	2,53309305373526
21	Campo de Cariñena	2,69438559322034
22	Campo de Belchite	2,35136286201022
23	Bajo Martín	2,491391184573
24	Campo de Daroca	2,40142696207285
25	Jiloca	2,44176417641764
26	Cuencas Mineras	2,62733612273361
27	Andorra-Sierra de Arcos	2,78547938274728
28	Bajo Aragón	2,74792389361926
29	Comunidad de Teruel	2,67897012324966
30	Maestrazgo	2,47039254823686
31	Sierra de Albarracín	2,39296333002973
32	Gúdar-Javalambre	2,40162145307141
33	Matarraña / Matarranya	2,61349325337331
