Comarca código	Comarca nombre	Sexo	Edad	Número hogares
01	La Jacetania	Hombres	16 a 34 años	214
01	La Jacetania	Hombres	35 a 64 años	472
01	La Jacetania	Hombres	Mayores de 64 años	245
01	La Jacetania	Mujeres	16 a 34 años	126
01	La Jacetania	Mujeres	35 a 64 años	218
01	La Jacetania	Mujeres	Mayores de 64 años	504
02	Alto Gállego	Hombres	16 a 34 años	119
02	Alto Gállego	Hombres	35 a 64 años	262
02	Alto Gállego	Hombres	Mayores de 64 años	158
02	Alto Gállego	Mujeres	16 a 34 años	87
02	Alto Gállego	Mujeres	35 a 64 años	111
02	Alto Gállego	Mujeres	Mayores de 64 años	295
03	Sobrarbe	Hombres	16 a 34 años	82
03	Sobrarbe	Hombres	35 a 64 años	259
03	Sobrarbe	Hombres	Mayores de 64 años	128
03	Sobrarbe	Mujeres	16 a 34 años	36
03	Sobrarbe	Mujeres	35 a 64 años	66
03	Sobrarbe	Mujeres	Mayores de 64 años	180
04	La Ribagorza	Hombres	16 a 34 años	168
04	La Ribagorza	Hombres	35 a 64 años	357
04	La Ribagorza	Hombres	Mayores de 64 años	290
04	La Ribagorza	Mujeres	16 a 34 años	101
04	La Ribagorza	Mujeres	35 a 64 años	127
04	La Ribagorza	Mujeres	Mayores de 64 años	386
05	Cinco Villas	Hombres	16 a 34 años	221
05	Cinco Villas	Hombres	35 a 64 años	596
05	Cinco Villas	Hombres	Mayores de 64 años	476
05	Cinco Villas	Mujeres	16 a 34 años	102
05	Cinco Villas	Mujeres	35 a 64 años	248
05	Cinco Villas	Mujeres	Mayores de 64 años	1038
06	Hoya de Huesca / Plana de Uesca	Hombres	16 a 34 años	467
06	Hoya de Huesca / Plana de Uesca	Hombres	35 a 64 años	1016
06	Hoya de Huesca / Plana de Uesca	Hombres	Mayores de 64 años	695
06	Hoya de Huesca / Plana de Uesca	Mujeres	16 a 34 años	354
06	Hoya de Huesca / Plana de Uesca	Mujeres	35 a 64 años	681
06	Hoya de Huesca / Plana de Uesca	Mujeres	Mayores de 64 años	1782
07	Somontano de Barbastro	Hombres	16 a 34 años	155
07	Somontano de Barbastro	Hombres	35 a 64 años	398
07	Somontano de Barbastro	Hombres	Mayores de 64 años	367
07	Somontano de Barbastro	Mujeres	16 a 34 años	121
07	Somontano de Barbastro	Mujeres	35 a 64 años	208
07	Somontano de Barbastro	Mujeres	Mayores de 64 años	775
08	Cinca Medio	Hombres	16 a 34 años	175
08	Cinca Medio	Hombres	35 a 64 años	305
08	Cinca Medio	Hombres	Mayores de 64 años	244
08	Cinca Medio	Mujeres	16 a 34 años	65
08	Cinca Medio	Mujeres	35 a 64 años	163
08	Cinca Medio	Mujeres	Mayores de 64 años	605
09	La Litera / La Llitera	Hombres	16 a 34 años	113
09	La Litera / La Llitera	Hombres	35 a 64 años	242
09	La Litera / La Llitera	Hombres	Mayores de 64 años	281
09	La Litera / La Llitera	Mujeres	16 a 34 años	47
09	La Litera / La Llitera	Mujeres	35 a 64 años	110
09	La Litera / La Llitera	Mujeres	Mayores de 64 años	649
10	Los Monegros	Hombres	16 a 34 años	123
10	Los Monegros	Hombres	35 a 64 años	434
10	Los Monegros	Hombres	Mayores de 64 años	360
10	Los Monegros	Mujeres	16 a 34 años	58
10	Los Monegros	Mujeres	35 a 64 años	150
10	Los Monegros	Mujeres	Mayores de 64 años	659
11	Bajo Cinca / Baix Cinca	Hombres	16 a 34 años	212
11	Bajo Cinca / Baix Cinca	Hombres	35 a 64 años	255
