Provincia código	Provincia nombre	Edad	Estado civil código	Estado civil	Número hogares
22	Huesca	16 a 34 años	1	Solteros/as	2156
22	Huesca	16 a 34 años	2	Casados/as	544
22	Huesca	16 a 34 años	3	Viudos/as	5
22	Huesca	16 a 34 años	4	Separados/as	73
22	Huesca	16 a 34 años	5	Divorciados/as	26
22	Huesca	35 a 64 años	1	Solteros/as	3084
22	Huesca	35 a 64 años	2	Casados/as	1365
22	Huesca	35 a 64 años	3	Viudos/as	472
22	Huesca	35 a 64 años	4	Separados/as	473
22	Huesca	35 a 64 años	5	Divorciados/as	324
22	Huesca	Mayores de 64 años	1	Solteros/as	2240
22	Huesca	Mayores de 64 años	2	Casados/as	379
22	Huesca	Mayores de 64 años	3	Viudos/as	6140
22	Huesca	Mayores de 64 años	4	Separados/as	105
22	Huesca	Mayores de 64 años	5	Divorciados/as	36
44	Teruel	16 a 34 años	1	Solteros/as	1180
44	Teruel	16 a 34 años	2	Casados/as	420
44	Teruel	16 a 34 años	3	Viudos/as	8
44	Teruel	16 a 34 años	4	Separados/as	43
44	Teruel	16 a 34 años	5	Divorciados/as	33
44	Teruel	35 a 64 años	1	Solteros/as	1975
44	Teruel	35 a 64 años	2	Casados/as	922
44	Teruel	35 a 64 años	3	Viudos/as	298
44	Teruel	35 a 64 años	4	Separados/as	271
44	Teruel	35 a 64 años	5	Divorciados/as	105
44	Teruel	Mayores de 64 años	1	Solteros/as	1658
44	Teruel	Mayores de 64 años	2	Casados/as	347
44	Teruel	Mayores de 64 años	3	Viudos/as	5490
44	Teruel	Mayores de 64 años	4	Separados/as	82
44	Teruel	Mayores de 64 años	5	Divorciados/as	31
50	Zaragoza	16 a 34 años	1	Solteros/as	9076
50	Zaragoza	16 a 34 años	2	Casados/as	1657
50	Zaragoza	16 a 34 años	3	Viudos/as	38
50	Zaragoza	16 a 34 años	4	Separados/as	497
50	Zaragoza	16 a 34 años	5	Divorciados/as	219
50	Zaragoza	35 a 64 años	1	Solteros/as	12638
50	Zaragoza	35 a 64 años	2	Casados/as	3101
50	Zaragoza	35 a 64 años	3	Viudos/as	2482
50	Zaragoza	35 a 64 años	4	Separados/as	2228
50	Zaragoza	35 a 64 años	5	Divorciados/as	1717
50	Zaragoza	Mayores de 64 años	1	Solteros/as	6736
50	Zaragoza	Mayores de 64 años	2	Casados/as	1192
50	Zaragoza	Mayores de 64 años	3	Viudos/as	26914
50	Zaragoza	Mayores de 64 años	4	Separados/as	623
50	Zaragoza	Mayores de 64 años	5	Divorciados/as	331
