Comarca código	Comarca nombre	Segunda residencia	Número hogares
01	La Jacetania	Dispone de segunda residencia	1030
01	La Jacetania	No dispone de segunda residencia	5200
02	Alto Gállego	Dispone de segunda residencia	774
02	Alto Gállego	No dispone de segunda residencia	3626
03	Sobrarbe	Dispone de segunda residencia	564
03	Sobrarbe	No dispone de segunda residencia	1891
04	La Ribagorza	Dispone de segunda residencia	782
04	La Ribagorza	No dispone de segunda residencia	3676
05	Cinco Villas	Dispone de segunda residencia	1600
05	Cinco Villas	No dispone de segunda residencia	9988
06	Hoya de Huesca / Plana de Uesca	Dispone de segunda residencia	4217
06	Hoya de Huesca / Plana de Uesca	No dispone de segunda residencia	17484
07	Somontano de Barbastro	Dispone de segunda residencia	1130
07	Somontano de Barbastro	No dispone de segunda residencia	7092
08	Cinca Medio	Dispone de segunda residencia	1088
08	Cinca Medio	No dispone de segunda residencia	6673
09	La Litera / La Llitera	Dispone de segunda residencia	866
09	La Litera / La Llitera	No dispone de segunda residencia	5735
10	Los Monegros	Dispone de segunda residencia	1453
10	Los Monegros	No dispone de segunda residencia	5982
11	Bajo Cinca / Baix Cinca	Dispone de segunda residencia	524
11	Bajo Cinca / Baix Cinca	No dispone de segunda residencia	6903
12	Tarazona y el Moncayo	Dispone de segunda residencia	600
12	Tarazona y el Moncayo	No dispone de segunda residencia	4667
13	Campo de Borja	Dispone de segunda residencia	569
13	Campo de Borja	No dispone de segunda residencia	4796
14	Aranda	Dispone de segunda residencia	425
14	Aranda	No dispone de segunda residencia	2471
15	Ribera Alta del Ebro	Dispone de segunda residencia	870
15	Ribera Alta del Ebro	No dispone de segunda residencia	7195
16	Valdejalón	Dispone de segunda residencia	1116
16	Valdejalón	No dispone de segunda residencia	7254
17	D.C. Zaragoza	Dispone de segunda residencia	58203
17	D.C. Zaragoza	No dispone de segunda residencia	183132
18	Ribera Baja del Ebro	Dispone de segunda residencia	533
18	Ribera Baja del Ebro	No dispone de segunda residencia	3184
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Dispone de segunda residencia	485
19	Bajo Aragón-Caspe / Baix Aragó-Casp	No dispone de segunda residencia	4348
20	Comunidad de Calatayud	Dispone de segunda residencia	2154
20	Comunidad de Calatayud	No dispone de segunda residencia	13106
21	Campo de Cariñena	Dispone de segunda residencia	686
21	Campo de Cariñena	No dispone de segunda residencia	3090
22	Campo de Belchite	Dispone de segunda residencia	630
22	Campo de Belchite	No dispone de segunda residencia	1718
23	Bajo Martín	Dispone de segunda residencia	363
23	Bajo Martín	No dispone de segunda residencia	2541
24	Campo de Daroca	Dispone de segunda residencia	722
24	Campo de Daroca	No dispone de segunda residencia	1941
25	Jiloca	Dispone de segunda residencia	956
25	Jiloca	No dispone de segunda residencia	4599
26	Cuencas Mineras	Dispone de segunda residencia	882
26	Cuencas Mineras	No dispone de segunda residencia	2703
27	Andorra-Sierra de Arcos	Dispone de segunda residencia	1099
27	Andorra-Sierra de Arcos	No dispone de segunda residencia	2854
28	Bajo Aragón	Dispone de segunda residencia	1411
28	Bajo Aragón	No dispone de segunda residencia	8102
29	Comunidad de Teruel	Dispone de segunda residencia	2968
29	Comunidad de Teruel	No dispone de segunda residencia	12529
30	Maestrazgo	Dispone de segunda residencia	310
30	Maestrazgo	No dispone de segunda residencia	1193
31	Sierra de Albarracín	Dispone de segunda residencia	516
31	Sierra de Albarracín	No dispone de segunda residencia	1502
32	Gúdar-Javalambre	Dispone de segunda residencia	531
32	Gúdar-Javalambre	No dispone de segunda residencia	2676
33	Matarraña / Matarranya	Dispone de segunda residencia	322
33	Matarraña / Matarranya	No dispone de segunda residencia	3013
