Aragón	CCAA 2ª residencia, código	CCAA 2ª residencia, nombre	Número hogares
Aragón	02	Aragón	61054
Aragón	09	Cataluña	13940
Aragón	10	Comunitat Valenciana	6257
Aragón	07	Castilla y León	3187
Aragón	08	Castilla-La Mancha	1376
Aragón	01	Andalucía	875
Aragón	13	Madrid (Comunidad de)	657
Aragón	15	Navarra (Comunidad Foral de)	655
Aragón	17	Rioja (La)	620
Aragón	16	País Vasco	366
Aragón	12	Galicia	352
Aragón	06	Cantabria	313
Aragón	11	Extremadura	249
Aragón	03	Asturias (Principado de)	175
Aragón	14	Murcia (Región de)	175
Aragón	04	Balears (Illes)	80
Aragón	05	Canarias	39
Aragón	19	Ciudad Autónoma de Melilla	8
Aragón	18	Ciudad Autónoma de Ceuta	1
