Municipio código	Municipio nombre	CCAA 2ª residencia, código	CCAA 2ª residencia, nombre	Número hogares
22001	Abiego	02	Aragón	11
22001	Abiego	09	Cataluña	2
22002	Abizanda	02	Aragón	22
22003	Adahuesca	02	Aragón	6
22003	Adahuesca	01	Andalucía	1
22003	Adahuesca	09	Cataluña	1
22004	Agüero	02	Aragón	10
22006	Aísa	02	Aragón	52
22006	Aísa	15	Navarra (Comunidad Foral de)	2
22006	Aísa	16	País Vasco	2
22006	Aísa	13	Madrid (Comunidad de)	1
22007	Albalate de Cinca	09	Cataluña	8
22007	Albalate de Cinca	02	Aragón	6
22007	Albalate de Cinca	10	Comunitat Valenciana	4
22008	Albalatillo	02	Aragón	15
22008	Albalatillo	09	Cataluña	6
22009	Albelda	02	Aragón	27
22009	Albelda	09	Cataluña	21
22009	Albelda	12	Galicia	1
22011	Albero Alto	02	Aragón	14
22012	Albero Bajo	02	Aragón	2
22013	Alberuela de Tubo	02	Aragón	47
22013	Alberuela de Tubo	10	Comunitat Valenciana	1
22013	Alberuela de Tubo	13	Madrid (Comunidad de)	1
22014	Alcalá de Gurrea	02	Aragón	35
22014	Alcalá de Gurrea	15	Navarra (Comunidad Foral de)	1
22015	Alcalá del Obispo	02	Aragón	25
22016	Alcampell	02	Aragón	13
22016	Alcampell	09	Cataluña	11
22017	Alcolea de Cinca	02	Aragón	14
22017	Alcolea de Cinca	09	Cataluña	12
22017	Alcolea de Cinca	10	Comunitat Valenciana	7
22017	Alcolea de Cinca	01	Andalucía	1
22018	Alcubierre	02	Aragón	28
22018	Alcubierre	09	Cataluña	6
22018	Alcubierre	07	Castilla y León	1
22018	Alcubierre	13	Madrid (Comunidad de)	1
22019	Alerre	02	Aragón	9
22019	Alerre	09	Cataluña	4
22020	Alfántega	02	Aragón	8
22020	Alfántega	09	Cataluña	1
22021	Almudévar	02	Aragón	86
22021	Almudévar	09	Cataluña	6
22021	Almudévar	10	Comunitat Valenciana	1
22021	Almudévar	11	Extremadura	1
22021	Almudévar	15	Navarra (Comunidad Foral de)	1
22021	Almudévar	16	País Vasco	1
22022	Almunia de San Juan	02	Aragón	36
22022	Almunia de San Juan	09	Cataluña	13
22022	Almunia de San Juan	10	Comunitat Valenciana	1
22023	Almuniente	02	Aragón	37
22023	Almuniente	09	Cataluña	5
22023	Almuniente	01	Andalucía	2
22024	Alquézar	02	Aragón	16
22024	Alquézar	09	Cataluña	3
22024	Alquézar	07	Castilla y León	2
22025	Altorricón	09	Cataluña	56
22025	Altorricón	02	Aragón	38
22025	Altorricón	01	Andalucía	2
22025	Altorricón	10	Comunitat Valenciana	2
22025	Altorricón	07	Castilla y León	1
22025	Altorricón	12	Galicia	1
22025	Altorricón	13	Madrid (Comunidad de)	1
22025	Altorricón	16	País Vasco	1
22027	Angüés	02	Aragón	17
22027	Angüés	01	Andalucía	2
22027	Angüés	09	Cataluña	2
22027	Angüés	10	Comunitat Valenciana	2
22027	Angüés	14	Murcia (Región de)	1
22028	Ansó	02	Aragón	44
22028	Ansó	13	Madrid (Comunidad de)	3
22028	Ansó	01	Andalucía	1
22028	Ansó	09	Cataluña	1
22028	Ansó	10	Comunitat Valenciana	1
22028	Ansó	15	Navarra (Comunidad Foral de)	1
22029	Antillón	02	Aragón	7
22032	Aragüés del Puerto	02	Aragón	22
22032	Aragüés del Puerto	09	Cataluña	2
22032	Aragüés del Puerto	10	Comunitat Valenciana	1
22035	Arén	02	Aragón	2
22035	Arén	09	Cataluña	2
22036	Argavieso	02	Aragón	12
22036	Argavieso	09	Cataluña	1
22037	Arguis	02	Aragón	12
22037	Arguis	09	Cataluña	1
22039	Ayerbe	02	Aragón	47
22039	Ayerbe	01	Andalucía	1
22039	Ayerbe	08	Castilla-La Mancha	1
22039	Ayerbe	09	Cataluña	1
22039	Ayerbe	13	Madrid (Comunidad de)	1
22040	Azanuy-Alins	02	Aragón	8
22040	Azanuy-Alins	09	Cataluña	6
22041	Azara	02	Aragón	15
22042	Azlor	02	Aragón	16
22042	Azlor	09	Cataluña	1
22043	Baells	09	Cataluña	17
22043	Baells	02	Aragón	2
22043	Baells	13	Madrid (Comunidad de)	1
22044	Bailo	02	Aragón	16
22044	Bailo	10	Comunitat Valenciana	1
22045	Baldellou	09	Cataluña	11
22045	Baldellou	02	Aragón	5
22046	Ballobar	09	Cataluña	4
22046	Ballobar	13	Madrid (Comunidad de)	2
22046	Ballobar	02	Aragón	1
22046	Ballobar	11	Extremadura	1
22047	Banastás	02	Aragón	10
22047	Banastás	09	Cataluña	2
22048	Barbastro	02	Aragón	526
22048	Barbastro	09	Cataluña	99
22048	Barbastro	10	Comunitat Valenciana	10
22048	Barbastro	07	Castilla y León	9
22048	Barbastro	01	Andalucía	6
22048	Barbastro	12	Galicia	4
22048	Barbastro	13	Madrid (Comunidad de)	3
22048	Barbastro	19	Ciudad Autónoma de Melilla	3
22048	Barbastro	11	Extremadura	2
22048	Barbastro	14	Murcia (Región de)	2
22048	Barbastro	15	Navarra (Comunidad Foral de)	2
22048	Barbastro	03	Asturias (Principado de)	1
22048	Barbastro	17	Rioja (La)	1
22049	Barbués	02	Aragón	6
22050	Barbuñales	02	Aragón	6
22051	Bárcabo	02	Aragón	11
22051	Bárcabo	09	Cataluña	1
22052	Belver de Cinca	09	Cataluña	11
22052	Belver de Cinca	02	Aragón	7
22052	Belver de Cinca	10	Comunitat Valenciana	1
22052	Belver de Cinca	11	Extremadura	1
22053	Benabarre	02	Aragón	29
22053	Benabarre	09	Cataluña	20
22053	Benabarre	13	Madrid (Comunidad de)	2
22054	Benasque	02	Aragón	86
22054	Benasque	09	Cataluña	31
22054	Benasque	13	Madrid (Comunidad de)	14
22054	Benasque	01	Andalucía	3
22054	Benasque	08	Castilla-La Mancha	3
22054	Benasque	12	Galicia	3
22054	Benasque	15	Navarra (Comunidad Foral de)	3
22054	Benasque	07	Castilla y León	2
22054	Benasque	10	Comunitat Valenciana	2
22054	Benasque	14	Murcia (Región de)	2
