Provincia código	Provincia nombre	CCAA 2ª residencia, código	CCAA 2ª residencia, nombre	Número hogares
22	Huesca	02	Aragón	9050
22	Huesca	09	Cataluña	1788
22	Huesca	10	Comunitat Valenciana	207
22	Huesca	13	Madrid (Comunidad de)	146
22	Huesca	01	Andalucía	106
22	Huesca	07	Castilla y León	87
22	Huesca	12	Galicia	56
22	Huesca	15	Navarra (Comunidad Foral de)	55
22	Huesca	16	País Vasco	55
22	Huesca	08	Castilla-La Mancha	50
22	Huesca	11	Extremadura	34
22	Huesca	06	Cantabria	22
22	Huesca	14	Murcia (Región de)	22
22	Huesca	03	Asturias (Principado de)	15
22	Huesca	04	Balears (Illes)	11
22	Huesca	17	Rioja (La)	7
22	Huesca	19	Ciudad Autónoma de Melilla	5
22	Huesca	05	Canarias	4
44	Teruel	02	Aragón	6242
44	Teruel	10	Comunitat Valenciana	1955
44	Teruel	09	Cataluña	722
44	Teruel	08	Castilla-La Mancha	118
44	Teruel	01	Andalucía	91
44	Teruel	13	Madrid (Comunidad de)	68
44	Teruel	07	Castilla y León	62
44	Teruel	12	Galicia	26
44	Teruel	14	Murcia (Región de)	19
44	Teruel	11	Extremadura	11
44	Teruel	15	Navarra (Comunidad Foral de)	9
44	Teruel	03	Asturias (Principado de)	8
44	Teruel	16	País Vasco	8
44	Teruel	04	Balears (Illes)	7
44	Teruel	06	Cantabria	7
44	Teruel	17	Rioja (La)	4
44	Teruel	05	Canarias	1
50	Zaragoza	02	Aragón	45762
50	Zaragoza	09	Cataluña	11430
50	Zaragoza	10	Comunitat Valenciana	4095
50	Zaragoza	07	Castilla y León	3038
50	Zaragoza	08	Castilla-La Mancha	1208
50	Zaragoza	01	Andalucía	678
50	Zaragoza	17	Rioja (La)	609
50	Zaragoza	15	Navarra (Comunidad Foral de)	591
50	Zaragoza	13	Madrid (Comunidad de)	443
50	Zaragoza	16	País Vasco	303
50	Zaragoza	06	Cantabria	284
50	Zaragoza	12	Galicia	270
50	Zaragoza	11	Extremadura	204
50	Zaragoza	03	Asturias (Principado de)	152
50	Zaragoza	14	Murcia (Región de)	134
50	Zaragoza	04	Balears (Illes)	62
50	Zaragoza	05	Canarias	34
50	Zaragoza	19	Ciudad Autónoma de Melilla	3
50	Zaragoza	18	Ciudad Autónoma de Ceuta	1
