Comarca código	Comarca nombre	Vehículos en el hogar	Número hogares
01	La Jacetania	0	1756
01	La Jacetania	1	3016
01	La Jacetania	2	1175
01	La Jacetania	3 o más	283
02	Alto Gállego	0	975
02	Alto Gállego	1	2223
02	Alto Gállego	2	996
02	Alto Gállego	3 o más	206
03	Sobrarbe	0	510
03	Sobrarbe	1	1077
03	Sobrarbe	2	650
03	Sobrarbe	3 o más	218
04	La Ribagorza	0	1146
04	La Ribagorza	1	2020
04	La Ribagorza	2	985
04	La Ribagorza	3 o más	307
05	Cinco Villas	0	3465
05	Cinco Villas	1	5581
05	Cinco Villas	2	2063
05	Cinco Villas	3 o más	479
06	Hoya de Huesca / Plana de Uesca	0	5567
06	Hoya de Huesca / Plana de Uesca	1	10643
06	Hoya de Huesca / Plana de Uesca	2	4604
06	Hoya de Huesca / Plana de Uesca	3 o más	887
07	Somontano de Barbastro	0	2268
07	Somontano de Barbastro	1	3723
07	Somontano de Barbastro	2	1771
07	Somontano de Barbastro	3 o más	460
08	Cinca Medio	0	2006
08	Cinca Medio	1	3623
08	Cinca Medio	2	1742
08	Cinca Medio	3 o más	390
09	La Litera / La Llitera	0	1681
09	La Litera / La Llitera	1	2846
09	La Litera / La Llitera	2	1612
09	La Litera / La Llitera	3 o más	462
10	Los Monegros	0	1924
10	Los Monegros	1	3164
10	Los Monegros	2	1817
10	Los Monegros	3 o más	530
11	Bajo Cinca / Baix Cinca	0	1734
11	Bajo Cinca / Baix Cinca	1	3144
11	Bajo Cinca / Baix Cinca	2	2048
11	Bajo Cinca / Baix Cinca	3 o más	501
12	Tarazona y el Moncayo	0	1816
12	Tarazona y el Moncayo	1	2292
12	Tarazona y el Moncayo	2	971
12	Tarazona y el Moncayo	3 o más	188
13	Campo de Borja	0	1774
13	Campo de Borja	1	2219
13	Campo de Borja	2	1100
13	Campo de Borja	3 o más	272
14	Aranda	0	1079
14	Aranda	1	1291
14	Aranda	2	452
14	Aranda	3 o más	74
15	Ribera Alta del Ebro	0	2343
15	Ribera Alta del Ebro	1	3517
15	Ribera Alta del Ebro	2	1842
15	Ribera Alta del Ebro	3 o más	363
16	Valdejalón	0	2802
16	Valdejalón	1	3696
16	Valdejalón	2	1540
16	Valdejalón	3 o más	332
17	D.C. Zaragoza	0	84447
17	D.C. Zaragoza	1	118656
17	D.C. Zaragoza	2	33222
17	D.C. Zaragoza	3 o más	5010
18	Ribera Baja del Ebro	0	1186
18	Ribera Baja del Ebro	1	1645
18	Ribera Baja del Ebro	2	719
18	Ribera Baja del Ebro	3 o más	167
19	Bajo Aragón-Caspe / Baix Aragó-Casp	0	1598
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	2220
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	811
19	Bajo Aragón-Caspe / Baix Aragó-Casp	3 o más	204
20	Comunidad de Calatayud	0	6542
20	Comunidad de Calatayud	1	6181
20	Comunidad de Calatayud	2	2112
20	Comunidad de Calatayud	3 o más	425
21	Campo de Cariñena	0	1333
21	Campo de Cariñena	1	1554
21	Campo de Cariñena	2	714
21	Campo de Cariñena	3 o más	175
22	Campo de Belchite	0	991
22	Campo de Belchite	1	928
22	Campo de Belchite	2	343
22	Campo de Belchite	3 o más	86
23	Bajo Martín	0	1189
23	Bajo Martín	1	1056
23	Bajo Martín	2	554
23	Bajo Martín	3 o más	105
24	Campo de Daroca	0	1020
24	Campo de Daroca	1	1135
24	Campo de Daroca	2	424
24	Campo de Daroca	3 o más	84
25	Jiloca	0	2246
25	Jiloca	1	2089
25	Jiloca	2	1001
25	Jiloca	3 o más	219
26	Cuencas Mineras	0	1327
26	Cuencas Mineras	1	1518
26	Cuencas Mineras	2	615
26	Cuencas Mineras	3 o más	125
27	Andorra-Sierra de Arcos	0	1168
27	Andorra-Sierra de Arcos	1	1759
27	Andorra-Sierra de Arcos	2	881
27	Andorra-Sierra de Arcos	3 o más	145
28	Bajo Aragón	0	2619
28	Bajo Aragón	1	4305
28	Bajo Aragón	2	2134
28	Bajo Aragón	3 o más	455
29	Comunidad de Teruel	0	4156
29	Comunidad de Teruel	1	6618
29	Comunidad de Teruel	2	3935
29	Comunidad de Teruel	3 o más	788
30	Maestrazgo	0	556
30	Maestrazgo	1	562
30	Maestrazgo	2	289
30	Maestrazgo	3 o más	96
31	Sierra de Albarracín	0	827
31	Sierra de Albarracín	1	815
31	Sierra de Albarracín	2	303
31	Sierra de Albarracín	3 o más	73
32	Gúdar-Javalambre	0	1228
32	Gúdar-Javalambre	1	1265
32	Gúdar-Javalambre	2	555
32	Gúdar-Javalambre	3 o más	159
33	Matarraña / Matarranya	0	1085
33	Matarraña / Matarranya	1	1307
33	Matarraña / Matarranya	2	731
33	Matarraña / Matarranya	3 o más	212
