Año	Residencia comarca código	Residencia comarca nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Sexo	Extranjeros
1998	01	La Jacetania	01	UE-15	110	Francia	Hombres	12
1998	01	La Jacetania	01	UE-15	110	Francia	Mujeres	19
1998	01	La Jacetania	01	UE-15	113	Irlanda	Hombres	1
1998	01	La Jacetania	01	UE-15	115	Italia	Hombres	3
1998	01	La Jacetania	01	UE-15	123	Portugal	Hombres	1
1998	01	La Jacetania	01	UE-15	125	Reino Unido	Hombres	5
1998	01	La Jacetania	01	UE-15	125	Reino Unido	Mujeres	11
1998	01	La Jacetania	01	UE-15	126	Alemania	Hombres	1
1998	01	La Jacetania	01	UE-15	126	Alemania	Mujeres	1
1998	01	La Jacetania	02	Resto de Europa	122	Polonia	Hombres	2
1998	01	La Jacetania	02	Resto de Europa	132	Suiza	Hombres	1
1998	01	La Jacetania	03	Magreb	228	Marruecos	Hombres	5
1998	01	La Jacetania	03	Magreb	228	Marruecos	Mujeres	3
1998	01	La Jacetania	05	América del Norte	301	Canadá	Hombres	1
1998	01	La Jacetania	05	América del Norte	302	Estados Unidos de América	Hombres	1
1998	01	La Jacetania	05	América del Norte	302	Estados Unidos de América	Mujeres	2
1998	01	La Jacetania	06	Resto de América	303	México	Mujeres	1
1998	01	La Jacetania	06	Resto de América	326	República Dominicana	Hombres	3
1998	01	La Jacetania	06	Resto de América	326	República Dominicana	Mujeres	2
1998	01	La Jacetania	06	Resto de América	340	Argentina	Hombres	2
1998	01	La Jacetania	06	Resto de América	340	Argentina	Mujeres	3
1998	01	La Jacetania	06	Resto de América	342	Brasil	Hombres	1
1998	01	La Jacetania	06	Resto de América	343	Colombia	Mujeres	2
1998	01	La Jacetania	06	Resto de América	344	Chile	Hombres	1
1998	01	La Jacetania	06	Resto de América	345	Ecuador	Hombres	2
1998	01	La Jacetania	06	Resto de América	345	Ecuador	Mujeres	3
1998	01	La Jacetania	06	Resto de América	348	Perú	Hombres	2
1998	01	La Jacetania	06	Resto de América	348	Perú	Mujeres	3
1998	01	La Jacetania	06	Resto de América	351	Venezuela	Hombres	1
1998	01	La Jacetania	06	Resto de América	351	Venezuela	Mujeres	2
1998	01	La Jacetania	07	Asia	433	Siria	Hombres	2
1998	02	Alto Gállego	01	UE-15	102	Austria	Hombres	1
1998	02	Alto Gállego	01	UE-15	110	Francia	Hombres	11
1998	02	Alto Gállego	01	UE-15	110	Francia	Mujeres	13
1998	02	Alto Gállego	01	UE-15	113	Irlanda	Hombres	1
1998	02	Alto Gállego	01	UE-15	113	Irlanda	Mujeres	1
1998	02	Alto Gállego	01	UE-15	115	Italia	Mujeres	2
1998	02	Alto Gállego	01	UE-15	121	Países Bajos	Hombres	2
1998	02	Alto Gállego	01	UE-15	121	Países Bajos	Mujeres	2
1998	02	Alto Gállego	01	UE-15	123	Portugal	Mujeres	1
1998	02	Alto Gállego	01	UE-15	125	Reino Unido	Hombres	5
1998	02	Alto Gállego	01	UE-15	125	Reino Unido	Mujeres	5
1998	02	Alto Gállego	01	UE-15	126	Alemania	Mujeres	1
1998	02	Alto Gállego	05	América del Norte	302	Estados Unidos de América	Hombres	1
1998	02	Alto Gállego	06	Resto de América	326	República Dominicana	Mujeres	2
1998	02	Alto Gállego	06	Resto de América	343	Colombia	Hombres	1
1998	02	Alto Gállego	06	Resto de América	348	Perú	Hombres	2
1998	02	Alto Gállego	06	Resto de América	348	Perú	Mujeres	1
1998	02	Alto Gállego	06	Resto de América	351	Venezuela	Mujeres	1
1998	02	Alto Gállego	07	Asia	435	Tailandia	Mujeres	2
1998	02	Alto Gállego	08	Oceanía	501	Australia	Mujeres	3
1998	03	Sobrarbe	01	UE-15	103	Bélgica	Hombres	4
1998	03	Sobrarbe	01	UE-15	103	Bélgica	Mujeres	2
1998	03	Sobrarbe	01	UE-15	110	Francia	Hombres	20
1998	03	Sobrarbe	01	UE-15	110	Francia	Mujeres	20
1998	03	Sobrarbe	01	UE-15	121	Países Bajos	Hombres	3
1998	03	Sobrarbe	01	UE-15	123	Portugal	Hombres	3
1998	03	Sobrarbe	01	UE-15	123	Portugal	Mujeres	1
1998	03	Sobrarbe	01	UE-15	125	Reino Unido	Hombres	1
