Año	Residencia provincia código	Residencia provincia nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Sexo	Extranjeros
1998	22	Huesca	01	UE-15	102	Austria	Hombres	5
1998	22	Huesca	01	UE-15	102	Austria	Mujeres	3
1998	22	Huesca	01	UE-15	103	Bélgica	Hombres	11
1998	22	Huesca	01	UE-15	103	Bélgica	Mujeres	10
1998	22	Huesca	01	UE-15	107	Dinamarca	Hombres	1
1998	22	Huesca	01	UE-15	107	Dinamarca	Mujeres	1
1998	22	Huesca	01	UE-15	110	Francia	Hombres	108
1998	22	Huesca	01	UE-15	110	Francia	Mujeres	148
1998	22	Huesca	01	UE-15	111	Grecia	Hombres	1
1998	22	Huesca	01	UE-15	113	Irlanda	Hombres	5
1998	22	Huesca	01	UE-15	113	Irlanda	Mujeres	2
1998	22	Huesca	01	UE-15	115	Italia	Hombres	15
1998	22	Huesca	01	UE-15	115	Italia	Mujeres	11
1998	22	Huesca	01	UE-15	121	Países Bajos	Hombres	13
1998	22	Huesca	01	UE-15	121	Países Bajos	Mujeres	11
1998	22	Huesca	01	UE-15	123	Portugal	Hombres	26
1998	22	Huesca	01	UE-15	123	Portugal	Mujeres	28
1998	22	Huesca	01	UE-15	125	Reino Unido	Hombres	18
1998	22	Huesca	01	UE-15	125	Reino Unido	Mujeres	27
1998	22	Huesca	01	UE-15	126	Alemania	Hombres	23
1998	22	Huesca	01	UE-15	126	Alemania	Mujeres	19
1998	22	Huesca	02	Resto de Europa	104	Bulgaria	Hombres	4
1998	22	Huesca	02	Resto de Europa	104	Bulgaria	Mujeres	1
1998	22	Huesca	02	Resto de Europa	112	Hungría	Hombres	2
1998	22	Huesca	02	Resto de Europa	114	Islandia	Mujeres	1
1998	22	Huesca	02	Resto de Europa	122	Polonia	Hombres	4
1998	22	Huesca	02	Resto de Europa	122	Polonia	Mujeres	2
1998	22	Huesca	02	Resto de Europa	128	Rumanía	Hombres	2
1998	22	Huesca	02	Resto de Europa	128	Rumanía	Mujeres	1
1998	22	Huesca	02	Resto de Europa	132	Suiza	Hombres	8
1998	22	Huesca	02	Resto de Europa	132	Suiza	Mujeres	6
1998	22	Huesca	02	Resto de Europa	154	Rusia	Mujeres	2
1998	22	Huesca	02	Resto de Europa	199	Países sin relaciones diplomáticas	Hombres	1
1998	22	Huesca	02	Resto de Europa	199	Países sin relaciones diplomáticas	Mujeres	1
1998	22	Huesca	03	Magreb	203	Argelia	Hombres	55
1998	22	Huesca	03	Magreb	203	Argelia	Mujeres	8
1998	22	Huesca	03	Magreb	224	Libia	Hombres	1
1998	22	Huesca	03	Magreb	228	Marruecos	Hombres	124
1998	22	Huesca	03	Magreb	228	Marruecos	Mujeres	47
1998	22	Huesca	03	Magreb	230	Mauritania	Hombres	1
1998	22	Huesca	03	Magreb	248	Túnez	Hombres	3
1998	22	Huesca	04	Resto de África	207	Cabo Verde	Hombres	2
1998	22	Huesca	04	Resto de África	207	Cabo Verde	Mujeres	1
