Año	Residencia CCAA nombre	Nacimiento provincia código	Provincia de nacimiento	Edad (grandes grupos)	Sexo	Personas
1998	Aragón	00	Nacidos en el extranjero	0 a 15	Hombres	717
1998	Aragón	00	Nacidos en el extranjero	0 a 15	Mujeres	677
1998	Aragón	00	Nacidos en el extranjero	16 a 64	Hombres	7083
1998	Aragón	00	Nacidos en el extranjero	16 a 64	Mujeres	6566
1998	Aragón	00	Nacidos en el extranjero	65 y más	Hombres	654
1998	Aragón	00	Nacidos en el extranjero	65 y más	Mujeres	855
1998	Aragón	01	Araba/Álava	0 a 15	Hombres	40
1998	Aragón	01	Araba/Álava	0 a 15	Mujeres	42
1998	Aragón	01	Araba/Álava	16 a 64	Hombres	328
1998	Aragón	01	Araba/Álava	16 a 64	Mujeres	335
1998	Aragón	01	Araba/Álava	65 y más	Hombres	90
1998	Aragón	01	Araba/Álava	65 y más	Mujeres	132
1998	Aragón	02	Albacete	0 a 15	Hombres	44
1998	Aragón	02	Albacete	0 a 15	Mujeres	28
1998	Aragón	02	Albacete	16 a 64	Hombres	656
1998	Aragón	02	Albacete	16 a 64	Mujeres	637
1998	Aragón	02	Albacete	65 y más	Hombres	191
1998	Aragón	02	Albacete	65 y más	Mujeres	193
1998	Aragón	03	Alicante/Alacant	0 a 15	Hombres	72
1998	Aragón	03	Alicante/Alacant	0 a 15	Mujeres	81
1998	Aragón	03	Alicante/Alacant	16 a 64	Hombres	453
1998	Aragón	03	Alicante/Alacant	16 a 64	Mujeres	440
1998	Aragón	03	Alicante/Alacant	65 y más	Hombres	110
1998	Aragón	03	Alicante/Alacant	65 y más	Mujeres	132
1998	Aragón	04	Almería	0 a 15	Hombres	21
1998	Aragón	04	Almería	0 a 15	Mujeres	21
1998	Aragón	04	Almería	16 a 64	Hombres	553
1998	Aragón	04	Almería	16 a 64	Mujeres	541
1998	Aragón	04	Almería	65 y más	Hombres	249
1998	Aragón	04	Almería	65 y más	Mujeres	318
1998	Aragón	05	Ávila	0 a 15	Hombres	16
1998	Aragón	05	Ávila	0 a 15	Mujeres	21
1998	Aragón	05	Ávila	16 a 64	Hombres	437
1998	Aragón	05	Ávila	16 a 64	Mujeres	398
1998	Aragón	05	Ávila	65 y más	Hombres	143
1998	Aragón	05	Ávila	65 y más	Mujeres	166
1998	Aragón	06	Badajoz	0 a 15	Hombres	59
1998	Aragón	06	Badajoz	0 a 15	Mujeres	49
1998	Aragón	06	Badajoz	16 a 64	Hombres	2193
1998	Aragón	06	Badajoz	16 a 64	Mujeres	2145
1998	Aragón	06	Badajoz	65 y más	Hombres	504
1998	Aragón	06	Badajoz	65 y más	Mujeres	619
1998	Aragón	07	Balears (Illes)	0 a 15	Hombres	78
1998	Aragón	07	Balears (Illes)	0 a 15	Mujeres	71
1998	Aragón	07	Balears (Illes)	16 a 64	Hombres	281
1998	Aragón	07	Balears (Illes)	16 a 64	Mujeres	293
1998	Aragón	07	Balears (Illes)	65 y más	Hombres	34
1998	Aragón	07	Balears (Illes)	65 y más	Mujeres	59
1998	Aragón	08	Barcelona	0 a 15	Hombres	906
1998	Aragón	08	Barcelona	0 a 15	Mujeres	833
1998	Aragón	08	Barcelona	16 a 64	Hombres	6392
1998	Aragón	08	Barcelona	16 a 64	Mujeres	6753
1998	Aragón	08	Barcelona	65 y más	Hombres	1041
1998	Aragón	08	Barcelona	65 y más	Mujeres	1392
1998	Aragón	09	Burgos	0 a 15	Hombres	68
1998	Aragón	09	Burgos	0 a 15	Mujeres	55
1998	Aragón	09	Burgos	16 a 64	Hombres	1505
1998	Aragón	09	Burgos	16 a 64	Mujeres	1638
1998	Aragón	09	Burgos	65 y más	Hombres	466
1998	Aragón	09	Burgos	65 y más	Mujeres	680
1998	Aragón	10	Cáceres	0 a 15	Hombres	34
1998	Aragón	10	Cáceres	0 a 15	Mujeres	45
1998	Aragón	10	Cáceres	16 a 64	Hombres	1178
1998	Aragón	10	Cáceres	16 a 64	Mujeres	1041
1998	Aragón	10	Cáceres	65 y más	Hombres	235
1998	Aragón	10	Cáceres	65 y más	Mujeres	268
1998	Aragón	11	Cádiz	0 a 15	Hombres	71
1998	Aragón	11	Cádiz	0 a 15	Mujeres	66
1998	Aragón	11	Cádiz	16 a 64	Hombres	1011
1998	Aragón	11	Cádiz	16 a 64	Mujeres	950
1998	Aragón	11	Cádiz	65 y más	Hombres	177
1998	Aragón	11	Cádiz	65 y más	Mujeres	206
1998	Aragón	12	Castellón/Castelló	0 a 15	Hombres	92
1998	Aragón	12	Castellón/Castelló	0 a 15	Mujeres	87
1998	Aragón	12	Castellón/Castelló	16 a 64	Hombres	802
1998	Aragón	12	Castellón/Castelló	16 a 64	Mujeres	853
1998	Aragón	12	Castellón/Castelló	65 y más	Hombres	356
1998	Aragón	12	Castellón/Castelló	65 y más	Mujeres	429
1998	Aragón	13	Ciudad Real	0 a 15	Hombres	37
1998	Aragón	13	Ciudad Real	0 a 15	Mujeres	53
1998	Aragón	13	Ciudad Real	16 a 64	Hombres	1374
1998	Aragón	13	Ciudad Real	16 a 64	Mujeres	1307
1998	Aragón	13	Ciudad Real	65 y más	Hombres	432
1998	Aragón	13	Ciudad Real	65 y más	Mujeres	533
