Aragón	Ocupacion (1 dígito) código	Ocupación (1 dígito) descripción	Sexo	Personas residentes viviendas familiares
Aragón	0	Fuerzas armadas	Mujeres	556
Aragón	0	Fuerzas armadas	Varones	4644
Aragón	1	Dirección de las empresas y de las administraciones públicas	Mujeres	13149
Aragón	1	Dirección de las empresas y de las administraciones públicas	Varones	27332
Aragón	2	Técnicos y profesionales científicos e intelectuales	Mujeres	30898
Aragón	2	Técnicos y profesionales científicos e intelectuales	Varones	28689
Aragón	3	Técnicos y profesionales de apoyo	Mujeres	22584
Aragón	3	Técnicos y profesionales de apoyo	Varones	29827
Aragón	4	Empleados de tipo administrativo	Mujeres	26560
Aragón	4	Empleados de tipo administrativo	Varones	18216
Aragón	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	42939
Aragón	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Varones	22831
Aragón	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	3145
Aragón	6	Trabajadores cualificados en la agricultura y en la pesca	Varones	24405
Aragón	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	8853
Aragón	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Varones	74188
Aragón	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	13302
Aragón	8	Operadores de instalaciones y maquinaria, y montadores	Varones	54079
Aragón	9	Trabajadores no cualificados	Mujeres	23115
Aragón	9	Trabajadores no cualificados	Varones	26457
