Provincia código	Provincia nombre	Ocupacion (1 dígito) código	Ocupación (1 dígito) descripción	Sexo	Personas residentes viviendas familiares
22	Huesca	0	Fuerzas armadas	Hombres	649
22	Huesca	0	Fuerzas armadas	Mujeres	73
22	Huesca	1	Dirección de las empresas y de las administraciones públicas	Hombres	4940
22	Huesca	1	Dirección de las empresas y de las administraciones públicas	Mujeres	2659
22	Huesca	2	Técnicos y profesionales científicos e intelectuales	Hombres	4115
22	Huesca	2	Técnicos y profesionales científicos e intelectuales	Mujeres	5202
22	Huesca	3	Técnicos y profesionales de apoyo	Hombres	4384
22	Huesca	3	Técnicos y profesionales de apoyo	Mujeres	3286
22	Huesca	4	Empleados de tipo administrativo	Hombres	2756
22	Huesca	4	Empleados de tipo administrativo	Mujeres	4249
22	Huesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	3511
22	Huesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	7327
22	Huesca	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	8337
22	Huesca	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	803
22	Huesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	13118
22	Huesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	1138
22	Huesca	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	7324
22	Huesca	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	1756
22	Huesca	9	Trabajadores no cualificados	Hombres	5109
22	Huesca	9	Trabajadores no cualificados	Mujeres	3586
44	Teruel	0	Fuerzas armadas	Hombres	100
44	Teruel	0	Fuerzas armadas	Mujeres	36
44	Teruel	1	Dirección de las empresas y de las administraciones públicas	Hombres	2476
44	Teruel	1	Dirección de las empresas y de las administraciones públicas	Mujeres	1289
44	Teruel	2	Técnicos y profesionales científicos e intelectuales	Hombres	2255
44	Teruel	2	Técnicos y profesionales científicos e intelectuales	Mujeres	2699
44	Teruel	3	Técnicos y profesionales de apoyo	Hombres	2245
44	Teruel	3	Técnicos y profesionales de apoyo	Mujeres	1553
44	Teruel	4	Empleados de tipo administrativo	Hombres	1561
44	Teruel	4	Empleados de tipo administrativo	Mujeres	2160
44	Teruel	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	2063
44	Teruel	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	4360
44	Teruel	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	5226
44	Teruel	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	1172
44	Teruel	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	8481
44	Teruel	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	1022
44	Teruel	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	5644
44	Teruel	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	1269
44	Teruel	9	Trabajadores no cualificados	Hombres	2860
44	Teruel	9	Trabajadores no cualificados	Mujeres	2153
50	Zaragoza	0	Fuerzas armadas	Hombres	3895
50	Zaragoza	0	Fuerzas armadas	Mujeres	447
50	Zaragoza	1	Dirección de las empresas y de las administraciones públicas	Hombres	19916
50	Zaragoza	1	Dirección de las empresas y de las administraciones públicas	Mujeres	9201
50	Zaragoza	2	Técnicos y profesionales científicos e intelectuales	Hombres	22319
50	Zaragoza	2	Técnicos y profesionales científicos e intelectuales	Mujeres	22997
50	Zaragoza	3	Técnicos y profesionales de apoyo	Hombres	23198
50	Zaragoza	3	Técnicos y profesionales de apoyo	Mujeres	17745
50	Zaragoza	4	Empleados de tipo administrativo	Hombres	13899
50	Zaragoza	4	Empleados de tipo administrativo	Mujeres	20151
50	Zaragoza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	17257
50	Zaragoza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	31252
50	Zaragoza	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	10842
50	Zaragoza	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	1170
50	Zaragoza	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	52589
50	Zaragoza	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	6693
50	Zaragoza	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	41111
50	Zaragoza	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	10277
50	Zaragoza	9	Trabajadores no cualificados	Hombres	18488
50	Zaragoza	9	Trabajadores no cualificados	Mujeres	17376
