Provincia residencia código	Provincia residencia nombre	Municipio estudio, código	Municipio estudio, nombre	Personas residentes viviendas familiares
22	Huesca	50297	Zaragoza	2958
22	Huesca	25120	Lleida	687
22	Huesca	08019	Barcelona	532
22	Huesca	28079	Madrid	204
22	Huesca	31201	Pamplona/Iruña	167
22	Huesca	50025	Almunia de Doña Godina (La)	109
22	Huesca	37274	Salamanca	69
22	Huesca	44216	Teruel	50
22	Huesca	46250	Valencia	47
22	Huesca	40194	Segovia	28
22	Huesca	43148	Tarragona	28
44	Teruel	50297	Zaragoza	1975
44	Teruel	46250	Valencia	392
44	Teruel	22125	Huesca	127
44	Teruel	28079	Madrid	91
44	Teruel	12040	Castellón de la Plana/Castelló de la Plana	74
44	Teruel	50025	Almunia de Doña Godina (La)	74
44	Teruel	08019	Barcelona	59
44	Teruel	31201	Pamplona/Iruña	23
44	Teruel	25120	Lleida	22
44	Teruel	43148	Tarragona	15
44	Teruel	50074	Caspe	15
50	Zaragoza	22125	Huesca	898
50	Zaragoza	28079	Madrid	624
50	Zaragoza	31201	Pamplona/Iruña	314
50	Zaragoza	08019	Barcelona	222
50	Zaragoza	44216	Teruel	181
50	Zaragoza	46250	Valencia	180
50	Zaragoza	37274	Salamanca	98
50	Zaragoza	25120	Lleida	95
50	Zaragoza	42173	Soria	63
50	Zaragoza	31232	Tudela	47
