Año	Inscripción provincia código	Inscripción provincia nombre	Edad (grandes grupos)	Sexo	Personas
2009	22	Huesca	0-15	Hombre	251
2009	22	Huesca	0-15	Mujer	258
2009	22	Huesca	16-64	Hombre	1225
2009	22	Huesca	16-64	Mujer	1312
2009	22	Huesca	65 y más	Hombre	950
2009	22	Huesca	65 y más	Mujer	1038
2009	44	Teruel	0-15	Hombre	152
2009	44	Teruel	0-15	Mujer	144
2009	44	Teruel	16-64	Hombre	887
2009	44	Teruel	16-64	Mujer	902
2009	44	Teruel	65 y más	Hombre	738
2009	44	Teruel	65 y más	Mujer	789
2009	50	Zaragoza	0-15	Hombre	1357
2009	50	Zaragoza	0-15	Mujer	1191
2009	50	Zaragoza	16-64	Hombre	4643
2009	50	Zaragoza	16-64	Mujer	5294
2009	50	Zaragoza	65 y más	Hombre	1765
2009	50	Zaragoza	65 y más	Mujer	2218
2010	22	Huesca	0-15	Hombre	285
2010	22	Huesca	0-15	Mujer	306
2010	22	Huesca	16-64	Hombre	1349
2010	22	Huesca	16-64	Mujer	1431
2010	22	Huesca	65 y más	Hombre	977
2010	22	Huesca	65 y más	Mujer	1049
2010	44	Teruel	0-15	Hombre	154
2010	44	Teruel	0-15	Mujer	158
2010	44	Teruel	16-64	Hombre	957
2010	44	Teruel	16-64	Mujer	952
2010	44	Teruel	65 y más	Hombre	766
2010	44	Teruel	65 y más	Mujer	803
2010	50	Zaragoza	0-15	Hombre	1516
2010	50	Zaragoza	0-15	Mujer	1356
2010	50	Zaragoza	16-64	Hombre	4984
2010	50	Zaragoza	16-64	Mujer	5666
2010	50	Zaragoza	65 y más	Hombre	1812
2010	50	Zaragoza	65 y más	Mujer	2272
2011	22	Huesca	0-15	Hombre	331
2011	22	Huesca	0-15	Mujer	328
2011	22	Huesca	16-64	Hombre	1523
2011	22	Huesca	16-64	Mujer	1601
2011	22	Huesca	65 y más	Hombre	1008
2011	22	Huesca	65 y más	Mujer	1078
2011	44	Teruel	0-15	Hombre	164
2011	44	Teruel	0-15	Mujer	179
2011	44	Teruel	16-64	Hombre	1079
2011	44	Teruel	16-64	Mujer	1072
2011	44	Teruel	65 y más	Hombre	786
2011	44	Teruel	65 y más	Mujer	828
2011	50	Zaragoza	0-15	Hombre	1588
2011	50	Zaragoza	0-15	Mujer	1501
2011	50	Zaragoza	16-64	Hombre	5512
2011	50	Zaragoza	16-64	Mujer	6139
2011	50	Zaragoza	65 y más	Hombre	1887
2011	50	Zaragoza	65 y más	Mujer	2334
2012	22	Huesca	0-15	Hombre	373
2012	22	Huesca	0-15	Mujer	371
2012	22	Huesca	16-64	Hombre	1705
2012	22	Huesca	16-64	Mujer	1793
2012	22	Huesca	65 y más	Hombre	1024
2012	22	Huesca	65 y más	Mujer	1105
2012	44	Teruel	0-15	Hombre	170
2012	44	Teruel	0-15	Mujer	186
2012	44	Teruel	16-64	Hombre	1182
2012	44	Teruel	16-64	Mujer	1159
2012	44	Teruel	65 y más	Hombre	793
2012	44	Teruel	65 y más	Mujer	853
2012	50	Zaragoza	0-15	Hombre	1753
2012	50	Zaragoza	0-15	Mujer	1665
2012	50	Zaragoza	16-64	Hombre	5985
2012	50	Zaragoza	16-64	Mujer	6603
2012	50	Zaragoza	65 y más	Hombre	1948
2012	50	Zaragoza	65 y más	Mujer	2426
2013	22	Huesca	0-15	Hombre	434
2013	22	Huesca	0-15	Mujer	417
2013	22	Huesca	16-64	Hombre	1848
2013	22	Huesca	16-64	Mujer	1960
2013	22	Huesca	65 y más	Hombre	1045
2013	22	Huesca	65 y más	Mujer	1137
2013	44	Teruel	0-15	Hombre	176
2013	44	Teruel	0-15	Mujer	199
2013	44	Teruel	16-64	Hombre	1260
2013	44	Teruel	16-64	Mujer	1239
2013	44	Teruel	65 y más	Hombre	805
2013	44	Teruel	65 y más	Mujer	870
2013	50	Zaragoza	0-15	Hombre	1930
2013	50	Zaragoza	0-15	Mujer	1859
2013	50	Zaragoza	16-64	Hombre	6434
2013	50	Zaragoza	16-64	Mujer	7122
2013	50	Zaragoza	65 y más	Hombre	2035
2013	50	Zaragoza	65 y más	Mujer	2512
2014	22	Huesca	0-15	Hombre	481
2014	22	Huesca	0-15	Mujer	460
2014	22	Huesca	16-64	Hombre	2011
2014	22	Huesca	16-64	Mujer	2083
2014	22	Huesca	65 y más	Hombre	1050
2014	22	Huesca	65 y más	Mujer	1172
2014	44	Teruel	0-15	Hombre	210
2014	44	Teruel	0-15	Mujer	222
2014	44	Teruel	16-64	Hombre	1325
2014	44	Teruel	16-64	Mujer	1287
2014	44	Teruel	65 y más	Hombre	825
2014	44	Teruel	65 y más	Mujer	893
2014	50	Zaragoza	0-15	Hombre	2116
2014	50	Zaragoza	0-15	Mujer	2040
2014	50	Zaragoza	16-64	Hombre	6936
2014	50	Zaragoza	16-64	Mujer	7637
2014	50	Zaragoza	65 y más	Hombre	2096
2014	50	Zaragoza	65 y más	Mujer	2583
2015	22	Huesca	0-15	Hombre	582
2015	22	Huesca	0-15	Mujer	495
2015	22	Huesca	16-64	Hombre	2155
2015	22	Huesca	16-64	Mujer	2237
2015	22	Huesca	65 y más	Hombre	1064
2015	22	Huesca	65 y más	Mujer	1201
2015	44	Teruel	0-15	Hombre	230
2015	44	Teruel	0-15	Mujer	218
2015	44	Teruel	16-64	Hombre	1400
2015	44	Teruel	16-64	Mujer	1361
2015	44	Teruel	65 y más	Hombre	844
2015	44	Teruel	65 y más	Mujer	921
2015	50	Zaragoza	0-15	Hombre	2337
2015	50	Zaragoza	0-15	Mujer	2243
2015	50	Zaragoza	16-64	Hombre	7471
2015	50	Zaragoza	16-64	Mujer	8051
2015	50	Zaragoza	65 y más	Hombre	2156
2015	50	Zaragoza	65 y más	Mujer	2663
2016	22	Huesca	0-15	Hombre	650
2016	22	Huesca	0-15	Mujer	567
2016	22	Huesca	16-64	Hombre	2332
2016	22	Huesca	16-64	Mujer	2370
2016	22	Huesca	65 y más	Hombre	1063
2016	22	Huesca	65 y más	Mujer	1202
2016	44	Teruel	0-15	Hombre	244
2016	44	Teruel	0-15	Mujer	255
2016	44	Teruel	16-64	Hombre	1483
2016	44	Teruel	16-64	Mujer	1398
2016	44	Teruel	65 y más	Hombre	839
2016	44	Teruel	65 y más	Mujer	922
2016	50	Zaragoza	0-15	Hombre	2517
2016	50	Zaragoza	0-15	Mujer	2420
2016	50	Zaragoza	16-64	Hombre	8038
2016	50	Zaragoza	16-64	Mujer	8565
2016	50	Zaragoza	65 y más	Hombre	2205
2016	50	Zaragoza	65 y más	Mujer	2726
2017	22	Huesca	0-15	Hombre	707
2017	22	Huesca	0-15	Mujer	624
2017	22	Huesca	16-64	Hombre	2488
2017	22	Huesca	16-64	Mujer	2479
2017	22	Huesca	65 y más	Hombre	1079
2017	22	Huesca	65 y más	Mujer	1232
2017	44	Teruel	0-15	Hombre	268
2017	44	Teruel	0-15	Mujer	286
2017	44	Teruel	16-64	Hombre	1537
2017	44	Teruel	16-64	Mujer	1438
2017	44	Teruel	65 y más	Hombre	829
2017	44	Teruel	65 y más	Mujer	934
2017	50	Zaragoza	0-15	Hombre	2744
2017	50	Zaragoza	0-15	Mujer	2586
2017	50	Zaragoza	16-64	Hombre	8583
2017	50	Zaragoza	16-64	Mujer	9047
2017	50	Zaragoza	65 y más	Hombre	2274
2017	50	Zaragoza	65 y más	Mujer	2790
2018	22	Huesca	0-15	Hombre	798
2018	22	Huesca	0-15	Mujer	683
2018	22	Huesca	16-64	Hombre	2573
2018	22	Huesca	16-64	Mujer	2547
2018	22	Huesca	65 y más	Hombre	1096
2018	22	Huesca	65 y más	Mujer	1256
2018	44	Teruel	0-15	Hombre	282
2018	44	Teruel	0-15	Mujer	289
2018	44	Teruel	16-64	Hombre	1570
2018	44	Teruel	16-64	Mujer	1476
2018	44	Teruel	65 y más	Hombre	837
2018	44	Teruel	65 y más	Mujer	945
2018	50	Zaragoza	0-15	Hombre	2941
2018	50	Zaragoza	0-15	Mujer	2773
2018	50	Zaragoza	16-64	Hombre	9000
2018	50	Zaragoza	16-64	Mujer	9398
2018	50	Zaragoza	65 y más	Hombre	2323
2018	50	Zaragoza	65 y más	Mujer	2882
2019	22	Huesca	0-15	Hombre	858
2019	22	Huesca	0-15	Mujer	745
2019	22	Huesca	16-64	Hombre	2641
2019	22	Huesca	16-64	Mujer	2586
2019	22	Huesca	65 y más	Hombre	1144
2019	22	Huesca	65 y más	Mujer	1283
2019	44	Teruel	0-15	Hombre	303
2019	44	Teruel	0-15	Mujer	308
2019	44	Teruel	16-64	Hombre	1590
2019	44	Teruel	16-64	Mujer	1520
