Año	Inscripción comarca código	Inscripción comarca nombre	Edad (grandes grupos)	Sexo	Personas
2009	01	La Jacetania	0-15	Hombre	44
2009	01	La Jacetania	0-15	Mujer	44
2009	01	La Jacetania	16-64	Hombre	176
2009	01	La Jacetania	16-64	Mujer	220
2009	01	La Jacetania	65 y más	Hombre	144
2009	01	La Jacetania	65 y más	Mujer	190
2009	02	Alto Gállego	0-15	Hombre	14
2009	02	Alto Gállego	0-15	Mujer	13
2009	02	Alto Gállego	16-64	Hombre	68
2009	02	Alto Gállego	16-64	Mujer	74
2009	02	Alto Gállego	65 y más	Hombre	48
2009	02	Alto Gállego	65 y más	Mujer	45
2009	03	Sobrarbe	0-15	Hombre	13
2009	03	Sobrarbe	0-15	Mujer	22
2009	03	Sobrarbe	16-64	Hombre	118
2009	03	Sobrarbe	16-64	Mujer	95
2009	03	Sobrarbe	65 y más	Hombre	111
2009	03	Sobrarbe	65 y más	Mujer	133
2009	04	La Ribagorza	0-15	Hombre	17
2009	04	La Ribagorza	0-15	Mujer	20
2009	04	La Ribagorza	16-64	Hombre	111
2009	04	La Ribagorza	16-64	Mujer	120
2009	04	La Ribagorza	65 y más	Hombre	93
2009	04	La Ribagorza	65 y más	Mujer	98
2009	05	Cinco Villas	0-15	Hombre	42
2009	05	Cinco Villas	0-15	Mujer	31
2009	05	Cinco Villas	16-64	Hombre	192
2009	05	Cinco Villas	16-64	Mujer	268
2009	05	Cinco Villas	65 y más	Hombre	166
2009	05	Cinco Villas	65 y más	Mujer	185
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	86
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	89
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	366
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Mujer	341
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Hombre	212
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujer	243
2009	07	Somontano de Barbastro	0-15	Hombre	38
2009	07	Somontano de Barbastro	0-15	Mujer	23
2009	07	Somontano de Barbastro	16-64	Hombre	128
2009	07	Somontano de Barbastro	16-64	Mujer	155
2009	07	Somontano de Barbastro	65 y más	Hombre	120
2009	07	Somontano de Barbastro	65 y más	Mujer	113
2009	08	Cinca Medio	0-15	Hombre	24
2009	08	Cinca Medio	0-15	Mujer	21
2009	08	Cinca Medio	16-64	Hombre	84
2009	08	Cinca Medio	16-64	Mujer	85
2009	08	Cinca Medio	65 y más	Hombre	65
2009	08	Cinca Medio	65 y más	Mujer	69
2009	09	La Litera / La Llitera	0-15	Hombre	8
2009	09	La Litera / La Llitera	0-15	Mujer	13
2009	09	La Litera / La Llitera	16-64	Hombre	85
2009	09	La Litera / La Llitera	16-64	Mujer	78
2009	09	La Litera / La Llitera	65 y más	Hombre	83
2009	09	La Litera / La Llitera	65 y más	Mujer	69
2009	10	Los Monegros	0-15	Hombre	13
2009	10	Los Monegros	0-15	Mujer	14
2009	10	Los Monegros	16-64	Hombre	90
2009	10	Los Monegros	16-64	Mujer	125
2009	10	Los Monegros	65 y más	Hombre	85
2009	10	Los Monegros	65 y más	Mujer	98
2009	11	Bajo Cinca / Baix Cinca	0-15	Hombre	12
2009	11	Bajo Cinca / Baix Cinca	0-15	Mujer	12
2009	11	Bajo Cinca / Baix Cinca	16-64	Hombre	86
2009	11	Bajo Cinca / Baix Cinca	16-64	Mujer	102
2009	11	Bajo Cinca / Baix Cinca	65 y más	Hombre	68
2009	11	Bajo Cinca / Baix Cinca	65 y más	Mujer	69
2009	12	Tarazona y el Moncayo	0-15	Hombre	11
2009	12	Tarazona y el Moncayo	0-15	Mujer	13
2009	12	Tarazona y el Moncayo	16-64	Hombre	62
2009	12	Tarazona y el Moncayo	16-64	Mujer	63
2009	12	Tarazona y el Moncayo	65 y más	Hombre	39
2009	12	Tarazona y el Moncayo	65 y más	Mujer	48
2009	13	Campo de Borja	0-15	Hombre	13
2009	13	Campo de Borja	0-15	Mujer	5
2009	13	Campo de Borja	16-64	Hombre	81
2009	13	Campo de Borja	16-64	Mujer	70
2009	13	Campo de Borja	65 y más	Hombre	33
2009	13	Campo de Borja	65 y más	Mujer	57
2009	14	Aranda	0-15	Hombre	2
2009	14	Aranda	0-15	Mujer	4
2009	14	Aranda	16-64	Hombre	17
2009	14	Aranda	16-64	Mujer	17
2009	14	Aranda	65 y más	Hombre	9
2009	14	Aranda	65 y más	Mujer	19
2009	15	Ribera Alta del Ebro	0-15	Hombre	17
2009	15	Ribera Alta del Ebro	0-15	Mujer	6
2009	15	Ribera Alta del Ebro	16-64	Hombre	73
2009	15	Ribera Alta del Ebro	16-64	Mujer	65
2009	15	Ribera Alta del Ebro	65 y más	Hombre	51
2009	15	Ribera Alta del Ebro	65 y más	Mujer	54
2009	16	Valdejalón	0-15	Hombre	17
2009	16	Valdejalón	0-15	Mujer	14
2009	16	Valdejalón	16-64	Hombre	59
2009	16	Valdejalón	16-64	Mujer	62
2009	16	Valdejalón	65 y más	Hombre	42
2009	16	Valdejalón	65 y más	Mujer	53
2009	17	Central	0-15	Hombre	1159
2009	17	Central	0-15	Mujer	1027
2009	17	Central	16-64	Hombre	3661
2009	17	Central	16-64	Mujer	4251
2009	17	Central	65 y más	Hombre	1028
2009	17	Central	65 y más	Mujer	1330
2009	18	Ribera Baja del Ebro	0-15	Hombre	9
2009	18	Ribera Baja del Ebro	0-15	Mujer	6
2009	18	Ribera Baja del Ebro	16-64	Hombre	61
2009	18	Ribera Baja del Ebro	16-64	Mujer	46
2009	18	Ribera Baja del Ebro	65 y más	Hombre	58
2009	18	Ribera Baja del Ebro	65 y más	Mujer	62
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0-15	Hombre	9
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0-15	Mujer	12
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16-64	Hombre	56
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16-64	Mujer	47
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 y más	Hombre	43
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 y más	Mujer	57
2009	20	Comunidad de Calatayud	0-15	Hombre	40
2009	20	Comunidad de Calatayud	0-15	Mujer	49
2009	20	Comunidad de Calatayud	16-64	Hombre	194
2009	20	Comunidad de Calatayud	16-64	Mujer	178
2009	20	Comunidad de Calatayud	65 y más	Hombre	99
2009	20	Comunidad de Calatayud	65 y más	Mujer	148
2009	21	Campo de Cariñena	0-15	Hombre	3
2009	21	Campo de Cariñena	0-15	Mujer	4
2009	21	Campo de Cariñena	16-64	Hombre	35
2009	21	Campo de Cariñena	16-64	Mujer	47
2009	21	Campo de Cariñena	65 y más	Hombre	33
2009	21	Campo de Cariñena	65 y más	Mujer	42
2009	22	Campo de Belchite	0-15	Hombre	9
2009	22	Campo de Belchite	0-15	Mujer	5
2009	22	Campo de Belchite	16-64	Hombre	29
2009	22	Campo de Belchite	16-64	Mujer	51
2009	22	Campo de Belchite	65 y más	Hombre	51
2009	22	Campo de Belchite	65 y más	Mujer	42
2009	23	Bajo Martín	0-15	Hombre	2
2009	23	Bajo Martín	0-15	Mujer	7
2009	23	Bajo Martín	16-64	Hombre	27
2009	23	Bajo Martín	16-64	Mujer	29
2009	23	Bajo Martín	65 y más	Hombre	43
2009	23	Bajo Martín	65 y más	Mujer	39
2009	24	Campo de Daroca	0-15	Hombre	8
2009	24	Campo de Daroca	0-15	Mujer	2
2009	24	Campo de Daroca	16-64	Hombre	36
2009	24	Campo de Daroca	16-64	Mujer	46
2009	24	Campo de Daroca	65 y más	Hombre	34
2009	24	Campo de Daroca	65 y más	Mujer	32
2009	25	Jiloca	0-15	Hombre	11
2009	25	Jiloca	0-15	Mujer	9
2009	25	Jiloca	16-64	Hombre	60
2009	25	Jiloca	16-64	Mujer	67
2009	25	Jiloca	65 y más	Hombre	60
2009	25	Jiloca	65 y más	Mujer	47
2009	26	Cuencas Mineras	0-15	Hombre	8
2009	26	Cuencas Mineras	0-15	Mujer	11
2009	26	Cuencas Mineras	16-64	Hombre	87
2009	26	Cuencas Mineras	16-64	Mujer	74
2009	26	Cuencas Mineras	65 y más	Hombre	66
2009	26	Cuencas Mineras	65 y más	Mujer	78
2009	27	Andorra-Sierra de Arcos	0-15	Hombre	11
2009	27	Andorra-Sierra de Arcos	0-15	Mujer	10
2009	27	Andorra-Sierra de Arcos	16-64	Hombre	72
2009	27	Andorra-Sierra de Arcos	16-64	Mujer	76
2009	27	Andorra-Sierra de Arcos	65 y más	Hombre	38
2009	27	Andorra-Sierra de Arcos	65 y más	Mujer	47
2009	28	Bajo Aragón	0-15	Hombre	20
2009	28	Bajo Aragón	0-15	Mujer	18
2009	28	Bajo Aragón	16-64	Hombre	126
2009	28	Bajo Aragón	16-64	Mujer	161
2009	28	Bajo Aragón	65 y más	Hombre	131
2009	28	Bajo Aragón	65 y más	Mujer	163
2009	29	Comunidad de Teruel	0-15	Hombre	81
2009	29	Comunidad de Teruel	0-15	Mujer	63
2009	29	Comunidad de Teruel	16-64	Hombre	338
2009	29	Comunidad de Teruel	16-64	Mujer	326
2009	29	Comunidad de Teruel	65 y más	Hombre	191
2009	29	Comunidad de Teruel	65 y más	Mujer	186
2009	30	Maestrazgo	0-15	Hombre	3
2009	30	Maestrazgo	0-15	Mujer	7
2009	30	Maestrazgo	16-64	Hombre	36
2009	30	Maestrazgo	16-64	Mujer	55
2009	30	Maestrazgo	65 y más	Hombre	42
2009	30	Maestrazgo	65 y más	Mujer	49
2009	31	Sierra de Albarracín	0-15	Hombre	4
2009	31	Sierra de Albarracín	0-15	Mujer	7
2009	31	Sierra de Albarracín	16-64	Hombre	43
2009	31	Sierra de Albarracín	16-64	Mujer	23
2009	31	Sierra de Albarracín	65 y más	Hombre	38
2009	31	Sierra de Albarracín	65 y más	Mujer	34
2009	32	Gúdar-Javalambre	0-15	Hombre	3
2009	32	Gúdar-Javalambre	0-15	Mujer	7
2009	32	Gúdar-Javalambre	16-64	Hombre	45
2009	32	Gúdar-Javalambre	16-64	Mujer	44
2009	32	Gúdar-Javalambre	65 y más	Hombre	54
2009	32	Gúdar-Javalambre	65 y más	Mujer	52
2009	33	Matarraña / Matarranya	0-15	Hombre	9
2009	33	Matarraña / Matarranya	0-15	Mujer	5
2009	33	Matarraña / Matarranya	16-64	Hombre	53
2009	33	Matarraña / Matarranya	16-64	Mujer	47
2009	33	Matarraña / Matarranya	65 y más	Hombre	75
2009	33	Matarraña / Matarranya	65 y más	Mujer	94
2010	01	La Jacetania	0-15	Hombre	48
2010	01	La Jacetania	0-15	Mujer	55
2010	01	La Jacetania	16-64	Hombre	225
2010	01	La Jacetania	16-64	Mujer	249
2010	01	La Jacetania	65 y más	Hombre	148
2010	01	La Jacetania	65 y más	Mujer	200
2010	02	Alto Gállego	0-15	Hombre	14
2010	02	Alto Gállego	0-15	Mujer	16
2010	02	Alto Gállego	16-64	Hombre	80
2010	02	Alto Gállego	16-64	Mujer	93
2010	02	Alto Gállego	65 y más	Hombre	51
2010	02	Alto Gállego	65 y más	Mujer	44
2010	03	Sobrarbe	0-15	Hombre	18
2010	03	Sobrarbe	0-15	Mujer	25
2010	03	Sobrarbe	16-64	Hombre	121
2010	03	Sobrarbe	16-64	Mujer	110
2010	03	Sobrarbe	65 y más	Hombre	115
2010	03	Sobrarbe	65 y más	Mujer	141
2010	04	La Ribagorza	0-15	Hombre	19
